lon,lat,state
32.8006671,-86.79113,Alabama  
61.370716,-152.404419,Alaska
33.729759,-111.431221,Arizona
34.969704,-92.373123,Arkansas
36.116203,-119.681564,California
39.059811,-105.311104,Colorado
41.5997782,-72.755371,Connecticut
39.318523,-75.507141,Delaware
38.897438,-77.026817,District of Columbia
27.766279,-81.686783,Florida
33.040619,-83.643074,Georgia
21.094318,-157.498337,Hawaii
44.240459,-114.478828,Idaho
40.349457,-88.986137,Illinois
39.849457,-86.258278,Indiana
42.011539,-93.210526,Iowa
38.5266,-96.726486,Kansas
37.66814,-84.670067,Kentucky
31.169546,-91.867805,Louisiana
44.693947,-69.381927,Maine
39.063946,-76.802101,Maryland
42.230171,-71.530106,Massachusetts
43.326618,-84.536095,Michigan
45.694454,-93.900192,Minnesota
32.741646,-89.678696,Mississippi
38.4456085,-92.678696,Missouri
46.921925,-110.45353,Montana
41.12537,-98.268082,Nebraska
38.313515,-117.055374,Nevada
43.452492,-71.563896,New Hampshire
40.298904,-74.521011,New Jersey
34.840515,-106.248482,New Mexico
42.165726,-74.948051,New York
35.630066,-79.806419,North Carolina
47.528912,-99.784012,North Dakota
40.388783,-82.764915,Ohio
35.565342,-96.928917,Oklahoma
44.572021,-122.070938,Oregon
40.590752,-77.209755,Pennsylvania
41.680893,-71.51178,Rhode Island
33.856892,-80.945007,South Carolina
44.299782,-99.4388828,South Dakota
35.747845,-86.692345,Tennessee
31.054487,-97.563461,Texas
40.150032,-111.862434,Utah
44.045876,-72.710686,Vermont
37.769337,-78.169968,Virginia
47.400902,-121.490494,Washington
38.491226,-80.954453,West Virginia
44.268543,-89.616508,Wisconsin
42.755966,-107.30249,Wyoming
