Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,AZ,3082,1988.83333333333
2015,Alzheimer's disease (G30),Alzheimer's disease,AZ,2943,
2014,Alzheimer's disease (G30),Alzheimer's disease,AZ,2485,
2013,Alzheimer's disease (G30),Alzheimer's disease,AZ,2383,
2012,Alzheimer's disease (G30),Alzheimer's disease,AZ,2160,
2011,Alzheimer's disease (G30),Alzheimer's disease,AZ,2348,
2010,Alzheimer's disease (G30),Alzheimer's disease,AZ,2327,
2009,Alzheimer's disease (G30),Alzheimer's disease,AZ,2097,
2008,Alzheimer's disease (G30),Alzheimer's disease,AZ,2099,
2007,Alzheimer's disease (G30),Alzheimer's disease,AZ,2051,
2006,Alzheimer's disease (G30),Alzheimer's disease,AZ,2066,
2005,Alzheimer's disease (G30),Alzheimer's disease,AZ,1831,
2004,Alzheimer's disease (G30),Alzheimer's disease,AZ,1675,
2003,Alzheimer's disease (G30),Alzheimer's disease,AZ,1703,
2002,Alzheimer's disease (G30),Alzheimer's disease,AZ,1433,
2001,Alzheimer's disease (G30),Alzheimer's disease,AZ,1108,
2000,Alzheimer's disease (G30),Alzheimer's disease,AZ,1045,
1999,Alzheimer's disease (G30),Alzheimer's disease,AZ,963,
2016,Malignant neoplasms (C00-C97),Cancer,AZ,11876,10350.1176470588
2015,Malignant neoplasms (C00-C97),Cancer,AZ,11776,
2014,Malignant neoplasms (C00-C97),Cancer,AZ,11455,
2013,Malignant neoplasms (C00-C97),Cancer,AZ,11347,
2012,Malignant neoplasms (C00-C97),Cancer,AZ,11085,
2011,Malignant neoplasms (C00-C97),Cancer,AZ,10690,
2010,Malignant neoplasms (C00-C97),Cancer,AZ,10678,
2009,Malignant neoplasms (C00-C97),Cancer,AZ,10271,
2008,Malignant neoplasms (C00-C97),Cancer,AZ,10081,
2007,Malignant neoplasms (C00-C97),Cancer,AZ,10134,
2006,Malignant neoplasms (C00-C97),Cancer,AZ,9919,
2005,Malignant neoplasms (C00-C97),Cancer,AZ,9820,
2004,Malignant neoplasms (C00-C97),Cancer,AZ,9618,
2003,Malignant neoplasms (C00-C97),Cancer,AZ,9627,
2002,Malignant neoplasms (C00-C97),Cancer,AZ,9359,
2001,Malignant neoplasms (C00-C97),Cancer,AZ,9143,
2000,Malignant neoplasms (C00-C97),Cancer,AZ,9073,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3800,2929.44444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3681,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3396,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3345,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3221,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,3166,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2926,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2839,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2939,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2686,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2799,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2821,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2416,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2560,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2575,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2499,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2508,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,AZ,2553,
2016,Diabetes mellitus (E10-E14),Diabetes,AZ,2025,1401.94444444444
2015,Diabetes mellitus (E10-E14),Diabetes,AZ,2081,
2014,Diabetes mellitus (E10-E14),Diabetes,AZ,1936,
2013,Diabetes mellitus (E10-E14),Diabetes,AZ,1786,
2012,Diabetes mellitus (E10-E14),Diabetes,AZ,1736,
2011,Diabetes mellitus (E10-E14),Diabetes,AZ,1740,
2010,Diabetes mellitus (E10-E14),Diabetes,AZ,1389,
2009,Diabetes mellitus (E10-E14),Diabetes,AZ,1083,
2008,Diabetes mellitus (E10-E14),Diabetes,AZ,1173,
2007,Diabetes mellitus (E10-E14),Diabetes,AZ,1159,
2006,Diabetes mellitus (E10-E14),Diabetes,AZ,1206,
2005,Diabetes mellitus (E10-E14),Diabetes,AZ,1208,
2004,Diabetes mellitus (E10-E14),Diabetes,AZ,1196,
2003,Diabetes mellitus (E10-E14),Diabetes,AZ,1153,
2002,Diabetes mellitus (E10-E14),Diabetes,AZ,1231,
2001,Diabetes mellitus (E10-E14),Diabetes,AZ,1058,
2000,Diabetes mellitus (E10-E14),Diabetes,AZ,1012,
1999,Diabetes mellitus (E10-E14),Diabetes,AZ,1063,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,11957,10725.7222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,11458,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10805,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10755,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10689,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10662,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,9954,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10273,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10385,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10302,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10607,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10966,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10539,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10887,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10852,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10588,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10584,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,AZ,10800,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AZ,885,1011.55555555556
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AZ,775,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AZ,779,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AZ,776,
