Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,AR,1475,835.722222222222
2015,Alzheimer's disease (G30),Alzheimer's disease,AR,1457,
2014,Alzheimer's disease (G30),Alzheimer's disease,AR,1193,
2013,Alzheimer's disease (G30),Alzheimer's disease,AR,918,
2012,Alzheimer's disease (G30),Alzheimer's disease,AR,931,
2011,Alzheimer's disease (G30),Alzheimer's disease,AR,1002,
2010,Alzheimer's disease (G30),Alzheimer's disease,AR,955,
2009,Alzheimer's disease (G30),Alzheimer's disease,AR,885,
2008,Alzheimer's disease (G30),Alzheimer's disease,AR,893,
2007,Alzheimer's disease (G30),Alzheimer's disease,AR,824,
2006,Alzheimer's disease (G30),Alzheimer's disease,AR,783,
2005,Alzheimer's disease (G30),Alzheimer's disease,AR,686,
2004,Alzheimer's disease (G30),Alzheimer's disease,AR,622,
2003,Alzheimer's disease (G30),Alzheimer's disease,AR,552,
2002,Alzheimer's disease (G30),Alzheimer's disease,AR,551,
2001,Alzheimer's disease (G30),Alzheimer's disease,AR,452,
2000,Alzheimer's disease (G30),Alzheimer's disease,AR,430,
1999,Alzheimer's disease (G30),Alzheimer's disease,AR,434,
2016,Malignant neoplasms (C00-C97),Cancer,AR,6612,6393
2015,Malignant neoplasms (C00-C97),Cancer,AR,6727,
2014,Malignant neoplasms (C00-C97),Cancer,AR,6546,
2013,Malignant neoplasms (C00-C97),Cancer,AR,6688,
2012,Malignant neoplasms (C00-C97),Cancer,AR,6540,
2011,Malignant neoplasms (C00-C97),Cancer,AR,6497,
2010,Malignant neoplasms (C00-C97),Cancer,AR,6475,
2009,Malignant neoplasms (C00-C97),Cancer,AR,6513,
2008,Malignant neoplasms (C00-C97),Cancer,AR,6526,
2007,Malignant neoplasms (C00-C97),Cancer,AR,6388,
2006,Malignant neoplasms (C00-C97),Cancer,AR,6177,
2005,Malignant neoplasms (C00-C97),Cancer,AR,6361,
2004,Malignant neoplasms (C00-C97),Cancer,AR,6304,
2003,Malignant neoplasms (C00-C97),Cancer,AR,6119,
2002,Malignant neoplasms (C00-C97),Cancer,AR,6282,
2001,Malignant neoplasms (C00-C97),Cancer,AR,6092,
2000,Malignant neoplasms (C00-C97),Cancer,AR,6090,
1999,Malignant neoplasms (C00-C97),Cancer,AR,6137,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,AR,2169,1734.44444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,AR,2270,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,AR,2092,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,AR,2090,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1910,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1985,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1773,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1831,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1887,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1656,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1498,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1559,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1428,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,AR,1500,
