Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,CO,1835,1171
2015,Alzheimer's disease (G30),Alzheimer's disease,CO,1612,
2014,Alzheimer's disease (G30),Alzheimer's disease,CO,1364,
2013,Alzheimer's disease (G30),Alzheimer's disease,CO,1316,
2012,Alzheimer's disease (G30),Alzheimer's disease,CO,1322,
2011,Alzheimer's disease (G30),Alzheimer's disease,CO,1307,
2010,Alzheimer's disease (G30),Alzheimer's disease,CO,1334,
2009,Alzheimer's disease (G30),Alzheimer's disease,CO,1319,
2008,Alzheimer's disease (G30),Alzheimer's disease,CO,1353,
2007,Alzheimer's disease (G30),Alzheimer's disease,CO,1109,
2006,Alzheimer's disease (G30),Alzheimer's disease,CO,1058,
2005,Alzheimer's disease (G30),Alzheimer's disease,CO,1064,
2004,Alzheimer's disease (G30),Alzheimer's disease,CO,912,
2003,Alzheimer's disease (G30),Alzheimer's disease,CO,899,
2002,Alzheimer's disease (G30),Alzheimer's disease,CO,954,
2001,Alzheimer's disease (G30),Alzheimer's disease,CO,852,
2000,Alzheimer's disease (G30),Alzheimer's disease,CO,712,
1999,Alzheimer's disease (G30),Alzheimer's disease,CO,756,
2016,Malignant neoplasms (C00-C97),Cancer,CO,7928,6769.11111111111
2015,Malignant neoplasms (C00-C97),Cancer,CO,7604,
2014,Malignant neoplasms (C00-C97),Cancer,CO,7405,
2013,Malignant neoplasms (C00-C97),Cancer,CO,7357,
2012,Malignant neoplasms (C00-C97),Cancer,CO,7306,
2011,Malignant neoplasms (C00-C97),Cancer,CO,7051,
2010,Malignant neoplasms (C00-C97),Cancer,CO,7035,
2009,Malignant neoplasms (C00-C97),Cancer,CO,6950,
2008,Malignant neoplasms (C00-C97),Cancer,CO,6719,
2007,Malignant neoplasms (C00-C97),Cancer,CO,6617,
2006,Malignant neoplasms (C00-C97),Cancer,CO,6550,
2005,Malignant neoplasms (C00-C97),Cancer,CO,6395,
2004,Malignant neoplasms (C00-C97),Cancer,CO,6196,
2003,Malignant neoplasms (C00-C97),Cancer,CO,6417,
2002,Malignant neoplasms (C00-C97),Cancer,CO,6384,
2001,Malignant neoplasms (C00-C97),Cancer,CO,6145,
2000,Malignant neoplasms (C00-C97),Cancer,CO,5922,
1999,Malignant neoplasms (C00-C97),Cancer,CO,5863,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2575,2099.61111111111
2015,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2577,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2451,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2297,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2239,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2151,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2199,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2073,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2188,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,CO,2002,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1932,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1914,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1899,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1931,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1848,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1836,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1787,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,CO,1894,
2016,Diabetes mellitus (E10-E14),Diabetes,CO,938,747
2015,Diabetes mellitus (E10-E14),Diabetes,CO,887,
2014,Diabetes mellitus (E10-E14),Diabetes,CO,835,
2013,Diabetes mellitus (E10-E14),Diabetes,CO,788,
2012,Diabetes mellitus (E10-E14),Diabetes,CO,797,
2011,Diabetes mellitus (E10-E14),Diabetes,CO,790,
2010,Diabetes mellitus (E10-E14),Diabetes,CO,721,
2009,Diabetes mellitus (E10-E14),Diabetes,CO,779,
2008,Diabetes mellitus (E10-E14),Diabetes,CO,767,
2007,Diabetes mellitus (E10-E14),Diabetes,CO,710,
2006,Diabetes mellitus (E10-E14),Diabetes,CO,677,
2005,Diabetes mellitus (E10-E14),Diabetes,CO,753,
2004,Diabetes mellitus (E10-E14),Diabetes,CO,696,
2003,Diabetes mellitus (E10-E14),Diabetes,CO,708,
2002,Diabetes mellitus (E10-E14),Diabetes,CO,659,
2001,Diabetes mellitus (E10-E14),Diabetes,CO,667,
2000,Diabetes mellitus (E10-E14),Diabetes,CO,635,
1999,Diabetes mellitus (E10-E14),Diabetes,CO,639,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,7277,6378.66666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,7009,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6900,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6456,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6311,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6177,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6038,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6093,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6118,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6106,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6124,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6307,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6079,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6499,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6425,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6293,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6184,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CO,6420,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,533,647.944444444445
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,659,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,701,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,606,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,525,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,618,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,550,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,658,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,678,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,592,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,614,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,666,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,637,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,810,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,752,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,650,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,607,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CO,807,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,491,431.055555555556
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,458,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,448,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,450,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,428,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,450,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,426,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,447,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,483,
