Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,CT,1035,751.277777777778
2015,Alzheimer's disease (G30),Alzheimer's disease,CT,966,
2014,Alzheimer's disease (G30),Alzheimer's disease,CT,923,
2013,Alzheimer's disease (G30),Alzheimer's disease,CT,824,
2012,Alzheimer's disease (G30),Alzheimer's disease,CT,842,
2011,Alzheimer's disease (G30),Alzheimer's disease,CT,813,
2010,Alzheimer's disease (G30),Alzheimer's disease,CT,820,
2009,Alzheimer's disease (G30),Alzheimer's disease,CT,778,
2008,Alzheimer's disease (G30),Alzheimer's disease,CT,839,
2007,Alzheimer's disease (G30),Alzheimer's disease,CT,764,
2006,Alzheimer's disease (G30),Alzheimer's disease,CT,728,
2005,Alzheimer's disease (G30),Alzheimer's disease,CT,777,
2004,Alzheimer's disease (G30),Alzheimer's disease,CT,684,
2003,Alzheimer's disease (G30),Alzheimer's disease,CT,612,
2002,Alzheimer's disease (G30),Alzheimer's disease,CT,570,
2001,Alzheimer's disease (G30),Alzheimer's disease,CT,573,
2000,Alzheimer's disease (G30),Alzheimer's disease,CT,526,
1999,Alzheimer's disease (G30),Alzheimer's disease,CT,449,
2016,Malignant neoplasms (C00-C97),Cancer,CT,6696,6907.05555555556
2015,Malignant neoplasms (C00-C97),Cancer,CT,6666,
2014,Malignant neoplasms (C00-C97),Cancer,CT,6621,
2013,Malignant neoplasms (C00-C97),Cancer,CT,6619,
2012,Malignant neoplasms (C00-C97),Cancer,CT,6681,
2011,Malignant neoplasms (C00-C97),Cancer,CT,6837,
2010,Malignant neoplasms (C00-C97),Cancer,CT,6954,
2009,Malignant neoplasms (C00-C97),Cancer,CT,6819,
2008,Malignant neoplasms (C00-C97),Cancer,CT,6830,
2007,Malignant neoplasms (C00-C97),Cancer,CT,6827,
2006,Malignant neoplasms (C00-C97),Cancer,CT,7044,
2005,Malignant neoplasms (C00-C97),Cancer,CT,7052,
2004,Malignant neoplasms (C00-C97),Cancer,CT,7175,
2003,Malignant neoplasms (C00-C97),Cancer,CT,7131,
2002,Malignant neoplasms (C00-C97),Cancer,CT,7163,
2001,Malignant neoplasms (C00-C97),Cancer,CT,7093,
2000,Malignant neoplasms (C00-C97),Cancer,CT,7065,
1999,Malignant neoplasms (C00-C97),Cancer,CT,7054,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1425,1423.33333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1369,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1368,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1348,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1387,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1415,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1289,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1448,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1505,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1353,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1458,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1471,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1432,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1445,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1453,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1486,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1533,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,CT,1435,
2016,Diabetes mellitus (E10-E14),Diabetes,CT,699,689.611111111111
2015,Diabetes mellitus (E10-E14),Diabetes,CT,653,
2014,Diabetes mellitus (E10-E14),Diabetes,CT,685,
2013,Diabetes mellitus (E10-E14),Diabetes,CT,664,
2012,Diabetes mellitus (E10-E14),Diabetes,CT,631,
2011,Diabetes mellitus (E10-E14),Diabetes,CT,692,
2010,Diabetes mellitus (E10-E14),Diabetes,CT,662,
2009,Diabetes mellitus (E10-E14),Diabetes,CT,624,
2008,Diabetes mellitus (E10-E14),Diabetes,CT,624,
2007,Diabetes mellitus (E10-E14),Diabetes,CT,646,
2006,Diabetes mellitus (E10-E14),Diabetes,CT,782,
2005,Diabetes mellitus (E10-E14),Diabetes,CT,811,
2004,Diabetes mellitus (E10-E14),Diabetes,CT,767,
2003,Diabetes mellitus (E10-E14),Diabetes,CT,665,
2002,Diabetes mellitus (E10-E14),Diabetes,CT,675,
2001,Diabetes mellitus (E10-E14),Diabetes,CT,759,
2000,Diabetes mellitus (E10-E14),Diabetes,CT,683,
1999,Diabetes mellitus (E10-E14),Diabetes,CT,691,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7051,7702.33333333333
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7205,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7018,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7090,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7282,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7206,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7127,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7105,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7355,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7289,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7490,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7650,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,7868,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,8389,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,8815,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,8582,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,8993,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,CT,9127,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,572,748.666666666667
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,667,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,644,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,604,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,558,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,696,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,568,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,696,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,694,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,776,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,800,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,956,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,868,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,860,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,888,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,854,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,890,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,CT,885,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,570,570.666666666667
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,584,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,605,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,565,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,569,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,602,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,599,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,585,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,589,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,566,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,567,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,580,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,604,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CT,567,
