Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,DC,120,111.333333333333
2015,Alzheimer's disease (G30),Alzheimer's disease,DC,129,
2014,Alzheimer's disease (G30),Alzheimer's disease,DC,119,
2013,Alzheimer's disease (G30),Alzheimer's disease,DC,130,
2012,Alzheimer's disease (G30),Alzheimer's disease,DC,129,
2011,Alzheimer's disease (G30),Alzheimer's disease,DC,120,
2010,Alzheimer's disease (G30),Alzheimer's disease,DC,114,
2009,Alzheimer's disease (G30),Alzheimer's disease,DC,94,
2008,Alzheimer's disease (G30),Alzheimer's disease,DC,132,
2007,Alzheimer's disease (G30),Alzheimer's disease,DC,140,
2006,Alzheimer's disease (G30),Alzheimer's disease,DC,117,
2005,Alzheimer's disease (G30),Alzheimer's disease,DC,112,
2004,Alzheimer's disease (G30),Alzheimer's disease,DC,119,
2003,Alzheimer's disease (G30),Alzheimer's disease,DC,95,
2002,Alzheimer's disease (G30),Alzheimer's disease,DC,107,
2001,Alzheimer's disease (G30),Alzheimer's disease,DC,99,
2000,Alzheimer's disease (G30),Alzheimer's disease,DC,75,
1999,Alzheimer's disease (G30),Alzheimer's disease,DC,53,
2016,Malignant neoplasms (C00-C97),Cancer,DC,1044,1159.16666666667
2015,Malignant neoplasms (C00-C97),Cancer,DC,1072,
2014,Malignant neoplasms (C00-C97),Cancer,DC,1116,
2013,Malignant neoplasms (C00-C97),Cancer,DC,1095,
2012,Malignant neoplasms (C00-C97),Cancer,DC,1081,
2011,Malignant neoplasms (C00-C97),Cancer,DC,1070,
2010,Malignant neoplasms (C00-C97),Cancer,DC,1041,
2009,Malignant neoplasms (C00-C97),Cancer,DC,1131,
2008,Malignant neoplasms (C00-C97),Cancer,DC,1143,
2007,Malignant neoplasms (C00-C97),Cancer,DC,1169,
2006,Malignant neoplasms (C00-C97),Cancer,DC,1178,
2005,Malignant neoplasms (C00-C97),Cancer,DC,1151,
2004,Malignant neoplasms (C00-C97),Cancer,DC,1152,
2003,Malignant neoplasms (C00-C97),Cancer,DC,1122,
2002,Malignant neoplasms (C00-C97),Cancer,DC,1298,
2001,Malignant neoplasms (C00-C97),Cancer,DC,1327,
2000,Malignant neoplasms (C00-C97),Cancer,DC,1335,
1999,Malignant neoplasms (C00-C97),Cancer,DC,1340,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,DC,152,145
2015,Chronic lower respiratory diseases (J40-J47),CLRD,DC,147,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,DC,136,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,DC,150,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,DC,139,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,DC,151,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,DC,147,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,DC,136,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,DC,139,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,DC,129,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,DC,126,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,DC,132,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,DC,165,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,DC,137,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,DC,133,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,DC,150,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,DC,175,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,DC,166,
2016,Diabetes mellitus (E10-E14),Diabetes,DC,127,167.555555555556
2015,Diabetes mellitus (E10-E14),Diabetes,DC,162,
2014,Diabetes mellitus (E10-E14),Diabetes,DC,119,
2013,Diabetes mellitus (E10-E14),Diabetes,DC,108,
2012,Diabetes mellitus (E10-E14),Diabetes,DC,145,
2011,Diabetes mellitus (E10-E14),Diabetes,DC,152,
2010,Diabetes mellitus (E10-E14),Diabetes,DC,145,
2009,Diabetes mellitus (E10-E14),Diabetes,DC,129,
2008,Diabetes mellitus (E10-E14),Diabetes,DC,156,
2007,Diabetes mellitus (E10-E14),Diabetes,DC,152,
2006,Diabetes mellitus (E10-E14),Diabetes,DC,184,
2005,Diabetes mellitus (E10-E14),Diabetes,DC,192,
2004,Diabetes mellitus (E10-E14),Diabetes,DC,224,
2003,Diabetes mellitus (E10-E14),Diabetes,DC,179,
2002,Diabetes mellitus (E10-E14),Diabetes,DC,191,
2001,Diabetes mellitus (E10-E14),Diabetes,DC,209,
2000,Diabetes mellitus (E10-E14),Diabetes,DC,221,
1999,Diabetes mellitus (E10-E14),Diabetes,DC,221,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1375,1457.5
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1217,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1324,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1340,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1298,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1171,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1306,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1288,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1389,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1434,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1566,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1518,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1544,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1630,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1666,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1761,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1756,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,DC,1652,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,78,87.2222222222222
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,104,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,74,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,83,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,76,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,96,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,80,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,73,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,78,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,82,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,76,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,98,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,91,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,87,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,81,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,86,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,111,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,DC,116,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,57,68.6111111111111
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,65,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,49,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,54,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,44,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,60,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,84,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,57,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,78,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,67,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,68,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,68,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,79,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,81,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,70,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,79,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,84,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,91,
2016,Cerebrovascular diseases (I60-I69),Stroke,DC,252,231.555555555556
2015,Cerebrovascular diseases (I60-I69),Stroke,DC,242,
2014,Cerebrovascular diseases (I60-I69),Stroke,DC,214,
2013,Cerebrovascular diseases (I60-I69),Stroke,DC,187,
2012,Cerebrovascular diseases (I60-I69),Stroke,DC,207,
2011,Cerebrovascular diseases (I60-I69),Stroke,DC,209,
2010,Cerebrovascular diseases (I60-I69),Stroke,DC,196,
2009,Cerebrovascular diseases (I60-I69),Stroke,DC,199,
2008,Cerebrovascular diseases (I60-I69),Stroke,DC,222,
2007,Cerebrovascular diseases (I60-I69),Stroke,DC,220,
2006,Cerebrovascular diseases (I60-I69),Stroke,DC,221,
2005,Cerebrovascular diseases (I60-I69),Stroke,DC,231,
2004,Cerebrovascular diseases (I60-I69),Stroke,DC,218,
2003,Cerebrovascular diseases (I60-I69),Stroke,DC,257,
2002,Cerebrovascular diseases (I60-I69),Stroke,DC,279,
2001,Cerebrovascular diseases (I60-I69),Stroke,DC,265,
2000,Cerebrovascular diseases (I60-I69),Stroke,DC,252,
1999,Cerebrovascular diseases (I60-I69),Stroke,DC,297,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,40,35.7222222222222
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,34,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,52,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,38,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,37,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,37,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,41,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,29,
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,43,
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,36,
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,30,
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,33,
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,33,
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,36,
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,31,
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,40,
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,23,
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,30,
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,401,214.388888888889
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,265,
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,217,
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,216,
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,194,
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,185,
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,212,
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,145,
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,160,
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,193,
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,224,
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,207,
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,219,
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,233,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,200,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,223,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,204,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,DC,161,
