Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,DE,329,184.611111111111
2015,Alzheimer's disease (G30),Alzheimer's disease,DE,264,
2014,Alzheimer's disease (G30),Alzheimer's disease,DE,188,
2013,Alzheimer's disease (G30),Alzheimer's disease,DE,192,
2012,Alzheimer's disease (G30),Alzheimer's disease,DE,213,
2011,Alzheimer's disease (G30),Alzheimer's disease,DE,203,
2010,Alzheimer's disease (G30),Alzheimer's disease,DE,215,
2009,Alzheimer's disease (G30),Alzheimer's disease,DE,163,
2008,Alzheimer's disease (G30),Alzheimer's disease,DE,204,
2007,Alzheimer's disease (G30),Alzheimer's disease,DE,201,
2006,Alzheimer's disease (G30),Alzheimer's disease,DE,189,
2005,Alzheimer's disease (G30),Alzheimer's disease,DE,180,
2004,Alzheimer's disease (G30),Alzheimer's disease,DE,155,
2003,Alzheimer's disease (G30),Alzheimer's disease,DE,147,
2002,Alzheimer's disease (G30),Alzheimer's disease,DE,128,
2001,Alzheimer's disease (G30),Alzheimer's disease,DE,135,
2000,Alzheimer's disease (G30),Alzheimer's disease,DE,110,
1999,Alzheimer's disease (G30),Alzheimer's disease,DE,107,
2016,Malignant neoplasms (C00-C97),Cancer,DE,2124,1845.38888888889
2015,Malignant neoplasms (C00-C97),Cancer,DE,2010,
2014,Malignant neoplasms (C00-C97),Cancer,DE,1972,
2013,Malignant neoplasms (C00-C97),Cancer,DE,1905,
2012,Malignant neoplasms (C00-C97),Cancer,DE,1935,
2011,Malignant neoplasms (C00-C97),Cancer,DE,1906,
2010,Malignant neoplasms (C00-C97),Cancer,DE,1909,
2009,Malignant neoplasms (C00-C97),Cancer,DE,1813,
2008,Malignant neoplasms (C00-C97),Cancer,DE,1912,
2007,Malignant neoplasms (C00-C97),Cancer,DE,1853,
2006,Malignant neoplasms (C00-C97),Cancer,DE,1780,
2005,Malignant neoplasms (C00-C97),Cancer,DE,1799,
2004,Malignant neoplasms (C00-C97),Cancer,DE,1827,
2003,Malignant neoplasms (C00-C97),Cancer,DE,1719,
2002,Malignant neoplasms (C00-C97),Cancer,DE,1621,
2001,Malignant neoplasms (C00-C97),Cancer,DE,1786,
2000,Malignant neoplasms (C00-C97),Cancer,DE,1609,
1999,Malignant neoplasms (C00-C97),Cancer,DE,1737,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,DE,544,408.722222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,DE,510,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,DE,458,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,DE,482,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,DE,420,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,DE,460,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,DE,441,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,DE,428,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,DE,472,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,DE,379,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,DE,344,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,DE,411,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,DE,345,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,DE,339,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,DE,350,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,DE,306,
