Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,FL,7155,4714.22222222222
2015,Alzheimer's disease (G30),Alzheimer's disease,FL,7031,
2014,Alzheimer's disease (G30),Alzheimer's disease,FL,5874,
2013,Alzheimer's disease (G30),Alzheimer's disease,FL,5093,
2012,Alzheimer's disease (G30),Alzheimer's disease,FL,4422,
2011,Alzheimer's disease (G30),Alzheimer's disease,FL,4507,
2010,Alzheimer's disease (G30),Alzheimer's disease,FL,4831,
2009,Alzheimer's disease (G30),Alzheimer's disease,FL,4617,
2008,Alzheimer's disease (G30),Alzheimer's disease,FL,4743,
2007,Alzheimer's disease (G30),Alzheimer's disease,FL,4644,
2006,Alzheimer's disease (G30),Alzheimer's disease,FL,4689,
2005,Alzheimer's disease (G30),Alzheimer's disease,FL,4608,
2004,Alzheimer's disease (G30),Alzheimer's disease,FL,4307,
2003,Alzheimer's disease (G30),Alzheimer's disease,FL,4316,
2002,Alzheimer's disease (G30),Alzheimer's disease,FL,4052,
2001,Alzheimer's disease (G30),Alzheimer's disease,FL,3643,
2000,Alzheimer's disease (G30),Alzheimer's disease,FL,3265,
1999,Alzheimer's disease (G30),Alzheimer's disease,FL,3059,
2016,Malignant neoplasms (C00-C97),Cancer,FL,44266,40975.1111111111
2015,Malignant neoplasms (C00-C97),Cancer,FL,44027,
2014,Malignant neoplasms (C00-C97),Cancer,FL,43212,
2013,Malignant neoplasms (C00-C97),Cancer,FL,42735,
2012,Malignant neoplasms (C00-C97),Cancer,FL,42188,
2011,Malignant neoplasms (C00-C97),Cancer,FL,41681,
2010,Malignant neoplasms (C00-C97),Cancer,FL,41467,
2009,Malignant neoplasms (C00-C97),Cancer,FL,40932,
2008,Malignant neoplasms (C00-C97),Cancer,FL,40814,
2007,Malignant neoplasms (C00-C97),Cancer,FL,40088,
2006,Malignant neoplasms (C00-C97),Cancer,FL,40415,
2005,Malignant neoplasms (C00-C97),Cancer,FL,40592,
2004,Malignant neoplasms (C00-C97),Cancer,FL,39840,
2003,Malignant neoplasms (C00-C97),Cancer,FL,39404,
2002,Malignant neoplasms (C00-C97),Cancer,FL,39140,
2001,Malignant neoplasms (C00-C97),Cancer,FL,39090,
2000,Malignant neoplasms (C00-C97),Cancer,FL,39183,
1999,Malignant neoplasms (C00-C97),Cancer,FL,38478,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,FL,11970,9967.44444444445
2015,Chronic lower respiratory diseases (J40-J47),CLRD,FL,11705,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,FL,11178,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,FL,11379,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,FL,10585,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,FL,10279,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,FL,10337,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,FL,10182,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,FL,10198,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,FL,9357,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,FL,8912,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,FL,9482,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,FL,8971,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,FL,9087,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,FL,9062,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,FL,8954,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,FL,8645,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,FL,9131,
2016,Diabetes mellitus (E10-E14),Diabetes,FL,5782,5007.27777777778
2015,Diabetes mellitus (E10-E14),Diabetes,FL,5403,
2014,Diabetes mellitus (E10-E14),Diabetes,FL,5371,
2013,Diabetes mellitus (E10-E14),Diabetes,FL,5238,
2012,Diabetes mellitus (E10-E14),Diabetes,FL,5092,
2011,Diabetes mellitus (E10-E14),Diabetes,FL,5093,
2010,Diabetes mellitus (E10-E14),Diabetes,FL,5024,
2009,Diabetes mellitus (E10-E14),Diabetes,FL,4901,
2008,Diabetes mellitus (E10-E14),Diabetes,FL,5161,
2007,Diabetes mellitus (E10-E14),Diabetes,FL,5110,
2006,Diabetes mellitus (E10-E14),Diabetes,FL,5172,
2005,Diabetes mellitus (E10-E14),Diabetes,FL,5193,
2004,Diabetes mellitus (E10-E14),Diabetes,FL,4809,
2003,Diabetes mellitus (E10-E14),Diabetes,FL,4762,
2002,Diabetes mellitus (E10-E14),Diabetes,FL,4583,
2001,Diabetes mellitus (E10-E14),Diabetes,FL,4631,
2000,Diabetes mellitus (E10-E14),Diabetes,FL,4449,
1999,Diabetes mellitus (E10-E14),Diabetes,FL,4357,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,45659,45342.3333333333
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,45441,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,44511,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,42656,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,42125,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,40919,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,41737,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,41274,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,42067,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,42254,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,44305,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,46279,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,47160,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,48141,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,49235,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,50629,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,50336,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,FL,51434,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2808,2748.16666666667
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2676,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2719,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2662,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2338,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2453,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2259,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2410,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2300,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2246,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2454,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2802,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,3044,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2996,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,3290,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,3317,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,3365,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,3328,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3144,2686.27777777778
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3203,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3076,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3130,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2912,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3012,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3297,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,3050,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2946,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2923,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2620,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2416,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2252,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2265,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2201,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,2172,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,1888,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,FL,1846,
2016,Cerebrovascular diseases (I60-I69),Stroke,FL,11854,9583
2015,Cerebrovascular diseases (I60-I69),Stroke,FL,11433,
2014,Cerebrovascular diseases (I60-I69),Stroke,FL,9770,
2013,Cerebrovascular diseases (I60-I69),Stroke,FL,8698,
2012,Cerebrovascular diseases (I60-I69),Stroke,FL,8456,
2011,Cerebrovascular diseases (I60-I69),Stroke,FL,8411,
2010,Cerebrovascular diseases (I60-I69),Stroke,FL,8432,
2009,Cerebrovascular diseases (I60-I69),Stroke,FL,8395,
2008,Cerebrovascular diseases (I60-I69),Stroke,FL,8589,
2007,Cerebrovascular diseases (I60-I69),Stroke,FL,8781,
2006,Cerebrovascular diseases (I60-I69),Stroke,FL,8925,
2005,Cerebrovascular diseases (I60-I69),Stroke,FL,9361,
2004,Cerebrovascular diseases (I60-I69),Stroke,FL,9715,
2003,Cerebrovascular diseases (I60-I69),Stroke,FL,9899,
2002,Cerebrovascular diseases (I60-I69),Stroke,FL,10269,
2001,Cerebrovascular diseases (I60-I69),Stroke,FL,10414,
2000,Cerebrovascular diseases (I60-I69),Stroke,FL,10532,
1999,Cerebrovascular diseases (I60-I69),Stroke,FL,10560,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,3143,2633.72222222222
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,3205,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,3035,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2928,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,3002,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2880,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2789,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2858,
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2740,
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2587,
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2440,
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2347,
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2389,
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2297,
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2338,
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2314,
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2086,
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,FL,2029,
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,12561,8620.94444444445
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,10578,
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,9432,
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8736,
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8770,
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8901,
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8875,
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8746,
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8939,
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,9113,
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8917,
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8868,
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,8229,
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,7919,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,7396,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,6969,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,6267,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,FL,5961,
