Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,GA,4021,2035.11111111111
2015,Alzheimer's disease (G30),Alzheimer's disease,GA,3714,
2014,Alzheimer's disease (G30),Alzheimer's disease,GA,2670,
2013,Alzheimer's disease (G30),Alzheimer's disease,GA,2048,
2012,Alzheimer's disease (G30),Alzheimer's disease,GA,2074,
2011,Alzheimer's disease (G30),Alzheimer's disease,GA,2218,
2010,Alzheimer's disease (G30),Alzheimer's disease,GA,2080,
2009,Alzheimer's disease (G30),Alzheimer's disease,GA,1865,
2008,Alzheimer's disease (G30),Alzheimer's disease,GA,1929,
2007,Alzheimer's disease (G30),Alzheimer's disease,GA,1849,
2006,Alzheimer's disease (G30),Alzheimer's disease,GA,1820,
2005,Alzheimer's disease (G30),Alzheimer's disease,GA,1745,
2004,Alzheimer's disease (G30),Alzheimer's disease,GA,1710,
2003,Alzheimer's disease (G30),Alzheimer's disease,GA,1630,
2002,Alzheimer's disease (G30),Alzheimer's disease,GA,1525,
2001,Alzheimer's disease (G30),Alzheimer's disease,GA,1419,
2000,Alzheimer's disease (G30),Alzheimer's disease,GA,1235,
1999,Alzheimer's disease (G30),Alzheimer's disease,GA,1080,
2016,Malignant neoplasms (C00-C97),Cancer,GA,17184,15051.1111111111
2015,Malignant neoplasms (C00-C97),Cancer,GA,16945,
2014,Malignant neoplasms (C00-C97),Cancer,GA,16684,
2013,Malignant neoplasms (C00-C97),Cancer,GA,16417,
2012,Malignant neoplasms (C00-C97),Cancer,GA,16021,
2011,Malignant neoplasms (C00-C97),Cancer,GA,15602,
2010,Malignant neoplasms (C00-C97),Cancer,GA,15435,
2009,Malignant neoplasms (C00-C97),Cancer,GA,15143,
2008,Malignant neoplasms (C00-C97),Cancer,GA,14621,
2007,Malignant neoplasms (C00-C97),Cancer,GA,14983,
2006,Malignant neoplasms (C00-C97),Cancer,GA,14474,
2005,Malignant neoplasms (C00-C97),Cancer,GA,14358,
2004,Malignant neoplasms (C00-C97),Cancer,GA,14313,
2003,Malignant neoplasms (C00-C97),Cancer,GA,14032,
2002,Malignant neoplasms (C00-C97),Cancer,GA,13975,
2001,Malignant neoplasms (C00-C97),Cancer,GA,13818,
2000,Malignant neoplasms (C00-C97),Cancer,GA,13690,
1999,Malignant neoplasms (C00-C97),Cancer,GA,13225,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,GA,4805,3654
2015,Chronic lower respiratory diseases (J40-J47),CLRD,GA,4607,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,GA,4332,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,GA,4172,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3977,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3837,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3816,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3736,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3546,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3384,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3387,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3411,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3125,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3254,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3163,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3097,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3067,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,GA,3056,
2016,Diabetes mellitus (E10-E14),Diabetes,GA,2238,1803.5
2015,Diabetes mellitus (E10-E14),Diabetes,GA,2210,
2014,Diabetes mellitus (E10-E14),Diabetes,GA,2230,
2013,Diabetes mellitus (E10-E14),Diabetes,GA,2199,
2012,Diabetes mellitus (E10-E14),Diabetes,GA,2088,
2011,Diabetes mellitus (E10-E14),Diabetes,GA,2121,
2010,Diabetes mellitus (E10-E14),Diabetes,GA,1996,
2009,Diabetes mellitus (E10-E14),Diabetes,GA,1582,
2008,Diabetes mellitus (E10-E14),Diabetes,GA,1496,
2007,Diabetes mellitus (E10-E14),Diabetes,GA,1604,
2006,Diabetes mellitus (E10-E14),Diabetes,GA,1657,
2005,Diabetes mellitus (E10-E14),Diabetes,GA,1742,
2004,Diabetes mellitus (E10-E14),Diabetes,GA,1623,
2003,Diabetes mellitus (E10-E14),Diabetes,GA,1717,
2002,Diabetes mellitus (E10-E14),Diabetes,GA,1576,
2001,Diabetes mellitus (E10-E14),Diabetes,GA,1475,
2000,Diabetes mellitus (E10-E14),Diabetes,GA,1461,
1999,Diabetes mellitus (E10-E14),Diabetes,GA,1448,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,18143,16791
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,17769,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,17107,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16550,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,15825,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,15773,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,15987,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16165,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,15721,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16184,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16478,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16781,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,GA,16557,
