Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,HI,445,223.388888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,HI,422,
2014,Alzheimer's disease (G30),Alzheimer's disease,HI,326,
2013,Alzheimer's disease (G30),Alzheimer's disease,HI,260,
2012,Alzheimer's disease (G30),Alzheimer's disease,HI,249,
2011,Alzheimer's disease (G30),Alzheimer's disease,HI,197,
2010,Alzheimer's disease (G30),Alzheimer's disease,HI,189,
2009,Alzheimer's disease (G30),Alzheimer's disease,HI,253,
2008,Alzheimer's disease (G30),Alzheimer's disease,HI,218,
2007,Alzheimer's disease (G30),Alzheimer's disease,HI,247,
2006,Alzheimer's disease (G30),Alzheimer's disease,HI,201,
2005,Alzheimer's disease (G30),Alzheimer's disease,HI,192,
2004,Alzheimer's disease (G30),Alzheimer's disease,HI,171,
2003,Alzheimer's disease (G30),Alzheimer's disease,HI,161,
2002,Alzheimer's disease (G30),Alzheimer's disease,HI,141,
2001,Alzheimer's disease (G30),Alzheimer's disease,HI,122,
2000,Alzheimer's disease (G30),Alzheimer's disease,HI,118,
1999,Alzheimer's disease (G30),Alzheimer's disease,HI,109,
2016,Malignant neoplasms (C00-C97),Cancer,HI,2401,2197.61111111111
2015,Malignant neoplasms (C00-C97),Cancer,HI,2462,
2014,Malignant neoplasms (C00-C97),Cancer,HI,2493,
2013,Malignant neoplasms (C00-C97),Cancer,HI,2332,
2012,Malignant neoplasms (C00-C97),Cancer,HI,2284,
2011,Malignant neoplasms (C00-C97),Cancer,HI,2278,
2010,Malignant neoplasms (C00-C97),Cancer,HI,2266,
2009,Malignant neoplasms (C00-C97),Cancer,HI,2244,
2008,Malignant neoplasms (C00-C97),Cancer,HI,2194,
2007,Malignant neoplasms (C00-C97),Cancer,HI,2214,
2006,Malignant neoplasms (C00-C97),Cancer,HI,2171,
2005,Malignant neoplasms (C00-C97),Cancer,HI,2169,
2004,Malignant neoplasms (C00-C97),Cancer,HI,2088,
2003,Malignant neoplasms (C00-C97),Cancer,HI,2133,
2002,Malignant neoplasms (C00-C97),Cancer,HI,1945,
2001,Malignant neoplasms (C00-C97),Cancer,HI,2024,
2000,Malignant neoplasms (C00-C97),Cancer,HI,1943,
1999,Malignant neoplasms (C00-C97),Cancer,HI,1916,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,HI,342,298.555555555556
2015,Chronic lower respiratory diseases (J40-J47),CLRD,HI,332,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,HI,313,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,HI,279,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,HI,312,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,HI,318,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,HI,296,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,HI,303,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,HI,293,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,HI,299,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,HI,293,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,HI,287,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,HI,307,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,HI,287,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,HI,265,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,HI,280,
