Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,ID,607,380.833333333333
2015,Alzheimer's disease (G30),Alzheimer's disease,ID,552,
2014,Alzheimer's disease (G30),Alzheimer's disease,ID,376,
2013,Alzheimer's disease (G30),Alzheimer's disease,ID,347,
2012,Alzheimer's disease (G30),Alzheimer's disease,ID,354,
2011,Alzheimer's disease (G30),Alzheimer's disease,ID,409,
2010,Alzheimer's disease (G30),Alzheimer's disease,ID,410,
2009,Alzheimer's disease (G30),Alzheimer's disease,ID,369,
2008,Alzheimer's disease (G30),Alzheimer's disease,ID,393,
2007,Alzheimer's disease (G30),Alzheimer's disease,ID,416,
2006,Alzheimer's disease (G30),Alzheimer's disease,ID,400,
2005,Alzheimer's disease (G30),Alzheimer's disease,ID,407,
2004,Alzheimer's disease (G30),Alzheimer's disease,ID,343,
2003,Alzheimer's disease (G30),Alzheimer's disease,ID,355,
2002,Alzheimer's disease (G30),Alzheimer's disease,ID,318,
2001,Alzheimer's disease (G30),Alzheimer's disease,ID,294,
2000,Alzheimer's disease (G30),Alzheimer's disease,ID,262,
1999,Alzheimer's disease (G30),Alzheimer's disease,ID,243,
2016,Malignant neoplasms (C00-C97),Cancer,ID,2884,2486.11111111111
2015,Malignant neoplasms (C00-C97),Cancer,ID,2849,
2014,Malignant neoplasms (C00-C97),Cancer,ID,2795,
2013,Malignant neoplasms (C00-C97),Cancer,ID,2707,
2012,Malignant neoplasms (C00-C97),Cancer,ID,2572,
2011,Malignant neoplasms (C00-C97),Cancer,ID,2573,
2010,Malignant neoplasms (C00-C97),Cancer,ID,2530,
2009,Malignant neoplasms (C00-C97),Cancer,ID,2458,
2008,Malignant neoplasms (C00-C97),Cancer,ID,2511,
2007,Malignant neoplasms (C00-C97),Cancer,ID,2405,
2006,Malignant neoplasms (C00-C97),Cancer,ID,2306,
2005,Malignant neoplasms (C00-C97),Cancer,ID,2368,
2004,Malignant neoplasms (C00-C97),Cancer,ID,2227,
2003,Malignant neoplasms (C00-C97),Cancer,ID,2321,
2002,Malignant neoplasms (C00-C97),Cancer,ID,2138,
2001,Malignant neoplasms (C00-C97),Cancer,ID,2093,
2000,Malignant neoplasms (C00-C97),Cancer,ID,2128,
1999,Malignant neoplasms (C00-C97),Cancer,ID,2885,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,ID,865,698.944444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,ID,843,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,ID,819,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,ID,808,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,ID,754,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,ID,824,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,ID,727,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,ID,725,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,ID,703,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,ID,666,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,ID,644,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,ID,717,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,ID,572,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,ID,601,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,ID,595,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,ID,581,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,ID,569,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,ID,568,
2016,Diabetes mellitus (E10-E14),Diabetes,ID,375,349.944444444444
2015,Diabetes mellitus (E10-E14),Diabetes,ID,403,
2014,Diabetes mellitus (E10-E14),Diabetes,ID,409,
2013,Diabetes mellitus (E10-E14),Diabetes,ID,404,
2012,Diabetes mellitus (E10-E14),Diabetes,ID,371,
2011,Diabetes mellitus (E10-E14),Diabetes,ID,393,
2010,Diabetes mellitus (E10-E14),Diabetes,ID,353,
2009,Diabetes mellitus (E10-E14),Diabetes,ID,372,
2008,Diabetes mellitus (E10-E14),Diabetes,ID,356,
2007,Diabetes mellitus (E10-E14),Diabetes,ID,331,
2006,Diabetes mellitus (E10-E14),Diabetes,ID,320,
2005,Diabetes mellitus (E10-E14),Diabetes,ID,299,
2004,Diabetes mellitus (E10-E14),Diabetes,ID,344,
2003,Diabetes mellitus (E10-E14),Diabetes,ID,358,
2002,Diabetes mellitus (E10-E14),Diabetes,ID,322,
2001,Diabetes mellitus (E10-E14),Diabetes,ID,318,
2000,Diabetes mellitus (E10-E14),Diabetes,ID,304,
1999,Diabetes mellitus (E10-E14),Diabetes,ID,267,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2969,2533.05555555556
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2825,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2676,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2495,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2515,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2522,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2495,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2398,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2330,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ID,2433,
