Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,IN,2678,1804.88888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,IN,2513,
2014,Alzheimer's disease (G30),Alzheimer's disease,IN,2204,
2013,Alzheimer's disease (G30),Alzheimer's disease,IN,2104,
2012,Alzheimer's disease (G30),Alzheimer's disease,IN,2038,
2011,Alzheimer's disease (G30),Alzheimer's disease,IN,2058,
2010,Alzheimer's disease (G30),Alzheimer's disease,IN,1940,
2009,Alzheimer's disease (G30),Alzheimer's disease,IN,1884,
2008,Alzheimer's disease (G30),Alzheimer's disease,IN,1971,
2007,Alzheimer's disease (G30),Alzheimer's disease,IN,1663,
2006,Alzheimer's disease (G30),Alzheimer's disease,IN,1696,
2005,Alzheimer's disease (G30),Alzheimer's disease,IN,1651,
2004,Alzheimer's disease (G30),Alzheimer's disease,IN,1552,
2003,Alzheimer's disease (G30),Alzheimer's disease,IN,1515,
2002,Alzheimer's disease (G30),Alzheimer's disease,IN,1475,
2001,Alzheimer's disease (G30),Alzheimer's disease,IN,1231,
2000,Alzheimer's disease (G30),Alzheimer's disease,IN,1209,
1999,Alzheimer's disease (G30),Alzheimer's disease,IN,1106,
2016,Malignant neoplasms (C00-C97),Cancer,IN,13424,13058.4444444444
2015,Malignant neoplasms (C00-C97),Cancer,IN,13511,
2014,Malignant neoplasms (C00-C97),Cancer,IN,13519,
2013,Malignant neoplasms (C00-C97),Cancer,IN,13258,
2012,Malignant neoplasms (C00-C97),Cancer,IN,13368,
2011,Malignant neoplasms (C00-C97),Cancer,IN,13180,
2010,Malignant neoplasms (C00-C97),Cancer,IN,13164,
2009,Malignant neoplasms (C00-C97),Cancer,IN,13093,
2008,Malignant neoplasms (C00-C97),Cancer,IN,13137,
2007,Malignant neoplasms (C00-C97),Cancer,IN,12778,
2006,Malignant neoplasms (C00-C97),Cancer,IN,12903,
2005,Malignant neoplasms (C00-C97),Cancer,IN,12796,
2004,Malignant neoplasms (C00-C97),Cancer,IN,12552,
2003,Malignant neoplasms (C00-C97),Cancer,IN,12933,
2002,Malignant neoplasms (C00-C97),Cancer,IN,12865,
2001,Malignant neoplasms (C00-C97),Cancer,IN,12831,
2000,Malignant neoplasms (C00-C97),Cancer,IN,12842,
1999,Malignant neoplasms (C00-C97),Cancer,IN,12898,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,IN,4214,3607.83333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,IN,4212,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,IN,4029,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,IN,4266,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3962,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,IN,4064,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3794,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3745,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3878,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3227,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3291,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3471,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3145,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3264,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3138,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3136,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3052,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,IN,3053,
2016,Diabetes mellitus (E10-E14),Diabetes,IN,1992,1742.55555555556
2015,Diabetes mellitus (E10-E14),Diabetes,IN,2030,
2014,Diabetes mellitus (E10-E14),Diabetes,IN,1819,
2013,Diabetes mellitus (E10-E14),Diabetes,IN,1943,
2012,Diabetes mellitus (E10-E14),Diabetes,IN,1860,
2011,Diabetes mellitus (E10-E14),Diabetes,IN,1808,
2010,Diabetes mellitus (E10-E14),Diabetes,IN,1587,
2009,Diabetes mellitus (E10-E14),Diabetes,IN,1646,
2008,Diabetes mellitus (E10-E14),Diabetes,IN,1683,
2007,Diabetes mellitus (E10-E14),Diabetes,IN,1564,
2006,Diabetes mellitus (E10-E14),Diabetes,IN,1682,
2005,Diabetes mellitus (E10-E14),Diabetes,IN,1719,
2004,Diabetes mellitus (E10-E14),Diabetes,IN,1673,
2003,Diabetes mellitus (E10-E14),Diabetes,IN,1731,
2002,Diabetes mellitus (E10-E14),Diabetes,IN,1688,
2001,Diabetes mellitus (E10-E14),Diabetes,IN,1677,
2000,Diabetes mellitus (E10-E14),Diabetes,IN,1673,
1999,Diabetes mellitus (E10-E14),Diabetes,IN,1591,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13952,14423.3333333333
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13948,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13764,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13773,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13675,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13372,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13388,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13509,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13663,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,13682,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,14375,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,14542,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,14636,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,15467,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,15321,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,15682,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,16210,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IN,16661,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,962,1172.77777777778
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1044,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1063,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1132,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,973,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1031,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1175,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1191,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1318,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1098,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1129,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1317,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1136,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1365,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1360,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1184,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1270,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IN,1362,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1411,1301.05555555556
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1450,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1392,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1352,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1221,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1367,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1516,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1442,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1363,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1293,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IN,1372,
