Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,IA,1415,1142.55555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,IA,1339,
2014,Alzheimer's disease (G30),Alzheimer's disease,IA,1313,
2013,Alzheimer's disease (G30),Alzheimer's disease,IA,1252,
2012,Alzheimer's disease (G30),Alzheimer's disease,IA,1336,
2011,Alzheimer's disease (G30),Alzheimer's disease,IA,1406,
2010,Alzheimer's disease (G30),Alzheimer's disease,IA,1411,
2009,Alzheimer's disease (G30),Alzheimer's disease,IA,1265,
2008,Alzheimer's disease (G30),Alzheimer's disease,IA,1332,
2007,Alzheimer's disease (G30),Alzheimer's disease,IA,1202,
2006,Alzheimer's disease (G30),Alzheimer's disease,IA,1121,
2005,Alzheimer's disease (G30),Alzheimer's disease,IA,1082,
2004,Alzheimer's disease (G30),Alzheimer's disease,IA,968,
2003,Alzheimer's disease (G30),Alzheimer's disease,IA,887,
2002,Alzheimer's disease (G30),Alzheimer's disease,IA,899,
2001,Alzheimer's disease (G30),Alzheimer's disease,IA,863,
2000,Alzheimer's disease (G30),Alzheimer's disease,IA,769,
1999,Alzheimer's disease (G30),Alzheimer's disease,IA,706,
2016,Malignant neoplasms (C00-C97),Cancer,IA,6432,6420.88888888889
2015,Malignant neoplasms (C00-C97),Cancer,IA,6513,
2014,Malignant neoplasms (C00-C97),Cancer,IA,6504,
2013,Malignant neoplasms (C00-C97),Cancer,IA,6509,
2012,Malignant neoplasms (C00-C97),Cancer,IA,6438,
2011,Malignant neoplasms (C00-C97),Cancer,IA,6481,
2010,Malignant neoplasms (C00-C97),Cancer,IA,6358,
2009,Malignant neoplasms (C00-C97),Cancer,IA,6249,
2008,Malignant neoplasms (C00-C97),Cancer,IA,6424,
2007,Malignant neoplasms (C00-C97),Cancer,IA,6376,
2006,Malignant neoplasms (C00-C97),Cancer,IA,6359,
2005,Malignant neoplasms (C00-C97),Cancer,IA,6453,
2004,Malignant neoplasms (C00-C97),Cancer,IA,6340,
2003,Malignant neoplasms (C00-C97),Cancer,IA,6469,
2002,Malignant neoplasms (C00-C97),Cancer,IA,6473,
2001,Malignant neoplasms (C00-C97),Cancer,IA,6404,
2000,Malignant neoplasms (C00-C97),Cancer,IA,6448,
1999,Malignant neoplasms (C00-C97),Cancer,IA,6346,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,IA,2006,1743.61111111111
2015,Chronic lower respiratory diseases (J40-J47),CLRD,IA,2011,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1915,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1892,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1824,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1833,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1698,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1832,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1848,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1660,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1655,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1703,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1547,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1674,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1580,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1552,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1512,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,IA,1643,
2016,Diabetes mellitus (E10-E14),Diabetes,IA,847,768.5
2015,Diabetes mellitus (E10-E14),Diabetes,IA,1077,
2014,Diabetes mellitus (E10-E14),Diabetes,IA,1019,
2013,Diabetes mellitus (E10-E14),Diabetes,IA,747,
2012,Diabetes mellitus (E10-E14),Diabetes,IA,692,
2011,Diabetes mellitus (E10-E14),Diabetes,IA,770,
2010,Diabetes mellitus (E10-E14),Diabetes,IA,733,
2009,Diabetes mellitus (E10-E14),Diabetes,IA,702,
2008,Diabetes mellitus (E10-E14),Diabetes,IA,764,
2007,Diabetes mellitus (E10-E14),Diabetes,IA,767,
2006,Diabetes mellitus (E10-E14),Diabetes,IA,804,
2005,Diabetes mellitus (E10-E14),Diabetes,IA,727,
2004,Diabetes mellitus (E10-E14),Diabetes,IA,700,
2003,Diabetes mellitus (E10-E14),Diabetes,IA,727,
2002,Diabetes mellitus (E10-E14),Diabetes,IA,734,
2001,Diabetes mellitus (E10-E14),Diabetes,IA,709,
2000,Diabetes mellitus (E10-E14),Diabetes,IA,630,
1999,Diabetes mellitus (E10-E14),Diabetes,IA,684,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6937,7362.22222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6813,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6615,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6995,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7005,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6736,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6880,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6938,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7284,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,6880,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7172,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7437,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7299,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,7840,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,8181,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,8250,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,8559,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,IA,8699,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,504,778.555555555556
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,618,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,582,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,761,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,664,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,660,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,560,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,661,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,829,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,749,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,770,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,896,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,890,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,1032,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,942,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,877,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,937,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,IA,1082,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,352,289.5
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,336,
