Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,KS,855,784.111111111111
2015,Alzheimer's disease (G30),Alzheimer's disease,KS,865,
2014,Alzheimer's disease (G30),Alzheimer's disease,KS,790,
2013,Alzheimer's disease (G30),Alzheimer's disease,KS,742,
2012,Alzheimer's disease (G30),Alzheimer's disease,KS,789,
2011,Alzheimer's disease (G30),Alzheimer's disease,KS,795,
2010,Alzheimer's disease (G30),Alzheimer's disease,KS,825,
2009,Alzheimer's disease (G30),Alzheimer's disease,KS,802,
2008,Alzheimer's disease (G30),Alzheimer's disease,KS,961,
2007,Alzheimer's disease (G30),Alzheimer's disease,KS,860,
2006,Alzheimer's disease (G30),Alzheimer's disease,KS,830,
2005,Alzheimer's disease (G30),Alzheimer's disease,KS,912,
2004,Alzheimer's disease (G30),Alzheimer's disease,KS,769,
2003,Alzheimer's disease (G30),Alzheimer's disease,KS,781,
2002,Alzheimer's disease (G30),Alzheimer's disease,KS,755,
2001,Alzheimer's disease (G30),Alzheimer's disease,KS,642,
2000,Alzheimer's disease (G30),Alzheimer's disease,KS,630,
1999,Alzheimer's disease (G30),Alzheimer's disease,KS,511,
2016,Malignant neoplasms (C00-C97),Cancer,KS,5484,5394.5
2015,Malignant neoplasms (C00-C97),Cancer,KS,5604,
2014,Malignant neoplasms (C00-C97),Cancer,KS,5587,
2013,Malignant neoplasms (C00-C97),Cancer,KS,5379,
2012,Malignant neoplasms (C00-C97),Cancer,KS,5429,
2011,Malignant neoplasms (C00-C97),Cancer,KS,5440,
2010,Malignant neoplasms (C00-C97),Cancer,KS,5377,
2009,Malignant neoplasms (C00-C97),Cancer,KS,5319,
2008,Malignant neoplasms (C00-C97),Cancer,KS,5294,
2007,Malignant neoplasms (C00-C97),Cancer,KS,5406,
2006,Malignant neoplasms (C00-C97),Cancer,KS,5343,
2005,Malignant neoplasms (C00-C97),Cancer,KS,5428,
2004,Malignant neoplasms (C00-C97),Cancer,KS,5312,
2003,Malignant neoplasms (C00-C97),Cancer,KS,5332,
2002,Malignant neoplasms (C00-C97),Cancer,KS,5362,
2001,Malignant neoplasms (C00-C97),Cancer,KS,5448,
2000,Malignant neoplasms (C00-C97),Cancer,KS,5223,
1999,Malignant neoplasms (C00-C97),Cancer,KS,5334,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1654,1540.83333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1704,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1673,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1673,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1687,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1647,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1580,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1580,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1626,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1476,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1501,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1567,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1316,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1443,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1367,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1444,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1411,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,KS,1386,
2016,Diabetes mellitus (E10-E14),Diabetes,KS,727,688.055555555556
2015,Diabetes mellitus (E10-E14),Diabetes,KS,684,
2014,Diabetes mellitus (E10-E14),Diabetes,KS,643,
2013,Diabetes mellitus (E10-E14),Diabetes,KS,654,
2012,Diabetes mellitus (E10-E14),Diabetes,KS,639,
2011,Diabetes mellitus (E10-E14),Diabetes,KS,711,
2010,Diabetes mellitus (E10-E14),Diabetes,KS,655,
2009,Diabetes mellitus (E10-E14),Diabetes,KS,635,
2008,Diabetes mellitus (E10-E14),Diabetes,KS,706,
2007,Diabetes mellitus (E10-E14),Diabetes,KS,702,
2006,Diabetes mellitus (E10-E14),Diabetes,KS,749,
2005,Diabetes mellitus (E10-E14),Diabetes,KS,710,
2004,Diabetes mellitus (E10-E14),Diabetes,KS,690,
2003,Diabetes mellitus (E10-E14),Diabetes,KS,676,
2002,Diabetes mellitus (E10-E14),Diabetes,KS,765,
2001,Diabetes mellitus (E10-E14),Diabetes,KS,721,
2000,Diabetes mellitus (E10-E14),Diabetes,KS,668,
1999,Diabetes mellitus (E10-E14),Diabetes,KS,650,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,KS,5672,5922.27777777778
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,KS,5624,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,KS,5479,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,KS,5364,
