Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,KY,1728,1258.61111111111
2015,Alzheimer's disease (G30),Alzheimer's disease,KY,1694,
2014,Alzheimer's disease (G30),Alzheimer's disease,KY,1523,
2013,Alzheimer's disease (G30),Alzheimer's disease,KY,1462,
2012,Alzheimer's disease (G30),Alzheimer's disease,KY,1506,
2011,Alzheimer's disease (G30),Alzheimer's disease,KY,1459,
2010,Alzheimer's disease (G30),Alzheimer's disease,KY,1464,
2009,Alzheimer's disease (G30),Alzheimer's disease,KY,1345,
2008,Alzheimer's disease (G30),Alzheimer's disease,KY,1370,
2007,Alzheimer's disease (G30),Alzheimer's disease,KY,1198,
2006,Alzheimer's disease (G30),Alzheimer's disease,KY,1153,
2005,Alzheimer's disease (G30),Alzheimer's disease,KY,1147,
2004,Alzheimer's disease (G30),Alzheimer's disease,KY,982,
2003,Alzheimer's disease (G30),Alzheimer's disease,KY,1072,
2002,Alzheimer's disease (G30),Alzheimer's disease,KY,1013,
2001,Alzheimer's disease (G30),Alzheimer's disease,KY,966,
2000,Alzheimer's disease (G30),Alzheimer's disease,KY,845,
1999,Alzheimer's disease (G30),Alzheimer's disease,KY,728,
2016,Malignant neoplasms (C00-C97),Cancer,KY,10363,9665.38888888889
2015,Malignant neoplasms (C00-C97),Cancer,KY,10312,
2014,Malignant neoplasms (C00-C97),Cancer,KY,10263,
2013,Malignant neoplasms (C00-C97),Cancer,KY,10085,
2012,Malignant neoplasms (C00-C97),Cancer,KY,10012,
2011,Malignant neoplasms (C00-C97),Cancer,KY,9733,
2010,Malignant neoplasms (C00-C97),Cancer,KY,9930,
2009,Malignant neoplasms (C00-C97),Cancer,KY,9634,
2008,Malignant neoplasms (C00-C97),Cancer,KY,9589,
2007,Malignant neoplasms (C00-C97),Cancer,KY,9692,
2006,Malignant neoplasms (C00-C97),Cancer,KY,9394,
2005,Malignant neoplasms (C00-C97),Cancer,KY,9505,
2004,Malignant neoplasms (C00-C97),Cancer,KY,9159,
2003,Malignant neoplasms (C00-C97),Cancer,KY,9378,
2002,Malignant neoplasms (C00-C97),Cancer,KY,9438,
2001,Malignant neoplasms (C00-C97),Cancer,KY,9358,
2000,Malignant neoplasms (C00-C97),Cancer,KY,9207,
1999,Malignant neoplasms (C00-C97),Cancer,KY,8925,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3486,2740.55555555556
2015,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3331,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3214,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3187,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3100,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,KY,3020,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2779,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2854,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2926,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2629,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2407,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2578,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2265,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2391,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2401,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2265,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2170,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,KY,2327,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,KY,338,
2016,Diabetes mellitus (E10-E14),Diabetes,KY,1479,1228.38888888889
