Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,LA,2195,1344.94444444444
2015,Alzheimer's disease (G30),Alzheimer's disease,LA,2018,
2014,Alzheimer's disease (G30),Alzheimer's disease,LA,1670,
2013,Alzheimer's disease (G30),Alzheimer's disease,LA,1505,
2012,Alzheimer's disease (G30),Alzheimer's disease,LA,1399,
2011,Alzheimer's disease (G30),Alzheimer's disease,LA,1406,
2010,Alzheimer's disease (G30),Alzheimer's disease,LA,1295,
2009,Alzheimer's disease (G30),Alzheimer's disease,LA,1336,
2008,Alzheimer's disease (G30),Alzheimer's disease,LA,1361,
2007,Alzheimer's disease (G30),Alzheimer's disease,LA,1324,
2006,Alzheimer's disease (G30),Alzheimer's disease,LA,1282,
2005,Alzheimer's disease (G30),Alzheimer's disease,LA,1405,
2004,Alzheimer's disease (G30),Alzheimer's disease,LA,1267,
2003,Alzheimer's disease (G30),Alzheimer's disease,LA,1184,
2002,Alzheimer's disease (G30),Alzheimer's disease,LA,1111,
2001,Alzheimer's disease (G30),Alzheimer's disease,LA,957,
2000,Alzheimer's disease (G30),Alzheimer's disease,LA,811,
1999,Alzheimer's disease (G30),Alzheimer's disease,LA,683,
2016,Malignant neoplasms (C00-C97),Cancer,LA,9149,9279.66666666667
2015,Malignant neoplasms (C00-C97),Cancer,LA,9397,
2014,Malignant neoplasms (C00-C97),Cancer,LA,9455,
2013,Malignant neoplasms (C00-C97),Cancer,LA,9419,
2012,Malignant neoplasms (C00-C97),Cancer,LA,9308,
2011,Malignant neoplasms (C00-C97),Cancer,LA,9233,
2010,Malignant neoplasms (C00-C97),Cancer,LA,9203,
2009,Malignant neoplasms (C00-C97),Cancer,LA,9098,
2008,Malignant neoplasms (C00-C97),Cancer,LA,9197,
2007,Malignant neoplasms (C00-C97),Cancer,LA,8736,
2006,Malignant neoplasms (C00-C97),Cancer,LA,8853,
2005,Malignant neoplasms (C00-C97),Cancer,LA,9249,
2004,Malignant neoplasms (C00-C97),Cancer,LA,9434,
2003,Malignant neoplasms (C00-C97),Cancer,LA,9533,
2002,Malignant neoplasms (C00-C97),Cancer,LA,9441,
2001,Malignant neoplasms (C00-C97),Cancer,LA,9517,
2000,Malignant neoplasms (C00-C97),Cancer,LA,9400,
1999,Malignant neoplasms (C00-C97),Cancer,LA,9412,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,LA,2221,1887.66666666667
