Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,ME,577,476
2015,Alzheimer's disease (G30),Alzheimer's disease,ME,544,
2014,Alzheimer's disease (G30),Alzheimer's disease,ME,434,
2013,Alzheimer's disease (G30),Alzheimer's disease,ME,401,
2012,Alzheimer's disease (G30),Alzheimer's disease,ME,432,
2011,Alzheimer's disease (G30),Alzheimer's disease,ME,481,
2010,Alzheimer's disease (G30),Alzheimer's disease,ME,502,
2009,Alzheimer's disease (G30),Alzheimer's disease,ME,466,
2008,Alzheimer's disease (G30),Alzheimer's disease,ME,450,
2007,Alzheimer's disease (G30),Alzheimer's disease,ME,470,
2006,Alzheimer's disease (G30),Alzheimer's disease,ME,477,
2005,Alzheimer's disease (G30),Alzheimer's disease,ME,476,
2004,Alzheimer's disease (G30),Alzheimer's disease,ME,512,
2003,Alzheimer's disease (G30),Alzheimer's disease,ME,467,
2002,Alzheimer's disease (G30),Alzheimer's disease,ME,513,
2001,Alzheimer's disease (G30),Alzheimer's disease,ME,471,
2000,Alzheimer's disease (G30),Alzheimer's disease,ME,466,
1999,Alzheimer's disease (G30),Alzheimer's disease,ME,429,
2016,Malignant neoplasms (C00-C97),Cancer,ME,3275,3168.27777777778
2015,Malignant neoplasms (C00-C97),Cancer,ME,3398,
2014,Malignant neoplasms (C00-C97),Cancer,ME,3209,
2013,Malignant neoplasms (C00-C97),Cancer,ME,3227,
2012,Malignant neoplasms (C00-C97),Cancer,ME,3226,
2011,Malignant neoplasms (C00-C97),Cancer,ME,3201,
2010,Malignant neoplasms (C00-C97),Cancer,ME,3248,
2009,Malignant neoplasms (C00-C97),Cancer,ME,3133,
2008,Malignant neoplasms (C00-C97),Cancer,ME,3093,
2007,Malignant neoplasms (C00-C97),Cancer,ME,3112,
2006,Malignant neoplasms (C00-C97),Cancer,ME,3089,
2005,Malignant neoplasms (C00-C97),Cancer,ME,3218,
2004,Malignant neoplasms (C00-C97),Cancer,ME,3124,
2003,Malignant neoplasms (C00-C97),Cancer,ME,3120,
2002,Malignant neoplasms (C00-C97),Cancer,ME,3206,
2001,Malignant neoplasms (C00-C97),Cancer,ME,3045,
2000,Malignant neoplasms (C00-C97),Cancer,ME,3070,
1999,Malignant neoplasms (C00-C97),Cancer,ME,3035,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,ME,928,824.055555555556
2015,Chronic lower respiratory diseases (J40-J47),CLRD,ME,1025,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,ME,896,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,ME,902,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,ME,817,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,ME,842,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,ME,809,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,ME,821,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,ME,794,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,ME,728,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,ME,783,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,ME,830,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,ME,766,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,ME,782,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,ME,791,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,ME,800,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,ME,768,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,ME,751,
2016,Diabetes mellitus (E10-E14),Diabetes,ME,463,379.444444444444
2015,Diabetes mellitus (E10-E14),Diabetes,ME,407,
2014,Diabetes mellitus (E10-E14),Diabetes,ME,414,
2013,Diabetes mellitus (E10-E14),Diabetes,ME,373,
2012,Diabetes mellitus (E10-E14),Diabetes,ME,380,
2011,Diabetes mellitus (E10-E14),Diabetes,ME,353,
2010,Diabetes mellitus (E10-E14),Diabetes,ME,376,
2009,Diabetes mellitus (E10-E14),Diabetes,ME,350,
2008,Diabetes mellitus (E10-E14),Diabetes,ME,344,
2007,Diabetes mellitus (E10-E14),Diabetes,ME,355,
2006,Diabetes mellitus (E10-E14),Diabetes,ME,343,
2005,Diabetes mellitus (E10-E14),Diabetes,ME,385,
2004,Diabetes mellitus (E10-E14),Diabetes,ME,382,
2003,Diabetes mellitus (E10-E14),Diabetes,ME,398,
2002,Diabetes mellitus (E10-E14),Diabetes,ME,404,
2001,Diabetes mellitus (E10-E14),Diabetes,ME,398,
2000,Diabetes mellitus (E10-E14),Diabetes,ME,357,
1999,Diabetes mellitus (E10-E14),Diabetes,ME,348,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2907,2932.16666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3009,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2776,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2807,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2623,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2648,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2628,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2674,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2785,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2852,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2815,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2941,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,2948,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3106,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3170,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3272,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3400,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ME,3418,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,231,279.777777777778
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,333,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,258,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,258,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,205,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,302,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,234,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,251,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,263,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,236,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,269,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,352,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,308,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,327,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,317,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,269,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,336,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ME,287,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,239,241.777777777778
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,211,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,223,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,252,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,257,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,257,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,272,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,272,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,263,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,269,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,252,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ME,250,
