Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MD,1178,929.055555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,MD,1095,
2014,Alzheimer's disease (G30),Alzheimer's disease,MD,934,
2013,Alzheimer's disease (G30),Alzheimer's disease,MD,919,
2012,Alzheimer's disease (G30),Alzheimer's disease,MD,906,
2011,Alzheimer's disease (G30),Alzheimer's disease,MD,922,
2010,Alzheimer's disease (G30),Alzheimer's disease,MD,986,
2009,Alzheimer's disease (G30),Alzheimer's disease,MD,937,
2008,Alzheimer's disease (G30),Alzheimer's disease,MD,1016,
2007,Alzheimer's disease (G30),Alzheimer's disease,MD,881,
2006,Alzheimer's disease (G30),Alzheimer's disease,MD,915,
2005,Alzheimer's disease (G30),Alzheimer's disease,MD,958,
2004,Alzheimer's disease (G30),Alzheimer's disease,MD,905,
2003,Alzheimer's disease (G30),Alzheimer's disease,MD,865,
2002,Alzheimer's disease (G30),Alzheimer's disease,MD,866,
2001,Alzheimer's disease (G30),Alzheimer's disease,MD,948,
2000,Alzheimer's disease (G30),Alzheimer's disease,MD,811,
1999,Alzheimer's disease (G30),Alzheimer's disease,MD,681,
2016,Malignant neoplasms (C00-C97),Cancer,MD,10911,10398.4444444444
2015,Malignant neoplasms (C00-C97),Cancer,MD,10568,
2014,Malignant neoplasms (C00-C97),Cancer,MD,10759,
2013,Malignant neoplasms (C00-C97),Cancer,MD,10609,
2012,Malignant neoplasms (C00-C97),Cancer,MD,10525,
2011,Malignant neoplasms (C00-C97),Cancer,MD,10249,
2010,Malignant neoplasms (C00-C97),Cancer,MD,10269,
2009,Malignant neoplasms (C00-C97),Cancer,MD,10412,
2008,Malignant neoplasms (C00-C97),Cancer,MD,10360,
2007,Malignant neoplasms (C00-C97),Cancer,MD,10179,
2006,Malignant neoplasms (C00-C97),Cancer,MD,10350,
2005,Malignant neoplasms (C00-C97),Cancer,MD,10371,
2004,Malignant neoplasms (C00-C97),Cancer,MD,10168,
2003,Malignant neoplasms (C00-C97),Cancer,MD,10292,
2002,Malignant neoplasms (C00-C97),Cancer,MD,10395,
2001,Malignant neoplasms (C00-C97),Cancer,MD,10322,
2000,Malignant neoplasms (C00-C97),Cancer,MD,10290,
1999,Malignant neoplasms (C00-C97),Cancer,MD,10143,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2072,1969.22222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2040,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1909,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2051,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1981,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2050,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2039,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MD,2064,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1982,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1901,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1832,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1908,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1910,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1986,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1944,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1907,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1927,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MD,1943,
2016,Diabetes mellitus (E10-E14),Diabetes,MD,1358,1334.33333333333
2015,Diabetes mellitus (E10-E14),Diabetes,MD,1243,
2014,Diabetes mellitus (E10-E14),Diabetes,MD,1305,
2013,Diabetes mellitus (E10-E14),Diabetes,MD,1249,
2012,Diabetes mellitus (E10-E14),Diabetes,MD,1218,
2011,Diabetes mellitus (E10-E14),Diabetes,MD,1297,
2010,Diabetes mellitus (E10-E14),Diabetes,MD,1191,
2009,Diabetes mellitus (E10-E14),Diabetes,MD,1207,
2008,Diabetes mellitus (E10-E14),Diabetes,MD,1239,
2007,Diabetes mellitus (E10-E14),Diabetes,MD,1301,
2006,Diabetes mellitus (E10-E14),Diabetes,MD,1237,
2005,Diabetes mellitus (E10-E14),Diabetes,MD,1388,
2004,Diabetes mellitus (E10-E14),Diabetes,MD,1417,
2003,Diabetes mellitus (E10-E14),Diabetes,MD,1454,
2002,Diabetes mellitus (E10-E14),Diabetes,MD,1519,
2001,Diabetes mellitus (E10-E14),Diabetes,MD,1458,
2000,Diabetes mellitus (E10-E14),Diabetes,MD,1515,
1999,Diabetes mellitus (E10-E14),Diabetes,MD,1422,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11390,11474.6666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11481,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11135,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11244,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11023,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,10557,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,10915,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11210,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11157,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11314,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11268,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11594,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,11346,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,12164,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,12008,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,12310,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MD,12348,
