Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MA,1708,1646.66666666667
2015,Alzheimer's disease (G30),Alzheimer's disease,MA,1815,
2014,Alzheimer's disease (G30),Alzheimer's disease,MA,1688,
2013,Alzheimer's disease (G30),Alzheimer's disease,MA,1699,
2012,Alzheimer's disease (G30),Alzheimer's disease,MA,1713,
2011,Alzheimer's disease (G30),Alzheimer's disease,MA,1819,
2010,Alzheimer's disease (G30),Alzheimer's disease,MA,1773,
2009,Alzheimer's disease (G30),Alzheimer's disease,MA,1700,
2008,Alzheimer's disease (G30),Alzheimer's disease,MA,1832,
2007,Alzheimer's disease (G30),Alzheimer's disease,MA,1695,
2006,Alzheimer's disease (G30),Alzheimer's disease,MA,1560,
2005,Alzheimer's disease (G30),Alzheimer's disease,MA,1638,
2004,Alzheimer's disease (G30),Alzheimer's disease,MA,1673,
2003,Alzheimer's disease (G30),Alzheimer's disease,MA,1609,
2002,Alzheimer's disease (G30),Alzheimer's disease,MA,1570,
2001,Alzheimer's disease (G30),Alzheimer's disease,MA,1533,
2000,Alzheimer's disease (G30),Alzheimer's disease,MA,1433,
1999,Alzheimer's disease (G30),Alzheimer's disease,MA,1182,
2016,Malignant neoplasms (C00-C97),Cancer,MA,12717,363.487654320988
2015,Malignant neoplasms (C00-C97),Cancer,MA,12750,
2014,Malignant neoplasms (C00-C97),Cancer,MA,12787,
2013,Malignant neoplasms (C00-C97),Cancer,MA,12858,
2012,Malignant neoplasms (C00-C97),Cancer,MA,12864,
2011,Malignant neoplasms (C00-C97),Cancer,MA,12895,
2010,Malignant neoplasms (C00-C97),Cancer,MA,12993,
2009,Malignant neoplasms (C00-C97),Cancer,MA,13112,
2008,Malignant neoplasms (C00-C97),Cancer,MA,13031,
2007,Malignant neoplasms (C00-C97),Cancer,MA,13003,
2006,Malignant neoplasms (C00-C97),Cancer,MA,13407,
2005,Malignant neoplasms (C00-C97),Cancer,MA,13182,
2004,Malignant neoplasms (C00-C97),Cancer,MA,13337,
2003,Malignant neoplasms (C00-C97),Cancer,MA,13551,
2002,Malignant neoplasms (C00-C97),Cancer,MA,13914,
2001,Malignant neoplasms (C00-C97),Cancer,MA,13750,
2000,Malignant neoplasms (C00-C97),Cancer,MA,14027,
1999,Malignant neoplasms (C00-C97),Cancer,MA,13853,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2674,2639.83333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2784,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2592,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2572,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2520,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2651,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2383,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2559,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2587,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2332,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2535,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2647,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2574,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2765,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2745,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2810,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2925,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MA,2862,
2016,Diabetes mellitus (E10-E14),Diabetes,MA,1268,1238.94444444444
2015,Diabetes mellitus (E10-E14),Diabetes,MA,1398,
2014,Diabetes mellitus (E10-E14),Diabetes,MA,1202,
2013,Diabetes mellitus (E10-E14),Diabetes,MA,1142,
2012,Diabetes mellitus (E10-E14),Diabetes,MA,1099,
2011,Diabetes mellitus (E10-E14),Diabetes,MA,1140,
2010,Diabetes mellitus (E10-E14),Diabetes,MA,1028,
2009,Diabetes mellitus (E10-E14),Diabetes,MA,1007,
2008,Diabetes mellitus (E10-E14),Diabetes,MA,1079,
2007,Diabetes mellitus (E10-E14),Diabetes,MA,1222,
2006,Diabetes mellitus (E10-E14),Diabetes,MA,1132,
2005,Diabetes mellitus (E10-E14),Diabetes,MA,1271,
2004,Diabetes mellitus (E10-E14),Diabetes,MA,1329,
2003,Diabetes mellitus (E10-E14),Diabetes,MA,1424,
2002,Diabetes mellitus (E10-E14),Diabetes,MA,1423,
2001,Diabetes mellitus (E10-E14),Diabetes,MA,1422,
2000,Diabetes mellitus (E10-E14),Diabetes,MA,1361,
1999,Diabetes mellitus (E10-E14),Diabetes,MA,1354,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,11921,13158.8333333333
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12130,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,11817,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12023,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,11602,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,11765,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12043,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12322,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12776,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12710,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,12947,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,13280,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,13824,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,14634,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,14736,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,15144,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,15314,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MA,15871,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MA,1251,1651.94444444444
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MA,1512,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MA,1370,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MA,1551,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MA,1356,
