Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MI,4249,2605.94444444444
2015,Alzheimer's disease (G30),Alzheimer's disease,MI,3771,
2014,Alzheimer's disease (G30),Alzheimer's disease,MI,3349,
2013,Alzheimer's disease (G30),Alzheimer's disease,MI,3220,
2012,Alzheimer's disease (G30),Alzheimer's disease,MI,3064,
2011,Alzheimer's disease (G30),Alzheimer's disease,MI,2876,
2010,Alzheimer's disease (G30),Alzheimer's disease,MI,2736,
2009,Alzheimer's disease (G30),Alzheimer's disease,MI,2578,
2008,Alzheimer's disease (G30),Alzheimer's disease,MI,2739,
2007,Alzheimer's disease (G30),Alzheimer's disease,MI,2432,
2006,Alzheimer's disease (G30),Alzheimer's disease,MI,2331,
2005,Alzheimer's disease (G30),Alzheimer's disease,MI,2359,
2004,Alzheimer's disease (G30),Alzheimer's disease,MI,2232,
2003,Alzheimer's disease (G30),Alzheimer's disease,MI,2133,
2002,Alzheimer's disease (G30),Alzheimer's disease,MI,1958,
2001,Alzheimer's disease (G30),Alzheimer's disease,MI,1803,
2000,Alzheimer's disease (G30),Alzheimer's disease,MI,1646,
1999,Alzheimer's disease (G30),Alzheimer's disease,MI,1431,
2016,Malignant neoplasms (C00-C97),Cancer,MI,20870,20227.6111111111
2015,Malignant neoplasms (C00-C97),Cancer,MI,20732,
2014,Malignant neoplasms (C00-C97),Cancer,MI,21169,
2013,Malignant neoplasms (C00-C97),Cancer,MI,20367,
2012,Malignant neoplasms (C00-C97),Cancer,MI,20496,
2011,Malignant neoplasms (C00-C97),Cancer,MI,20420,
2010,Malignant neoplasms (C00-C97),Cancer,MI,20620,
2009,Malignant neoplasms (C00-C97),Cancer,MI,20257,
2008,Malignant neoplasms (C00-C97),Cancer,MI,20211,
2007,Malignant neoplasms (C00-C97),Cancer,MI,20087,
2006,Malignant neoplasms (C00-C97),Cancer,MI,20192,
2005,Malignant neoplasms (C00-C97),Cancer,MI,20094,
2004,Malignant neoplasms (C00-C97),Cancer,MI,19653,
2003,Malignant neoplasms (C00-C97),Cancer,MI,19713,
2002,Malignant neoplasms (C00-C97),Cancer,MI,19985,
2001,Malignant neoplasms (C00-C97),Cancer,MI,19689,
2000,Malignant neoplasms (C00-C97),Cancer,MI,19798,
1999,Malignant neoplasms (C00-C97),Cancer,MI,19744,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5572,4861.5
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5848,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5345,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5539,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5251,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5192,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5079,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4961,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MI,5185,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4624,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4474,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4466,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4252,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4472,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4431,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4148,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4352,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MI,4316,
2016,Diabetes mellitus (E10-E14),Diabetes,MI,2672,2747.94444444444
