Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MN,2219,1388.11111111111
2015,Alzheimer's disease (G30),Alzheimer's disease,MN,1789,
2014,Alzheimer's disease (G30),Alzheimer's disease,MN,1628,
2013,Alzheimer's disease (G30),Alzheimer's disease,MN,1427,
2012,Alzheimer's disease (G30),Alzheimer's disease,MN,1445,
2011,Alzheimer's disease (G30),Alzheimer's disease,MN,1451,
2010,Alzheimer's disease (G30),Alzheimer's disease,MN,1451,
2009,Alzheimer's disease (G30),Alzheimer's disease,MN,1358,
2008,Alzheimer's disease (G30),Alzheimer's disease,MN,1344,
2007,Alzheimer's disease (G30),Alzheimer's disease,MN,1179,
2006,Alzheimer's disease (G30),Alzheimer's disease,MN,1299,
2005,Alzheimer's disease (G30),Alzheimer's disease,MN,1320,
2004,Alzheimer's disease (G30),Alzheimer's disease,MN,1231,
2003,Alzheimer's disease (G30),Alzheimer's disease,MN,1243,
2002,Alzheimer's disease (G30),Alzheimer's disease,MN,1192,
2001,Alzheimer's disease (G30),Alzheimer's disease,MN,1173,
2000,Alzheimer's disease (G30),Alzheimer's disease,MN,1154,
1999,Alzheimer's disease (G30),Alzheimer's disease,MN,1083,
2016,Malignant neoplasms (C00-C97),Cancer,MN,9857,9345.61111111111
2015,Malignant neoplasms (C00-C97),Cancer,MN,9925,
2014,Malignant neoplasms (C00-C97),Cancer,MN,9649,
2013,Malignant neoplasms (C00-C97),Cancer,MN,9601,
2012,Malignant neoplasms (C00-C97),Cancer,MN,9424,
2011,Malignant neoplasms (C00-C97),Cancer,MN,9489,
2010,Malignant neoplasms (C00-C97),Cancer,MN,9612,
2009,Malignant neoplasms (C00-C97),Cancer,MN,9580,
2008,Malignant neoplasms (C00-C97),Cancer,MN,9446,
2007,Malignant neoplasms (C00-C97),Cancer,MN,9176,
2006,Malignant neoplasms (C00-C97),Cancer,MN,9079,
2005,Malignant neoplasms (C00-C97),Cancer,MN,8823,
2004,Malignant neoplasms (C00-C97),Cancer,MN,9093,
2003,Malignant neoplasms (C00-C97),Cancer,MN,9183,
2002,Malignant neoplasms (C00-C97),Cancer,MN,9210,
2001,Malignant neoplasms (C00-C97),Cancer,MN,8967,
2000,Malignant neoplasms (C00-C97),Cancer,MN,9215,
1999,Malignant neoplasms (C00-C97),Cancer,MN,8892,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2369,2032.83333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2351,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2277,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2287,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2124,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2170,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2016,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1961,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MN,2096,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1758,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1770,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1965,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1839,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1832,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1971,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1909,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1902,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MN,1994,
2016,Diabetes mellitus (E10-E14),Diabetes,MN,1265,1179.72222222222
2015,Diabetes mellitus (E10-E14),Diabetes,MN,1221,
2014,Diabetes mellitus (E10-E14),Diabetes,MN,1193,
2013,Diabetes mellitus (E10-E14),Diabetes,MN,1163,
2012,Diabetes mellitus (E10-E14),Diabetes,MN,1165,
2011,Diabetes mellitus (E10-E14),Diabetes,MN,1189,
2010,Diabetes mellitus (E10-E14),Diabetes,MN,1037,
2009,Diabetes mellitus (E10-E14),Diabetes,MN,1021,
2008,Diabetes mellitus (E10-E14),Diabetes,MN,1087,
2007,Diabetes mellitus (E10-E14),Diabetes,MN,1084,
2006,Diabetes mellitus (E10-E14),Diabetes,MN,1158,
2005,Diabetes mellitus (E10-E14),Diabetes,MN,1258,
2004,Diabetes mellitus (E10-E14),Diabetes,MN,1130,
2003,Diabetes mellitus (E10-E14),Diabetes,MN,1276,
2002,Diabetes mellitus (E10-E14),Diabetes,MN,1317,
2001,Diabetes mellitus (E10-E14),Diabetes,MN,1213,
2000,Diabetes mellitus (E10-E14),Diabetes,MN,1209,
1999,Diabetes mellitus (E10-E14),Diabetes,MN,1249,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7825,7906.16666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7844,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7659,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7714,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7496,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7240,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7185,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7238,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7367,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7477,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7525,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7926,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,7891,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,8144,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,8602,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,8760,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,8885,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MN,9533,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,529,739.166666666667
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,738,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,638,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,751,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,674,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,680,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,595,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,618,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,745,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,603,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,630,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,846,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,750,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,858,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,900,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,828,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,845,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,1077,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,588,698.055555555556
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,639,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,676,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,653,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,669,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,696,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,897,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,807,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,813,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,780,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,711,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,669,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,669,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,654,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,649,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,729,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,661,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,605,
2016,Cerebrovascular diseases (I60-I69),Stroke,MN,2197,2359.83333333333
2015,Cerebrovascular diseases (I60-I69),Stroke,MN,2238,
2014,Cerebrovascular diseases (I60-I69),Stroke,MN,2202,
2013,Cerebrovascular diseases (I60-I69),Stroke,MN,2073,
2012,Cerebrovascular diseases (I60-I69),Stroke,MN,2081,
2011,Cerebrovascular diseases (I60-I69),Stroke,MN,2154,
2010,Cerebrovascular diseases (I60-I69),Stroke,MN,2167,
2009,Cerebrovascular diseases (I60-I69),Stroke,MN,2033,
2008,Cerebrovascular diseases (I60-I69),Stroke,MN,2199,
2007,Cerebrovascular diseases (I60-I69),Stroke,MN,2193,
2006,Cerebrovascular diseases (I60-I69),Stroke,MN,2219,
2005,Cerebrovascular diseases (I60-I69),Stroke,MN,2379,
2004,Cerebrovascular diseases (I60-I69),Stroke,MN,2542,
2003,Cerebrovascular diseases (I60-I69),Stroke,MN,2550,
2002,Cerebrovascular diseases (I60-I69),Stroke,MN,2706,
2001,Cerebrovascular diseases (I60-I69),Stroke,MN,2727,
2000,Cerebrovascular diseases (I60-I69),Stroke,MN,2820,
1999,Cerebrovascular diseases (I60-I69),Stroke,MN,2997,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,745,584
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,730,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,686,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,678,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,656,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,683,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,606,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,584,
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,596,
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,572,
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,554,
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,547,
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,524,
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,497,
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,497,
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,480,
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,440,
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MN,437,
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2697,2095.83333333333
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2574,
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2385,
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2405,
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2301,
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2319,
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2103,
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2037,
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2010,
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,2066,
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1919,
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1922,
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1867,
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1912,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1928,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1797,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1711,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,MN,1772,
