Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MS,1485,824.888888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,MS,1402,
2014,Alzheimer's disease (G30),Alzheimer's disease,MS,1098,
2013,Alzheimer's disease (G30),Alzheimer's disease,MS,925,
2012,Alzheimer's disease (G30),Alzheimer's disease,MS,923,
2011,Alzheimer's disease (G30),Alzheimer's disease,MS,975,
2010,Alzheimer's disease (G30),Alzheimer's disease,MS,927,
2009,Alzheimer's disease (G30),Alzheimer's disease,MS,900,
2008,Alzheimer's disease (G30),Alzheimer's disease,MS,916,
2007,Alzheimer's disease (G30),Alzheimer's disease,MS,797,
2006,Alzheimer's disease (G30),Alzheimer's disease,MS,744,
2005,Alzheimer's disease (G30),Alzheimer's disease,MS,721,
2004,Alzheimer's disease (G30),Alzheimer's disease,MS,630,
2003,Alzheimer's disease (G30),Alzheimer's disease,MS,583,
2002,Alzheimer's disease (G30),Alzheimer's disease,MS,574,
2001,Alzheimer's disease (G30),Alzheimer's disease,MS,449,
2000,Alzheimer's disease (G30),Alzheimer's disease,MS,443,
1999,Alzheimer's disease (G30),Alzheimer's disease,MS,356,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MS,2116,1551.72222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1924,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1738,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1755,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1729,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1694,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1661,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1556,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1520,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1408,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1378,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1473,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1350,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1394,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1378,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1333,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1257,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MS,1267,
2016,Diabetes mellitus (E10-E14),Diabetes,MS,1084,826.444444444445
2015,Diabetes mellitus (E10-E14),Diabetes,MS,1092,
2014,Diabetes mellitus (E10-E14),Diabetes,MS,1015,
2013,Diabetes mellitus (E10-E14),Diabetes,MS,1071,
2012,Diabetes mellitus (E10-E14),Diabetes,MS,1050,
2011,Diabetes mellitus (E10-E14),Diabetes,MS,996,
2010,Diabetes mellitus (E10-E14),Diabetes,MS,926,
2009,Diabetes mellitus (E10-E14),Diabetes,MS,900,
2008,Diabetes mellitus (E10-E14),Diabetes,MS,758,
2007,Diabetes mellitus (E10-E14),Diabetes,MS,654,
2006,Diabetes mellitus (E10-E14),Diabetes,MS,707,
2005,Diabetes mellitus (E10-E14),Diabetes,MS,677,
2004,Diabetes mellitus (E10-E14),Diabetes,MS,665,
2003,Diabetes mellitus (E10-E14),Diabetes,MS,680,
2002,Diabetes mellitus (E10-E14),Diabetes,MS,671,
2001,Diabetes mellitus (E10-E14),Diabetes,MS,661,
2000,Diabetes mellitus (E10-E14),Diabetes,MS,676,
1999,Diabetes mellitus (E10-E14),Diabetes,MS,593,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7865,8177.72222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7969,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7538,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7715,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7269,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7335,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7542,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7530,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,7997,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,8037,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,8097,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,8637,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,8282,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,8683,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,9061,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,9050,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,9256,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,MS,9336,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,785,690.388888888889
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,791,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,763,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,769,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,565,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,603,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,567,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,578,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,626,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,554,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,621,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,645,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,637,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,758,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,801,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,754,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,809,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MS,801,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,763,679.722222222222
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,731,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,701,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,731,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,692,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,664,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,738,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,700,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MS,723,
