Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MO,2302,1666.27777777778
2015,Alzheimer's disease (G30),Alzheimer's disease,MO,2173,
2014,Alzheimer's disease (G30),Alzheimer's disease,MO,2053,
2013,Alzheimer's disease (G30),Alzheimer's disease,MO,2026,
2012,Alzheimer's disease (G30),Alzheimer's disease,MO,1863,
2011,Alzheimer's disease (G30),Alzheimer's disease,MO,1927,
2010,Alzheimer's disease (G30),Alzheimer's disease,MO,1986,
2009,Alzheimer's disease (G30),Alzheimer's disease,MO,1728,
2008,Alzheimer's disease (G30),Alzheimer's disease,MO,2010,
2007,Alzheimer's disease (G30),Alzheimer's disease,MO,1681,
2006,Alzheimer's disease (G30),Alzheimer's disease,MO,1632,
2005,Alzheimer's disease (G30),Alzheimer's disease,MO,1635,
2004,Alzheimer's disease (G30),Alzheimer's disease,MO,1381,
2003,Alzheimer's disease (G30),Alzheimer's disease,MO,1293,
2002,Alzheimer's disease (G30),Alzheimer's disease,MO,1187,
2001,Alzheimer's disease (G30),Alzheimer's disease,MO,1106,
2000,Alzheimer's disease (G30),Alzheimer's disease,MO,1096,
1999,Alzheimer's disease (G30),Alzheimer's disease,MO,914,
2016,Malignant neoplasms (C00-C97),Cancer,MO,12696,12546.3888888889
2015,Malignant neoplasms (C00-C97),Cancer,MO,12965,
2014,Malignant neoplasms (C00-C97),Cancer,MO,13067,
2013,Malignant neoplasms (C00-C97),Cancer,MO,12955,
2012,Malignant neoplasms (C00-C97),Cancer,MO,12919,
2011,Malignant neoplasms (C00-C97),Cancer,MO,12473,
2010,Malignant neoplasms (C00-C97),Cancer,MO,12626,
2009,Malignant neoplasms (C00-C97),Cancer,MO,12472,
2008,Malignant neoplasms (C00-C97),Cancer,MO,12523,
2007,Malignant neoplasms (C00-C97),Cancer,MO,12380,
2006,Malignant neoplasms (C00-C97),Cancer,MO,12519,
2005,Malignant neoplasms (C00-C97),Cancer,MO,12419,
2004,Malignant neoplasms (C00-C97),Cancer,MO,12450,
2003,Malignant neoplasms (C00-C97),Cancer,MO,12354,
2002,Malignant neoplasms (C00-C97),Cancer,MO,12322,
2001,Malignant neoplasms (C00-C97),Cancer,MO,12365,
2000,Malignant neoplasms (C00-C97),Cancer,MO,12144,
1999,Malignant neoplasms (C00-C97),Cancer,MO,12186,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MO,3961,3324.88888888889
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MO,3935,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MO,3762,
