Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,MT,314,258.888888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,MT,277,
2014,Alzheimer's disease (G30),Alzheimer's disease,MT,253,
2013,Alzheimer's disease (G30),Alzheimer's disease,MT,267,
2012,Alzheimer's disease (G30),Alzheimer's disease,MT,265,
2011,Alzheimer's disease (G30),Alzheimer's disease,MT,258,
2010,Alzheimer's disease (G30),Alzheimer's disease,MT,302,
2009,Alzheimer's disease (G30),Alzheimer's disease,MT,256,
2008,Alzheimer's disease (G30),Alzheimer's disease,MT,294,
2007,Alzheimer's disease (G30),Alzheimer's disease,MT,260,
2006,Alzheimer's disease (G30),Alzheimer's disease,MT,226,
2005,Alzheimer's disease (G30),Alzheimer's disease,MT,267,
2004,Alzheimer's disease (G30),Alzheimer's disease,MT,228,
2003,Alzheimer's disease (G30),Alzheimer's disease,MT,235,
2002,Alzheimer's disease (G30),Alzheimer's disease,MT,285,
2001,Alzheimer's disease (G30),Alzheimer's disease,MT,249,
2000,Alzheimer's disease (G30),Alzheimer's disease,MT,219,
1999,Alzheimer's disease (G30),Alzheimer's disease,MT,205,
2016,Malignant neoplasms (C00-C97),Cancer,MT,2031,1945.61111111111
2015,Malignant neoplasms (C00-C97),Cancer,MT,2130,
2014,Malignant neoplasms (C00-C97),Cancer,MT,2066,
2013,Malignant neoplasms (C00-C97),Cancer,MT,1997,
2012,Malignant neoplasms (C00-C97),Cancer,MT,1954,
2011,Malignant neoplasms (C00-C97),Cancer,MT,2022,
2010,Malignant neoplasms (C00-C97),Cancer,MT,1923,
2009,Malignant neoplasms (C00-C97),Cancer,MT,1914,
2008,Malignant neoplasms (C00-C97),Cancer,MT,1862,
2007,Malignant neoplasms (C00-C97),Cancer,MT,1921,
2006,Malignant neoplasms (C00-C97),Cancer,MT,1943,
2005,Malignant neoplasms (C00-C97),Cancer,MT,1956,
2004,Malignant neoplasms (C00-C97),Cancer,MT,1867,
2003,Malignant neoplasms (C00-C97),Cancer,MT,1847,
2002,Malignant neoplasms (C00-C97),Cancer,MT,1911,
2001,Malignant neoplasms (C00-C97),Cancer,MT,1956,
2000,Malignant neoplasms (C00-C97),Cancer,MT,1867,
1999,Malignant neoplasms (C00-C97),Cancer,MT,1854,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,MT,722,612.222222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,MT,679,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,MT,668,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,MT,647,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,MT,605,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,MT,637,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,MT,602,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,MT,598,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,MT,691,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,MT,604,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,MT,579,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,MT,580,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,MT,578,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,MT,588,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,MT,576,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,MT,583,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,MT,517,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,MT,566,
2016,Diabetes mellitus (E10-E14),Diabetes,MT,311,251.444444444444
2015,Diabetes mellitus (E10-E14),Diabetes,MT,321,
2014,Diabetes mellitus (E10-E14),Diabetes,MT,250,
2013,Diabetes mellitus (E10-E14),Diabetes,MT,250,
2012,Diabetes mellitus (E10-E14),Diabetes,MT,233,
