Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NE,634,511
2015,Alzheimer's disease (G30),Alzheimer's disease,NE,598,
2014,Alzheimer's disease (G30),Alzheimer's disease,NE,515,
2013,Alzheimer's disease (G30),Alzheimer's disease,NE,557,
2012,Alzheimer's disease (G30),Alzheimer's disease,NE,570,
2011,Alzheimer's disease (G30),Alzheimer's disease,NE,597,
2010,Alzheimer's disease (G30),Alzheimer's disease,NE,565,
2009,Alzheimer's disease (G30),Alzheimer's disease,NE,573,
2008,Alzheimer's disease (G30),Alzheimer's disease,NE,610,
2007,Alzheimer's disease (G30),Alzheimer's disease,NE,512,
2006,Alzheimer's disease (G30),Alzheimer's disease,NE,500,
2005,Alzheimer's disease (G30),Alzheimer's disease,NE,473,
2004,Alzheimer's disease (G30),Alzheimer's disease,NE,459,
2003,Alzheimer's disease (G30),Alzheimer's disease,NE,461,
2002,Alzheimer's disease (G30),Alzheimer's disease,NE,460,
2001,Alzheimer's disease (G30),Alzheimer's disease,NE,430,
2000,Alzheimer's disease (G30),Alzheimer's disease,NE,353,
1999,Alzheimer's disease (G30),Alzheimer's disease,NE,331,
2016,Malignant neoplasms (C00-C97),Cancer,NE,3477,3413.05555555556
2015,Malignant neoplasms (C00-C97),Cancer,NE,3514,
2014,Malignant neoplasms (C00-C97),Cancer,NE,3459,
2013,Malignant neoplasms (C00-C97),Cancer,NE,3459,
2012,Malignant neoplasms (C00-C97),Cancer,NE,3479,
2011,Malignant neoplasms (C00-C97),Cancer,NE,3410,
2010,Malignant neoplasms (C00-C97),Cancer,NE,3438,
2009,Malignant neoplasms (C00-C97),Cancer,NE,3336,
2008,Malignant neoplasms (C00-C97),Cancer,NE,3376,
2007,Malignant neoplasms (C00-C97),Cancer,NE,3479,
2006,Malignant neoplasms (C00-C97),Cancer,NE,3430,
2005,Malignant neoplasms (C00-C97),Cancer,NE,3355,
2004,Malignant neoplasms (C00-C97),Cancer,NE,3270,
2003,Malignant neoplasms (C00-C97),Cancer,NE,3339,
2002,Malignant neoplasms (C00-C97),Cancer,NE,3433,
2001,Malignant neoplasms (C00-C97),Cancer,NE,3389,
2000,Malignant neoplasms (C00-C97),Cancer,NE,3382,
1999,Malignant neoplasms (C00-C97),Cancer,NE,3410,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1117,981.222222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1174,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1123,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1032,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1052,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1068,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1008,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NE,987,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NE,1047,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NE,919,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NE,878,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NE,949,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NE,815,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NE,894,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NE,934,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NE,882,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NE,838,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NE,945,
2016,Diabetes mellitus (E10-E14),Diabetes,NE,501,444.611111111111
2015,Diabetes mellitus (E10-E14),Diabetes,NE,553,
2014,Diabetes mellitus (E10-E14),Diabetes,NE,473,
2013,Diabetes mellitus (E10-E14),Diabetes,NE,471,
2012,Diabetes mellitus (E10-E14),Diabetes,NE,442,
2011,Diabetes mellitus (E10-E14),Diabetes,NE,460,
2010,Diabetes mellitus (E10-E14),Diabetes,NE,452,
2009,Diabetes mellitus (E10-E14),Diabetes,NE,445,
2008,Diabetes mellitus (E10-E14),Diabetes,NE,470,
2007,Diabetes mellitus (E10-E14),Diabetes,NE,472,
2006,Diabetes mellitus (E10-E14),Diabetes,NE,437,
2005,Diabetes mellitus (E10-E14),Diabetes,NE,449,
2004,Diabetes mellitus (E10-E14),Diabetes,NE,395,
2003,Diabetes mellitus (E10-E14),Diabetes,NE,407,
2002,Diabetes mellitus (E10-E14),Diabetes,NE,393,
2001,Diabetes mellitus (E10-E14),Diabetes,NE,400,
2000,Diabetes mellitus (E10-E14),Diabetes,NE,411,
1999,Diabetes mellitus (E10-E14),Diabetes,NE,372,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3322,3646.44444444444
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3591,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3296,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3381,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3307,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3265,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3355,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3277,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3459,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3520,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3445,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3640,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3738,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,3954,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,4242,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,4150,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,4197,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NE,4497,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,342,354.5
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,397,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,351,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,343,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,291,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,325,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,266,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,266,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,366,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,331,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,345,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,370,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,347,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,435,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,418,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,296,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,433,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NE,459,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,220,256.666666666667
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,264,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,265,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,222,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,217,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,214,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,290,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,258,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,270,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,269,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,249,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,245,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NE,283,
