Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NV,686,359.944444444444
2015,Alzheimer's disease (G30),Alzheimer's disease,NV,874,
2014,Alzheimer's disease (G30),Alzheimer's disease,NV,606,
2013,Alzheimer's disease (G30),Alzheimer's disease,NV,448,
2012,Alzheimer's disease (G30),Alzheimer's disease,NV,356,
2011,Alzheimer's disease (G30),Alzheimer's disease,NV,349,
2010,Alzheimer's disease (G30),Alzheimer's disease,NV,296,
2009,Alzheimer's disease (G30),Alzheimer's disease,NV,312,
2008,Alzheimer's disease (G30),Alzheimer's disease,NV,279,
2007,Alzheimer's disease (G30),Alzheimer's disease,NV,248,
2006,Alzheimer's disease (G30),Alzheimer's disease,NV,281,
2005,Alzheimer's disease (G30),Alzheimer's disease,NV,310,
2004,Alzheimer's disease (G30),Alzheimer's disease,NV,292,
2003,Alzheimer's disease (G30),Alzheimer's disease,NV,309,
2002,Alzheimer's disease (G30),Alzheimer's disease,NV,253,
2001,Alzheimer's disease (G30),Alzheimer's disease,NV,211,
2000,Alzheimer's disease (G30),Alzheimer's disease,NV,195,
1999,Alzheimer's disease (G30),Alzheimer's disease,NV,174,
2016,Malignant neoplasms (C00-C97),Cancer,NV,5214,4377.44444444444
2015,Malignant neoplasms (C00-C97),Cancer,NV,5015,
2014,Malignant neoplasms (C00-C97),Cancer,NV,5015,
2013,Malignant neoplasms (C00-C97),Cancer,NV,4817,
2012,Malignant neoplasms (C00-C97),Cancer,NV,4610,
2011,Malignant neoplasms (C00-C97),Cancer,NV,4606,
2010,Malignant neoplasms (C00-C97),Cancer,NV,4529,
2009,Malignant neoplasms (C00-C97),Cancer,NV,4461,
2008,Malignant neoplasms (C00-C97),Cancer,NV,4404,
2007,Malignant neoplasms (C00-C97),Cancer,NV,4331,
2006,Malignant neoplasms (C00-C97),Cancer,NV,4226,
2005,Malignant neoplasms (C00-C97),Cancer,NV,4238,
2004,Malignant neoplasms (C00-C97),Cancer,NV,4119,
2003,Malignant neoplasms (C00-C97),Cancer,NV,4138,
2002,Malignant neoplasms (C00-C97),Cancer,NV,3937,
2001,Malignant neoplasms (C00-C97),Cancer,NV,3815,
2000,Malignant neoplasms (C00-C97),Cancer,NV,3763,
1999,Malignant neoplasms (C00-C97),Cancer,NV,3556,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1778,1259.27777777778
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1617,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1522,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1482,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1370,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1243,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1186,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1244,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1257,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1050,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1066,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1227,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1124,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1173,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1174,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1136,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NV,989,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NV,1029,
2016,Diabetes mellitus (E10-E14),Diabetes,NV,580,359.555555555556
2015,Diabetes mellitus (E10-E14),Diabetes,NV,420,
2014,Diabetes mellitus (E10-E14),Diabetes,NV,350,
2013,Diabetes mellitus (E10-E14),Diabetes,NV,424,
2012,Diabetes mellitus (E10-E14),Diabetes,NV,438,
2011,Diabetes mellitus (E10-E14),Diabetes,NV,400,
2010,Diabetes mellitus (E10-E14),Diabetes,NV,350,
2009,Diabetes mellitus (E10-E14),Diabetes,NV,377,
2008,Diabetes mellitus (E10-E14),Diabetes,NV,373,
2007,Diabetes mellitus (E10-E14),Diabetes,NV,312,
2006,Diabetes mellitus (E10-E14),Diabetes,NV,294,
2005,Diabetes mellitus (E10-E14),Diabetes,NV,336,
2004,Diabetes mellitus (E10-E14),Diabetes,NV,290,
2003,Diabetes mellitus (E10-E14),Diabetes,NV,301,
2002,Diabetes mellitus (E10-E14),Diabetes,NV,343,
