Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NH,430,360.555555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,NH,432,
2014,Alzheimer's disease (G30),Alzheimer's disease,NH,396,
2013,Alzheimer's disease (G30),Alzheimer's disease,NH,351,
2012,Alzheimer's disease (G30),Alzheimer's disease,NH,392,
2011,Alzheimer's disease (G30),Alzheimer's disease,NH,395,
2010,Alzheimer's disease (G30),Alzheimer's disease,NH,396,
2009,Alzheimer's disease (G30),Alzheimer's disease,NH,367,
2008,Alzheimer's disease (G30),Alzheimer's disease,NH,393,
2007,Alzheimer's disease (G30),Alzheimer's disease,NH,418,
2006,Alzheimer's disease (G30),Alzheimer's disease,NH,372,
2005,Alzheimer's disease (G30),Alzheimer's disease,NH,376,
2004,Alzheimer's disease (G30),Alzheimer's disease,NH,331,
2003,Alzheimer's disease (G30),Alzheimer's disease,NH,286,
2002,Alzheimer's disease (G30),Alzheimer's disease,NH,311,
2001,Alzheimer's disease (G30),Alzheimer's disease,NH,305,
2000,Alzheimer's disease (G30),Alzheimer's disease,NH,273,
1999,Alzheimer's disease (G30),Alzheimer's disease,NH,266,
2016,Malignant neoplasms (C00-C97),Cancer,NH,2875,2585.72222222222
2015,Malignant neoplasms (C00-C97),Cancer,NH,2773,
2014,Malignant neoplasms (C00-C97),Cancer,NH,2698,
2013,Malignant neoplasms (C00-C97),Cancer,NH,2584,
2012,Malignant neoplasms (C00-C97),Cancer,NH,2660,
2011,Malignant neoplasms (C00-C97),Cancer,NH,2740,
2010,Malignant neoplasms (C00-C97),Cancer,NH,2525,
2009,Malignant neoplasms (C00-C97),Cancer,NH,2562,
2008,Malignant neoplasms (C00-C97),Cancer,NH,2576,
2007,Malignant neoplasms (C00-C97),Cancer,NH,2609,
2006,Malignant neoplasms (C00-C97),Cancer,NH,2534,
2005,Malignant neoplasms (C00-C97),Cancer,NH,2549,
2004,Malignant neoplasms (C00-C97),Cancer,NH,2554,
2003,Malignant neoplasms (C00-C97),Cancer,NH,2485,
2002,Malignant neoplasms (C00-C97),Cancer,NH,2529,
2001,Malignant neoplasms (C00-C97),Cancer,NH,2398,
2000,Malignant neoplasms (C00-C97),Cancer,NH,2484,
1999,Malignant neoplasms (C00-C97),Cancer,NH,2408,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NH,684,630.611111111111
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NH,705,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NH,680,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NH,668,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NH,674,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NH,650,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NH,609,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NH,652,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NH,688,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NH,611,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NH,603,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NH,630,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NH,600,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NH,531,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NH,577,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NH,616,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NH,581,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NH,592,
2016,Diabetes mellitus (E10-E14),Diabetes,NH,316,293.888888888889
2015,Diabetes mellitus (E10-E14),Diabetes,NH,308,
