Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NJ,2435,1764.27777777778
2015,Alzheimer's disease (G30),Alzheimer's disease,NJ,2260,
2014,Alzheimer's disease (G30),Alzheimer's disease,NJ,1962,
2013,Alzheimer's disease (G30),Alzheimer's disease,NJ,1812,
2012,Alzheimer's disease (G30),Alzheimer's disease,NJ,1881,
2011,Alzheimer's disease (G30),Alzheimer's disease,NJ,1960,
2010,Alzheimer's disease (G30),Alzheimer's disease,NJ,1878,
2009,Alzheimer's disease (G30),Alzheimer's disease,NJ,1872,
2008,Alzheimer's disease (G30),Alzheimer's disease,NJ,1857,
2007,Alzheimer's disease (G30),Alzheimer's disease,NJ,1823,
2006,Alzheimer's disease (G30),Alzheimer's disease,NJ,1649,
2005,Alzheimer's disease (G30),Alzheimer's disease,NJ,1815,
2004,Alzheimer's disease (G30),Alzheimer's disease,NJ,1711,
2003,Alzheimer's disease (G30),Alzheimer's disease,NJ,1636,
2002,Alzheimer's disease (G30),Alzheimer's disease,NJ,1522,
2001,Alzheimer's disease (G30),Alzheimer's disease,NJ,1376,
2000,Alzheimer's disease (G30),Alzheimer's disease,NJ,1267,
1999,Alzheimer's disease (G30),Alzheimer's disease,NJ,1041,
2016,Malignant neoplasms (C00-C97),Cancer,NJ,16377,17101.8333333333
2015,Malignant neoplasms (C00-C97),Cancer,NJ,16270,
2014,Malignant neoplasms (C00-C97),Cancer,NJ,16591,
2013,Malignant neoplasms (C00-C97),Cancer,NJ,16315,
2012,Malignant neoplasms (C00-C97),Cancer,NJ,16485,
2011,Malignant neoplasms (C00-C97),Cancer,NJ,16708,
2010,Malignant neoplasms (C00-C97),Cancer,NJ,16815,
2009,Malignant neoplasms (C00-C97),Cancer,NJ,16541,
2008,Malignant neoplasms (C00-C97),Cancer,NJ,16876,
2007,Malignant neoplasms (C00-C97),Cancer,NJ,17096,
2006,Malignant neoplasms (C00-C97),Cancer,NJ,17180,
2005,Malignant neoplasms (C00-C97),Cancer,NJ,17171,
2004,Malignant neoplasms (C00-C97),Cancer,NJ,17208,
2003,Malignant neoplasms (C00-C97),Cancer,NJ,17957,
2002,Malignant neoplasms (C00-C97),Cancer,NJ,17827,
2001,Malignant neoplasms (C00-C97),Cancer,NJ,18165,
2000,Malignant neoplasms (C00-C97),Cancer,NJ,18073,
1999,Malignant neoplasms (C00-C97),Cancer,NJ,18178,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3064,3076.16666666667
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3202,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3046,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3245,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3271,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3157,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3106,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3125,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3280,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,2991,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,2862,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3148,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3031,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,2910,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,2885,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,2911,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3007,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NJ,3130,
2016,Diabetes mellitus (E10-E14),Diabetes,NJ,1949,2272.5
2015,Diabetes mellitus (E10-E14),Diabetes,NJ,1933,
2014,Diabetes mellitus (E10-E14),Diabetes,NJ,2062,
2013,Diabetes mellitus (E10-E14),Diabetes,NJ,2043,
2012,Diabetes mellitus (E10-E14),Diabetes,NJ,1988,
2011,Diabetes mellitus (E10-E14),Diabetes,NJ,2222,
2010,Diabetes mellitus (E10-E14),Diabetes,NJ,2098,
2009,Diabetes mellitus (E10-E14),Diabetes,NJ,1959,
2008,Diabetes mellitus (E10-E14),Diabetes,NJ,2242,
2007,Diabetes mellitus (E10-E14),Diabetes,NJ,2329,
2006,Diabetes mellitus (E10-E14),Diabetes,NJ,2454,
