Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NM,583,364.166666666667
2015,Alzheimer's disease (G30),Alzheimer's disease,NM,483,
2014,Alzheimer's disease (G30),Alzheimer's disease,NM,442,
2013,Alzheimer's disease (G30),Alzheimer's disease,NM,339,
2012,Alzheimer's disease (G30),Alzheimer's disease,NM,373,
2011,Alzheimer's disease (G30),Alzheimer's disease,NM,423,
2010,Alzheimer's disease (G30),Alzheimer's disease,NM,343,
2009,Alzheimer's disease (G30),Alzheimer's disease,NM,373,
2008,Alzheimer's disease (G30),Alzheimer's disease,NM,366,
2007,Alzheimer's disease (G30),Alzheimer's disease,NM,322,
2006,Alzheimer's disease (G30),Alzheimer's disease,NM,348,
2005,Alzheimer's disease (G30),Alzheimer's disease,NM,327,
2004,Alzheimer's disease (G30),Alzheimer's disease,NM,328,
2003,Alzheimer's disease (G30),Alzheimer's disease,NM,360,
2002,Alzheimer's disease (G30),Alzheimer's disease,NM,325,
2001,Alzheimer's disease (G30),Alzheimer's disease,NM,297,
2000,Alzheimer's disease (G30),Alzheimer's disease,NM,275,
1999,Alzheimer's disease (G30),Alzheimer's disease,NM,248,
2016,Malignant neoplasms (C00-C97),Cancer,NM,3560,3233.94444444444
2015,Malignant neoplasms (C00-C97),Cancer,NM,3591,
2014,Malignant neoplasms (C00-C97),Cancer,NM,3478,
2013,Malignant neoplasms (C00-C97),Cancer,NM,3482,
2012,Malignant neoplasms (C00-C97),Cancer,NM,3462,
2011,Malignant neoplasms (C00-C97),Cancer,NM,3328,
2010,Malignant neoplasms (C00-C97),Cancer,NM,3358,
2009,Malignant neoplasms (C00-C97),Cancer,NM,3202,
2008,Malignant neoplasms (C00-C97),Cancer,NM,3355,
2007,Malignant neoplasms (C00-C97),Cancer,NM,3238,
2006,Malignant neoplasms (C00-C97),Cancer,NM,3147,
2005,Malignant neoplasms (C00-C97),Cancer,NM,3141,
2004,Malignant neoplasms (C00-C97),Cancer,NM,3036,
2003,Malignant neoplasms (C00-C97),Cancer,NM,3103,
2002,Malignant neoplasms (C00-C97),Cancer,NM,3067,
2001,Malignant neoplasms (C00-C97),Cancer,NM,2900,
2000,Malignant neoplasms (C00-C97),Cancer,NM,2906,
1999,Malignant neoplasms (C00-C97),Cancer,NM,2857,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1131,943.222222222222
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1109,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1127,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1052,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NM,965,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1024,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1022,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NM,984,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NM,1001,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NM,884,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NM,888,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NM,855,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NM,753,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NM,936,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NM,857,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NM,775,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NM,767,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NM,848,
2016,Diabetes mellitus (E10-E14),Diabetes,NM,678,604.111111111111
2015,Diabetes mellitus (E10-E14),Diabetes,NM,608,
2014,Diabetes mellitus (E10-E14),Diabetes,NM,671,
2013,Diabetes mellitus (E10-E14),Diabetes,NM,646,
2012,Diabetes mellitus (E10-E14),Diabetes,NM,652,
2011,Diabetes mellitus (E10-E14),Diabetes,NM,612,
2010,Diabetes mellitus (E10-E14),Diabetes,NM,643,
2009,Diabetes mellitus (E10-E14),Diabetes,NM,597,
2008,Diabetes mellitus (E10-E14),Diabetes,NM,582,
2007,Diabetes mellitus (E10-E14),Diabetes,NM,673,
2006,Diabetes mellitus (E10-E14),Diabetes,NM,606,
2005,Diabetes mellitus (E10-E14),Diabetes,NM,595,
2004,Diabetes mellitus (E10-E14),Diabetes,NM,590,
2003,Diabetes mellitus (E10-E14),Diabetes,NM,599,
2002,Diabetes mellitus (E10-E14),Diabetes,NM,582,
2001,Diabetes mellitus (E10-E14),Diabetes,NM,538,
2000,Diabetes mellitus (E10-E14),Diabetes,NM,485,
1999,Diabetes mellitus (E10-E14),Diabetes,NM,517,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3800,3377.66666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3508,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3424,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3425,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3352,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3333,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3224,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3214,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3275,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3305,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3411,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3435,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3264,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3402,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3360,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3423,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3191,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NM,3452,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,353,340.444444444444
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,322,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,376,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,337,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,281,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,355,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,294,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,344,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,351,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,298,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,353,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,353,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,308,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,369,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,372,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,398,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,290,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,NM,374,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,293,248.388888888889
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,316,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,267,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,302,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,285,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,268,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,276,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,274,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,287,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,252,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,262,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,239,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,227,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,217,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,220,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,172,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,152,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NM,162,
2016,Cerebrovascular diseases (I60-I69),Stroke,NM,885,767.277777777778
2015,Cerebrovascular diseases (I60-I69),Stroke,NM,786,
2014,Cerebrovascular diseases (I60-I69),Stroke,NM,822,
2013,Cerebrovascular diseases (I60-I69),Stroke,NM,689,
2012,Cerebrovascular diseases (I60-I69),Stroke,NM,677,
2011,Cerebrovascular diseases (I60-I69),Stroke,NM,727,
2010,Cerebrovascular diseases (I60-I69),Stroke,NM,806,
2009,Cerebrovascular diseases (I60-I69),Stroke,NM,726,
2008,Cerebrovascular diseases (I60-I69),Stroke,NM,760,
2007,Cerebrovascular diseases (I60-I69),Stroke,NM,804,
2006,Cerebrovascular diseases (I60-I69),Stroke,NM,739,
2005,Cerebrovascular diseases (I60-I69),Stroke,NM,730,
2004,Cerebrovascular diseases (I60-I69),Stroke,NM,721,
2003,Cerebrovascular diseases (I60-I69),Stroke,NM,770,
2002,Cerebrovascular diseases (I60-I69),Stroke,NM,715,
2001,Cerebrovascular diseases (I60-I69),Stroke,NM,824,
2000,Cerebrovascular diseases (I60-I69),Stroke,NM,813,
1999,Cerebrovascular diseases (I60-I69),Stroke,NM,817,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,471,392.833333333333
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,500,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,449,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,431,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,442,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,420,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,413,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,376,
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,419,
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,401,
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,352,
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,342,
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,356,
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,343,
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,349,
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,362,
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,327,
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NM,318,
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1487,1260.83333333333
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1430,
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1534,
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1245,
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1351,
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1336,
2010,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1233,
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1281,
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1366,
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1329,
2006,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1297,
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1267,
2004,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1223,
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1227,
2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1105,
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,1020,
2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,995,
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,NM,969,
