Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NY,3349,2254.44444444444
2015,Alzheimer's disease (G30),Alzheimer's disease,NY,3174,
2014,Alzheimer's disease (G30),Alzheimer's disease,NY,2639,
2013,Alzheimer's disease (G30),Alzheimer's disease,NY,2556,
2012,Alzheimer's disease (G30),Alzheimer's disease,NY,2640,
2011,Alzheimer's disease (G30),Alzheimer's disease,NY,2563,
2010,Alzheimer's disease (G30),Alzheimer's disease,NY,2616,
2009,Alzheimer's disease (G30),Alzheimer's disease,NY,2396,
2008,Alzheimer's disease (G30),Alzheimer's disease,NY,2303,
2007,Alzheimer's disease (G30),Alzheimer's disease,NY,1999,
2006,Alzheimer's disease (G30),Alzheimer's disease,NY,2021,
2005,Alzheimer's disease (G30),Alzheimer's disease,NY,2065,
2004,Alzheimer's disease (G30),Alzheimer's disease,NY,1989,
2003,Alzheimer's disease (G30),Alzheimer's disease,NY,1866,
2002,Alzheimer's disease (G30),Alzheimer's disease,NY,1803,
2001,Alzheimer's disease (G30),Alzheimer's disease,NY,1705,
2000,Alzheimer's disease (G30),Alzheimer's disease,NY,1539,
1999,Alzheimer's disease (G30),Alzheimer's disease,NY,1357,
2016,Malignant neoplasms (C00-C97),Cancer,NY,35368,35891.2222222222
2015,Malignant neoplasms (C00-C97),Cancer,NY,35089,
2014,Malignant neoplasms (C00-C97),Cancer,NY,35392,
2013,Malignant neoplasms (C00-C97),Cancer,NY,35738,
2012,Malignant neoplasms (C00-C97),Cancer,NY,35882,
2011,Malignant neoplasms (C00-C97),Cancer,NY,35469,
2010,Malignant neoplasms (C00-C97),Cancer,NY,35431,
2009,Malignant neoplasms (C00-C97),Cancer,NY,35216,
2008,Malignant neoplasms (C00-C97),Cancer,NY,35351,
2007,Malignant neoplasms (C00-C97),Cancer,NY,35485,
2006,Malignant neoplasms (C00-C97),Cancer,NY,35284,
2005,Malignant neoplasms (C00-C97),Cancer,NY,35556,
2004,Malignant neoplasms (C00-C97),Cancer,NY,36100,
2003,Malignant neoplasms (C00-C97),Cancer,NY,36238,
2002,Malignant neoplasms (C00-C97),Cancer,NY,36661,
2001,Malignant neoplasms (C00-C97),Cancer,NY,36975,
2000,Malignant neoplasms (C00-C97),Cancer,NY,37198,
1999,Malignant neoplasms (C00-C97),Cancer,NY,37609,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6860,6851.83333333333
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NY,7109,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6806,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NY,7110,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NY,7034,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6963,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6847,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6740,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6919,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6561,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6329,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6818,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6786,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6709,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6966,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6906,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NY,6784,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NY,7086,
2016,Diabetes mellitus (E10-E14),Diabetes,NY,4038,3912.05555555556
2015,Diabetes mellitus (E10-E14),Diabetes,NY,4045,
2014,Diabetes mellitus (E10-E14),Diabetes,NY,4064,
2013,Diabetes mellitus (E10-E14),Diabetes,NY,4094,
2012,Diabetes mellitus (E10-E14),Diabetes,NY,4010,
2011,Diabetes mellitus (E10-E14),Diabetes,NY,3988,
2010,Diabetes mellitus (E10-E14),Diabetes,NY,3642,
2009,Diabetes mellitus (E10-E14),Diabetes,NY,3723,
2008,Diabetes mellitus (E10-E14),Diabetes,NY,3605,
2007,Diabetes mellitus (E10-E14),Diabetes,NY,3715,
2006,Diabetes mellitus (E10-E14),Diabetes,NY,3848,
2005,Diabetes mellitus (E10-E14),Diabetes,NY,4051,
2004,Diabetes mellitus (E10-E14),Diabetes,NY,3913,
2003,Diabetes mellitus (E10-E14),Diabetes,NY,4227,
2002,Diabetes mellitus (E10-E14),Diabetes,NY,3934,
2001,Diabetes mellitus (E10-E14),Diabetes,NY,3844,
2000,Diabetes mellitus (E10-E14),Diabetes,NY,3877,
1999,Diabetes mellitus (E10-E14),Diabetes,NY,3799,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,44076,49726.6666666667
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,44450,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,43116,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,44039,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,43795,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NY,44501,
