Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,NC,4153,2569.05555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,NC,3803,
2014,Alzheimer's disease (G30),Alzheimer's disease,NC,3246,
2013,Alzheimer's disease (G30),Alzheimer's disease,NC,2872,
2012,Alzheimer's disease (G30),Alzheimer's disease,NC,2850,
2011,Alzheimer's disease (G30),Alzheimer's disease,NC,2828,
2010,Alzheimer's disease (G30),Alzheimer's disease,NC,2817,
2009,Alzheimer's disease (G30),Alzheimer's disease,NC,2646,
2008,Alzheimer's disease (G30),Alzheimer's disease,NC,2624,
2007,Alzheimer's disease (G30),Alzheimer's disease,NC,2460,
2006,Alzheimer's disease (G30),Alzheimer's disease,NC,2265,
2005,Alzheimer's disease (G30),Alzheimer's disease,NC,2417,
2004,Alzheimer's disease (G30),Alzheimer's disease,NC,2188,
2003,Alzheimer's disease (G30),Alzheimer's disease,NC,2145,
2002,Alzheimer's disease (G30),Alzheimer's disease,NC,1962,
2001,Alzheimer's disease (G30),Alzheimer's disease,NC,1786,
2000,Alzheimer's disease (G30),Alzheimer's disease,NC,1725,
1999,Alzheimer's disease (G30),Alzheimer's disease,NC,1456,
2016,Malignant neoplasms (C00-C97),Cancer,NC,19523,17472.7777777778
2015,Malignant neoplasms (C00-C97),Cancer,NC,19322,
2014,Malignant neoplasms (C00-C97),Cancer,NC,19342,
2013,Malignant neoplasms (C00-C97),Cancer,NC,18589,
2012,Malignant neoplasms (C00-C97),Cancer,NC,18405,
2011,Malignant neoplasms (C00-C97),Cancer,NC,18284,
2010,Malignant neoplasms (C00-C97),Cancer,NC,18061,
2009,Malignant neoplasms (C00-C97),Cancer,NC,17513,
2008,Malignant neoplasms (C00-C97),Cancer,NC,17453,
2007,Malignant neoplasms (C00-C97),Cancer,NC,17478,
2006,Malignant neoplasms (C00-C97),Cancer,NC,17318,
2005,Malignant neoplasms (C00-C97),Cancer,NC,16724,
2004,Malignant neoplasms (C00-C97),Cancer,NC,16477,
2003,Malignant neoplasms (C00-C97),Cancer,NC,16145,
2002,Malignant neoplasms (C00-C97),Cancer,NC,16210,
2001,Malignant neoplasms (C00-C97),Cancer,NC,16065,
2000,Malignant neoplasms (C00-C97),Cancer,NC,15786,
1999,Malignant neoplasms (C00-C97),Cancer,NC,15815,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,NC,5311,4326.5
2015,Chronic lower respiratory diseases (J40-J47),CLRD,NC,5221,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,NC,5023,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4987,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4844,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4708,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4495,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4329,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4572,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4231,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4017,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,NC,4149,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3625,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3887,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3674,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3514,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3699,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,NC,3591,
2016,Diabetes mellitus (E10-E14),Diabetes,NC,2811,2303.94444444444
2015,Diabetes mellitus (E10-E14),Diabetes,NC,2746,
2014,Diabetes mellitus (E10-E14),Diabetes,NC,2687,
2013,Diabetes mellitus (E10-E14),Diabetes,NC,2402,
2012,Diabetes mellitus (E10-E14),Diabetes,NC,2409,
2011,Diabetes mellitus (E10-E14),Diabetes,NC,2278,
2010,Diabetes mellitus (E10-E14),Diabetes,NC,2042,
2009,Diabetes mellitus (E10-E14),Diabetes,NC,2114,
2008,Diabetes mellitus (E10-E14),Diabetes,NC,2170,
2007,Diabetes mellitus (E10-E14),Diabetes,NC,2156,
2006,Diabetes mellitus (E10-E14),Diabetes,NC,2234,
2005,Diabetes mellitus (E10-E14),Diabetes,NC,2261,
2004,Diabetes mellitus (E10-E14),Diabetes,NC,2253,
2003,Diabetes mellitus (E10-E14),Diabetes,NC,2388,
2002,Diabetes mellitus (E10-E14),Diabetes,NC,2205,
2001,Diabetes mellitus (E10-E14),Diabetes,NC,2181,
2000,Diabetes mellitus (E10-E14),Diabetes,NC,2084,
1999,Diabetes mellitus (E10-E14),Diabetes,NC,2050,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,18266,17952.6111111111
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,18474,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17592,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17830,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17348,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17003,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17154,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17203,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17335,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17395,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17271,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17765,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,17607,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,18674,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,18524,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,18792,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,NC,19723,
