Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,ND,361,322.666666666667
2015,Alzheimer's disease (G30),Alzheimer's disease,ND,376,
2014,Alzheimer's disease (G30),Alzheimer's disease,ND,364,
2013,Alzheimer's disease (G30),Alzheimer's disease,ND,363,
2012,Alzheimer's disease (G30),Alzheimer's disease,ND,364,
2011,Alzheimer's disease (G30),Alzheimer's disease,ND,410,
2010,Alzheimer's disease (G30),Alzheimer's disease,ND,361,
2009,Alzheimer's disease (G30),Alzheimer's disease,ND,366,
2008,Alzheimer's disease (G30),Alzheimer's disease,ND,312,
2007,Alzheimer's disease (G30),Alzheimer's disease,ND,395,
2006,Alzheimer's disease (G30),Alzheimer's disease,ND,318,
2005,Alzheimer's disease (G30),Alzheimer's disease,ND,287,
2004,Alzheimer's disease (G30),Alzheimer's disease,ND,313,
2003,Alzheimer's disease (G30),Alzheimer's disease,ND,336,
2002,Alzheimer's disease (G30),Alzheimer's disease,ND,294,
2001,Alzheimer's disease (G30),Alzheimer's disease,ND,224,
2000,Alzheimer's disease (G30),Alzheimer's disease,ND,209,
1999,Alzheimer's disease (G30),Alzheimer's disease,ND,155,
2016,Malignant neoplasms (C00-C97),Cancer,ND,1253,1308.38888888889
2015,Malignant neoplasms (C00-C97),Cancer,ND,1320,
2014,Malignant neoplasms (C00-C97),Cancer,ND,1304,
2013,Malignant neoplasms (C00-C97),Cancer,ND,1286,
2012,Malignant neoplasms (C00-C97),Cancer,ND,1253,
2011,Malignant neoplasms (C00-C97),Cancer,ND,1321,
2010,Malignant neoplasms (C00-C97),Cancer,ND,1269,
2009,Malignant neoplasms (C00-C97),Cancer,ND,1243,
2008,Malignant neoplasms (C00-C97),Cancer,ND,1354,
2007,Malignant neoplasms (C00-C97),Cancer,ND,1264,
2006,Malignant neoplasms (C00-C97),Cancer,ND,1387,
2005,Malignant neoplasms (C00-C97),Cancer,ND,1302,
2004,Malignant neoplasms (C00-C97),Cancer,ND,1265,
2003,Malignant neoplasms (C00-C97),Cancer,ND,1334,
2002,Malignant neoplasms (C00-C97),Cancer,ND,1293,
2001,Malignant neoplasms (C00-C97),Cancer,ND,1391,
2000,Malignant neoplasms (C00-C97),Cancer,ND,1346,
1999,Malignant neoplasms (C00-C97),Cancer,ND,1366,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,ND,314,311.444444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,ND,351,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,ND,317,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,ND,331,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,ND,306,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,ND,342,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,ND,356,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,ND,341,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,ND,355,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,ND,265,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,ND,283,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,ND,272,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,ND,273,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,ND,302,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,ND,322,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,ND,308,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,ND,295,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,ND,273,
2016,Diabetes mellitus (E10-E14),Diabetes,ND,171,200.666666666667
2015,Diabetes mellitus (E10-E14),Diabetes,ND,195,
2014,Diabetes mellitus (E10-E14),Diabetes,ND,176,
2013,Diabetes mellitus (E10-E14),Diabetes,ND,197,
2012,Diabetes mellitus (E10-E14),Diabetes,ND,185,
2011,Diabetes mellitus (E10-E14),Diabetes,ND,207,
2010,Diabetes mellitus (E10-E14),Diabetes,ND,192,
2009,Diabetes mellitus (E10-E14),Diabetes,ND,214,
2008,Diabetes mellitus (E10-E14),Diabetes,ND,201,
2007,Diabetes mellitus (E10-E14),Diabetes,ND,226,
2006,Diabetes mellitus (E10-E14),Diabetes,ND,208,
2005,Diabetes mellitus (E10-E14),Diabetes,ND,204,
2004,Diabetes mellitus (E10-E14),Diabetes,ND,209,
2003,Diabetes mellitus (E10-E14),Diabetes,ND,211,
2002,Diabetes mellitus (E10-E14),Diabetes,ND,214,
2001,Diabetes mellitus (E10-E14),Diabetes,ND,196,
2000,Diabetes mellitus (E10-E14),Diabetes,ND,203,
1999,Diabetes mellitus (E10-E14),Diabetes,ND,203,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1338,1482.72222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1323,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1381,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1382,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1368,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1290,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1395,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1431,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1391,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1414,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1527,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1512,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1470,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1632,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1623,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1700,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1679,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,ND,1833,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,134,150.444444444444
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,172,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,174,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,134,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,133,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,120,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,128,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,138,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,148,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,133,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,138,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,172,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,148,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,189,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,162,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,162,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,166,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,ND,157,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,106,85.7777777777778
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,118,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,104,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,117,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,117,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,110,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,104,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,118,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,98,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,56,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,59,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,67,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,55,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,56,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,57,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,50,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,67,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,85,
2016,Cerebrovascular diseases (I60-I69),Stroke,ND,311,388.666666666667
2015,Cerebrovascular diseases (I60-I69),Stroke,ND,308,
2014,Cerebrovascular diseases (I60-I69),Stroke,ND,325,
2013,Cerebrovascular diseases (I60-I69),Stroke,ND,306,
2012,Cerebrovascular diseases (I60-I69),Stroke,ND,343,
2011,Cerebrovascular diseases (I60-I69),Stroke,ND,337,
2010,Cerebrovascular diseases (I60-I69),Stroke,ND,382,
2009,Cerebrovascular diseases (I60-I69),Stroke,ND,337,
2008,Cerebrovascular diseases (I60-I69),Stroke,ND,325,
2007,Cerebrovascular diseases (I60-I69),Stroke,ND,330,
2006,Cerebrovascular diseases (I60-I69),Stroke,ND,428,
2005,Cerebrovascular diseases (I60-I69),Stroke,ND,368,
2004,Cerebrovascular diseases (I60-I69),Stroke,ND,475,
2003,Cerebrovascular diseases (I60-I69),Stroke,ND,476,
2002,Cerebrovascular diseases (I60-I69),Stroke,ND,469,
2001,Cerebrovascular diseases (I60-I69),Stroke,ND,507,
2000,Cerebrovascular diseases (I60-I69),Stroke,ND,456,
1999,Cerebrovascular diseases (I60-I69),Stroke,ND,513,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,140,98
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,124,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,137,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,128,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,105,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,106,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,106,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,ND,90,
