Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,OH,5031,3539.05555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,OH,4643,
2014,Alzheimer's disease (G30),Alzheimer's disease,OH,4083,
2013,Alzheimer's disease (G30),Alzheimer's disease,OH,3798,
2012,Alzheimer's disease (G30),Alzheimer's disease,OH,3935,
2011,Alzheimer's disease (G30),Alzheimer's disease,OH,4037,
2010,Alzheimer's disease (G30),Alzheimer's disease,OH,4109,
2009,Alzheimer's disease (G30),Alzheimer's disease,OH,3879,
2008,Alzheimer's disease (G30),Alzheimer's disease,OH,4285,
2007,Alzheimer's disease (G30),Alzheimer's disease,OH,3671,
2006,Alzheimer's disease (G30),Alzheimer's disease,OH,3565,
2005,Alzheimer's disease (G30),Alzheimer's disease,OH,3478,
2004,Alzheimer's disease (G30),Alzheimer's disease,OH,2927,
2003,Alzheimer's disease (G30),Alzheimer's disease,OH,2902,
2002,Alzheimer's disease (G30),Alzheimer's disease,OH,2599,
2001,Alzheimer's disease (G30),Alzheimer's disease,OH,2367,
2000,Alzheimer's disease (G30),Alzheimer's disease,OH,2295,
1999,Alzheimer's disease (G30),Alzheimer's disease,OH,2099,
2016,Malignant neoplasms (C00-C97),Cancer,OH,25509,25115.3333333333
2015,Malignant neoplasms (C00-C97),Cancer,OH,25396,
2014,Malignant neoplasms (C00-C97),Cancer,OH,25433,
2013,Malignant neoplasms (C00-C97),Cancer,OH,24986,
2012,Malignant neoplasms (C00-C97),Cancer,OH,25261,
2011,Malignant neoplasms (C00-C97),Cancer,OH,25140,
2010,Malignant neoplasms (C00-C97),Cancer,OH,25083,
2009,Malignant neoplasms (C00-C97),Cancer,OH,25149,
2008,Malignant neoplasms (C00-C97),Cancer,OH,24998,
2007,Malignant neoplasms (C00-C97),Cancer,OH,25230,
2006,Malignant neoplasms (C00-C97),Cancer,OH,24975,
2005,Malignant neoplasms (C00-C97),Cancer,OH,24702,
2004,Malignant neoplasms (C00-C97),Cancer,OH,24940,
2003,Malignant neoplasms (C00-C97),Cancer,OH,25076,
2002,Malignant neoplasms (C00-C97),Cancer,OH,25173,
2001,Malignant neoplasms (C00-C97),Cancer,OH,24804,
2000,Malignant neoplasms (C00-C97),Cancer,OH,24988,
1999,Malignant neoplasms (C00-C97),Cancer,OH,25233,
