Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,OK,1590,993.5
2015,Alzheimer's disease (G30),Alzheimer's disease,OK,1498,
2014,Alzheimer's disease (G30),Alzheimer's disease,OK,1227,
2013,Alzheimer's disease (G30),Alzheimer's disease,OK,1145,
2012,Alzheimer's disease (G30),Alzheimer's disease,OK,1069,
2011,Alzheimer's disease (G30),Alzheimer's disease,OK,1130,
2010,Alzheimer's disease (G30),Alzheimer's disease,OK,1015,
2009,Alzheimer's disease (G30),Alzheimer's disease,OK,993,
2008,Alzheimer's disease (G30),Alzheimer's disease,OK,1061,
2007,Alzheimer's disease (G30),Alzheimer's disease,OK,927,
2006,Alzheimer's disease (G30),Alzheimer's disease,OK,928,
2005,Alzheimer's disease (G30),Alzheimer's disease,OK,1012,
2004,Alzheimer's disease (G30),Alzheimer's disease,OK,867,
2003,Alzheimer's disease (G30),Alzheimer's disease,OK,794,
2002,Alzheimer's disease (G30),Alzheimer's disease,OK,754,
2001,Alzheimer's disease (G30),Alzheimer's disease,OK,682,
2000,Alzheimer's disease (G30),Alzheimer's disease,OK,638,
1999,Alzheimer's disease (G30),Alzheimer's disease,OK,553,
2016,Malignant neoplasms (C00-C97),Cancer,OK,8115,7689
2015,Malignant neoplasms (C00-C97),Cancer,OK,8280,
2014,Malignant neoplasms (C00-C97),Cancer,OK,7934,
2013,Malignant neoplasms (C00-C97),Cancer,OK,8039,
2012,Malignant neoplasms (C00-C97),Cancer,OK,8040,
2011,Malignant neoplasms (C00-C97),Cancer,OK,7997,
2010,Malignant neoplasms (C00-C97),Cancer,OK,7831,
2009,Malignant neoplasms (C00-C97),Cancer,OK,7639,
2008,Malignant neoplasms (C00-C97),Cancer,OK,7657,
2007,Malignant neoplasms (C00-C97),Cancer,OK,7727,
2006,Malignant neoplasms (C00-C97),Cancer,OK,7491,
2005,Malignant neoplasms (C00-C97),Cancer,OK,7446,
2004,Malignant neoplasms (C00-C97),Cancer,OK,7269,
2003,Malignant neoplasms (C00-C97),Cancer,OK,7338,
2002,Malignant neoplasms (C00-C97),Cancer,OK,7474,
2001,Malignant neoplasms (C00-C97),Cancer,OK,7411,
2000,Malignant neoplasms (C00-C97),Cancer,OK,7402,
1999,Malignant neoplasms (C00-C97),Cancer,OK,7312,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2794,2396.27777777778
2015,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2924,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2772,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2680,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2585,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2637,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2720,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2595,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2694,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2386,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2192,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2368,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,OK,1985,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,OK,2160,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,OK,1988,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,OK,1922,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,OK,1980,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,OK,1751,
2016,Diabetes mellitus (E10-E14),Diabetes,OK,1393,1166.22222222222
2015,Diabetes mellitus (E10-E14),Diabetes,OK,1442,
2014,Diabetes mellitus (E10-E14),Diabetes,OK,1261,
2013,Diabetes mellitus (E10-E14),Diabetes,OK,1269,
2012,Diabetes mellitus (E10-E14),Diabetes,OK,1201,
2011,Diabetes mellitus (E10-E14),Diabetes,OK,1221,
2010,Diabetes mellitus (E10-E14),Diabetes,OK,1089,
2009,Diabetes mellitus (E10-E14),Diabetes,OK,1146,
2008,Diabetes mellitus (E10-E14),Diabetes,OK,1103,
2007,Diabetes mellitus (E10-E14),Diabetes,OK,1148,
2006,Diabetes mellitus (E10-E14),Diabetes,OK,1166,
2005,Diabetes mellitus (E10-E14),Diabetes,OK,1217,
2004,Diabetes mellitus (E10-E14),Diabetes,OK,1139,
2003,Diabetes mellitus (E10-E14),Diabetes,OK,1104,
2002,Diabetes mellitus (E10-E14),Diabetes,OK,1064,
2001,Diabetes mellitus (E10-E14),Diabetes,OK,1065,
2000,Diabetes mellitus (E10-E14),Diabetes,OK,978,
1999,Diabetes mellitus (E10-E14),Diabetes,OK,986,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,10209,10142.7222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,10310,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9868,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9721,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9198,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9399,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9426,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9202,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9767,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OK,9602,
