Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,OR,1786,1258
2015,Alzheimer's disease (G30),Alzheimer's disease,OR,1652,
2014,Alzheimer's disease (G30),Alzheimer's disease,OR,1411,
2013,Alzheimer's disease (G30),Alzheimer's disease,OR,1312,
2012,Alzheimer's disease (G30),Alzheimer's disease,OR,1326,
2011,Alzheimer's disease (G30),Alzheimer's disease,OR,1324,
2010,Alzheimer's disease (G30),Alzheimer's disease,OR,1300,
2009,Alzheimer's disease (G30),Alzheimer's disease,OR,1212,
2008,Alzheimer's disease (G30),Alzheimer's disease,OR,1302,
2007,Alzheimer's disease (G30),Alzheimer's disease,OR,1200,
2006,Alzheimer's disease (G30),Alzheimer's disease,OR,1231,
2005,Alzheimer's disease (G30),Alzheimer's disease,OR,1239,
2004,Alzheimer's disease (G30),Alzheimer's disease,OR,1262,
2003,Alzheimer's disease (G30),Alzheimer's disease,OR,1157,
2002,Alzheimer's disease (G30),Alzheimer's disease,OR,1124,
2001,Alzheimer's disease (G30),Alzheimer's disease,OR,1030,
2000,Alzheimer's disease (G30),Alzheimer's disease,OR,910,
1999,Alzheimer's disease (G30),Alzheimer's disease,OR,866,
2016,Malignant neoplasms (C00-C97),Cancer,OR,8078,7484.94444444444
2015,Malignant neoplasms (C00-C97),Cancer,OR,8093,
2014,Malignant neoplasms (C00-C97),Cancer,OR,7863,
2013,Malignant neoplasms (C00-C97),Cancer,OR,7799,
2012,Malignant neoplasms (C00-C97),Cancer,OR,7832,
2011,Malignant neoplasms (C00-C97),Cancer,OR,7802,
2010,Malignant neoplasms (C00-C97),Cancer,OR,7638,
2009,Malignant neoplasms (C00-C97),Cancer,OR,7487,
2008,Malignant neoplasms (C00-C97),Cancer,OR,7479,
2007,Malignant neoplasms (C00-C97),Cancer,OR,7393,
2006,Malignant neoplasms (C00-C97),Cancer,OR,7309,
2005,Malignant neoplasms (C00-C97),Cancer,OR,7326,
2004,Malignant neoplasms (C00-C97),Cancer,OR,7236,
2003,Malignant neoplasms (C00-C97),Cancer,OR,7232,
2002,Malignant neoplasms (C00-C97),Cancer,OR,7249,
2001,Malignant neoplasms (C00-C97),Cancer,OR,7057,
2000,Malignant neoplasms (C00-C97),Cancer,OR,6951,
1999,Malignant neoplasms (C00-C97),Cancer,OR,6905,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,OR,2080,1897.38888888889
2015,Chronic lower respiratory diseases (J40-J47),CLRD,OR,2119,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1955,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,OR,2029,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1915,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,OR,2023,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1971,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1943,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1951,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1892,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1828,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1837,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1778,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1819,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1845,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1726,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1677,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,OR,1765,
2016,Diabetes mellitus (E10-E14),Diabetes,OR,1240,1068.38888888889
2015,Diabetes mellitus (E10-E14),Diabetes,OR,1148,
2014,Diabetes mellitus (E10-E14),Diabetes,OR,1083,
2013,Diabetes mellitus (E10-E14),Diabetes,OR,1109,
2012,Diabetes mellitus (E10-E14),Diabetes,OR,1126,
2011,Diabetes mellitus (E10-E14),Diabetes,OR,1113,
2010,Diabetes mellitus (E10-E14),Diabetes,OR,1052,
2009,Diabetes mellitus (E10-E14),Diabetes,OR,1073,
2008,Diabetes mellitus (E10-E14),Diabetes,OR,1025,
2007,Diabetes mellitus (E10-E14),Diabetes,OR,1113,
2006,Diabetes mellitus (E10-E14),Diabetes,OR,1139,
2005,Diabetes mellitus (E10-E14),Diabetes,OR,1149,
2004,Diabetes mellitus (E10-E14),Diabetes,OR,1073,
2003,Diabetes mellitus (E10-E14),Diabetes,OR,1032,
2002,Diabetes mellitus (E10-E14),Diabetes,OR,1041,
2001,Diabetes mellitus (E10-E14),Diabetes,OR,1011,
2000,Diabetes mellitus (E10-E14),Diabetes,OR,844,
1999,Diabetes mellitus (E10-E14),Diabetes,OR,860,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6968,6712.33333333333
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6859,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6524,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6523,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6180,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6255,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6198,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6262,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6519,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,OR,6655,
