Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,PA,4185,3318.88888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,PA,4012,
2014,Alzheimer's disease (G30),Alzheimer's disease,PA,3486,
2013,Alzheimer's disease (G30),Alzheimer's disease,PA,3271,
2012,Alzheimer's disease (G30),Alzheimer's disease,PA,3505,
2011,Alzheimer's disease (G30),Alzheimer's disease,PA,3496,
2010,Alzheimer's disease (G30),Alzheimer's disease,PA,3591,
2009,Alzheimer's disease (G30),Alzheimer's disease,PA,3547,
2008,Alzheimer's disease (G30),Alzheimer's disease,PA,3863,
2007,Alzheimer's disease (G30),Alzheimer's disease,PA,3505,
2006,Alzheimer's disease (G30),Alzheimer's disease,PA,3311,
2005,Alzheimer's disease (G30),Alzheimer's disease,PA,3429,
2004,Alzheimer's disease (G30),Alzheimer's disease,PA,3277,
2003,Alzheimer's disease (G30),Alzheimer's disease,PA,2952,
2002,Alzheimer's disease (G30),Alzheimer's disease,PA,2823,
2001,Alzheimer's disease (G30),Alzheimer's disease,PA,2753,
2000,Alzheimer's disease (G30),Alzheimer's disease,PA,2542,
1999,Alzheimer's disease (G30),Alzheimer's disease,PA,2192,
2016,Malignant neoplasms (C00-C97),Cancer,PA,28492,29244.4444444444
2015,Malignant neoplasms (C00-C97),Cancer,PA,28697,
2014,Malignant neoplasms (C00-C97),Cancer,PA,28692,
2013,Malignant neoplasms (C00-C97),Cancer,PA,28512,
2012,Malignant neoplasms (C00-C97),Cancer,PA,28909,
2011,Malignant neoplasms (C00-C97),Cancer,PA,28895,
2010,Malignant neoplasms (C00-C97),Cancer,PA,29055,
2009,Malignant neoplasms (C00-C97),Cancer,PA,28881,
2008,Malignant neoplasms (C00-C97),Cancer,PA,28964,
2007,Malignant neoplasms (C00-C97),Cancer,PA,29014,
2006,Malignant neoplasms (C00-C97),Cancer,PA,29172,
2005,Malignant neoplasms (C00-C97),Cancer,PA,29616,
2004,Malignant neoplasms (C00-C97),Cancer,PA,29424,
2003,Malignant neoplasms (C00-C97),Cancer,PA,29841,
2002,Malignant neoplasms (C00-C97),Cancer,PA,29849,
2001,Malignant neoplasms (C00-C97),Cancer,PA,29914,
2000,Malignant neoplasms (C00-C97),Cancer,PA,30161,
1999,Malignant neoplasms (C00-C97),Cancer,PA,30312,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6523,6269.77777777778
2015,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6664,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6422,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6716,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6550,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6627,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6202,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6432,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6767,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6077,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,PA,5621,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6149,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,PA,5978,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6046,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6017,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,PA,5845,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6079,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,PA,6141,
2016,Diabetes mellitus (E10-E14),Diabetes,PA,3560,3597.44444444444
2015,Diabetes mellitus (E10-E14),Diabetes,PA,3777,
2014,Diabetes mellitus (E10-E14),Diabetes,PA,3765,
2013,Diabetes mellitus (E10-E14),Diabetes,PA,3804,
2012,Diabetes mellitus (E10-E14),Diabetes,PA,3735,
2011,Diabetes mellitus (E10-E14),Diabetes,PA,3462,
2010,Diabetes mellitus (E10-E14),Diabetes,PA,3242,
2009,Diabetes mellitus (E10-E14),Diabetes,PA,3254,
