Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,RI,422,319.222222222222
2015,Alzheimer's disease (G30),Alzheimer's disease,RI,453,
2014,Alzheimer's disease (G30),Alzheimer's disease,RI,403,
2013,Alzheimer's disease (G30),Alzheimer's disease,RI,346,
2012,Alzheimer's disease (G30),Alzheimer's disease,RI,299,
2011,Alzheimer's disease (G30),Alzheimer's disease,RI,320,
2010,Alzheimer's disease (G30),Alzheimer's disease,RI,338,
2009,Alzheimer's disease (G30),Alzheimer's disease,RI,321,
2008,Alzheimer's disease (G30),Alzheimer's disease,RI,359,
2007,Alzheimer's disease (G30),Alzheimer's disease,RI,328,
2006,Alzheimer's disease (G30),Alzheimer's disease,RI,297,
2005,Alzheimer's disease (G30),Alzheimer's disease,RI,298,
2004,Alzheimer's disease (G30),Alzheimer's disease,RI,283,
2003,Alzheimer's disease (G30),Alzheimer's disease,RI,303,
2002,Alzheimer's disease (G30),Alzheimer's disease,RI,264,
2001,Alzheimer's disease (G30),Alzheimer's disease,RI,251,
2000,Alzheimer's disease (G30),Alzheimer's disease,RI,242,
1999,Alzheimer's disease (G30),Alzheimer's disease,RI,219,
2016,Malignant neoplasms (C00-C97),Cancer,RI,2171,2288.61111111111
2015,Malignant neoplasms (C00-C97),Cancer,RI,2226,
2014,Malignant neoplasms (C00-C97),Cancer,RI,2242,
2013,Malignant neoplasms (C00-C97),Cancer,RI,2326,
2012,Malignant neoplasms (C00-C97),Cancer,RI,2148,
2011,Malignant neoplasms (C00-C97),Cancer,RI,2170,
2010,Malignant neoplasms (C00-C97),Cancer,RI,2266,
2009,Malignant neoplasms (C00-C97),Cancer,RI,2220,
2008,Malignant neoplasms (C00-C97),Cancer,RI,2227,
2007,Malignant neoplasms (C00-C97),Cancer,RI,2213,
2006,Malignant neoplasms (C00-C97),Cancer,RI,2250,
2005,Malignant neoplasms (C00-C97),Cancer,RI,2292,
2004,Malignant neoplasms (C00-C97),Cancer,RI,2418,
2003,Malignant neoplasms (C00-C97),Cancer,RI,2328,
2002,Malignant neoplasms (C00-C97),Cancer,RI,2404,
2001,Malignant neoplasms (C00-C97),Cancer,RI,2398,
2000,Malignant neoplasms (C00-C97),Cancer,RI,2433,
1999,Malignant neoplasms (C00-C97),Cancer,RI,2463,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,RI,445,493.111111111111
2015,Chronic lower respiratory diseases (J40-J47),CLRD,RI,510,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,RI,505,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,RI,476,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,RI,504,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,RI,526,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,RI,507,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,RI,511,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,RI,478,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,RI,421,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,RI,485,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,RI,523,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,RI,463,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,RI,495,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,RI,521,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,RI,511,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,RI,500,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,RI,495,
2016,Diabetes mellitus (E10-E14),Diabetes,RI,239,241.444444444444
2015,Diabetes mellitus (E10-E14),Diabetes,RI,276,
2014,Diabetes mellitus (E10-E14),Diabetes,RI,252,
2013,Diabetes mellitus (E10-E14),Diabetes,RI,258,
2012,Diabetes mellitus (E10-E14),Diabetes,RI,198,
2011,Diabetes mellitus (E10-E14),Diabetes,RI,180,
2010,Diabetes mellitus (E10-E14),Diabetes,RI,211,
2009,Diabetes mellitus (E10-E14),Diabetes,RI,213,
2008,Diabetes mellitus (E10-E14),Diabetes,RI,195,
2007,Diabetes mellitus (E10-E14),Diabetes,RI,248,
2006,Diabetes mellitus (E10-E14),Diabetes,RI,206,
2005,Diabetes mellitus (E10-E14),Diabetes,RI,282,
2004,Diabetes mellitus (E10-E14),Diabetes,RI,280,
2003,Diabetes mellitus (E10-E14),Diabetes,RI,252,
2002,Diabetes mellitus (E10-E14),Diabetes,RI,263,
2001,Diabetes mellitus (E10-E14),Diabetes,RI,265,
2000,Diabetes mellitus (E10-E14),Diabetes,RI,292,
1999,Diabetes mellitus (E10-E14),Diabetes,RI,236,
