Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,SC,2481,1445.16666666667
2015,Alzheimer's disease (G30),Alzheimer's disease,SC,2453,
2014,Alzheimer's disease (G30),Alzheimer's disease,SC,1938,
2013,Alzheimer's disease (G30),Alzheimer's disease,SC,1623,
2012,Alzheimer's disease (G30),Alzheimer's disease,SC,1634,
2011,Alzheimer's disease (G30),Alzheimer's disease,SC,1560,
2010,Alzheimer's disease (G30),Alzheimer's disease,SC,1570,
2009,Alzheimer's disease (G30),Alzheimer's disease,SC,1478,
2008,Alzheimer's disease (G30),Alzheimer's disease,SC,1492,
2007,Alzheimer's disease (G30),Alzheimer's disease,SC,1396,
2006,Alzheimer's disease (G30),Alzheimer's disease,SC,1364,
2005,Alzheimer's disease (G30),Alzheimer's disease,SC,1316,
2004,Alzheimer's disease (G30),Alzheimer's disease,SC,1245,
2003,Alzheimer's disease (G30),Alzheimer's disease,SC,1051,
2002,Alzheimer's disease (G30),Alzheimer's disease,SC,967,
2001,Alzheimer's disease (G30),Alzheimer's disease,SC,881,
2000,Alzheimer's disease (G30),Alzheimer's disease,SC,874,
1999,Alzheimer's disease (G30),Alzheimer's disease,SC,690,
2016,Malignant neoplasms (C00-C97),Cancer,SC,10356,9061.44444444445
2015,Malignant neoplasms (C00-C97),Cancer,SC,9950,
2014,Malignant neoplasms (C00-C97),Cancer,SC,9930,
2013,Malignant neoplasms (C00-C97),Cancer,SC,9745,
2012,Malignant neoplasms (C00-C97),Cancer,SC,9728,
2011,Malignant neoplasms (C00-C97),Cancer,SC,9543,
2010,Malignant neoplasms (C00-C97),Cancer,SC,9356,
2009,Malignant neoplasms (C00-C97),Cancer,SC,9123,
2008,Malignant neoplasms (C00-C97),Cancer,SC,9199,
2007,Malignant neoplasms (C00-C97),Cancer,SC,8867,
2006,Malignant neoplasms (C00-C97),Cancer,SC,8853,
2005,Malignant neoplasms (C00-C97),Cancer,SC,8652,
2004,Malignant neoplasms (C00-C97),Cancer,SC,8348,
2003,Malignant neoplasms (C00-C97),Cancer,SC,8512,
2002,Malignant neoplasms (C00-C97),Cancer,SC,8333,
2001,Malignant neoplasms (C00-C97),Cancer,SC,8272,
2000,Malignant neoplasms (C00-C97),Cancer,SC,8250,
1999,Malignant neoplasms (C00-C97),Cancer,SC,8089,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2870,2206.66666666667
2015,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2908,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2715,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2756,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2467,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2402,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2264,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,SC,2317,
