Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,SD,449,324.888888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,SD,421,
2014,Alzheimer's disease (G30),Alzheimer's disease,SD,434,
2013,Alzheimer's disease (G30),Alzheimer's disease,SD,418,
2012,Alzheimer's disease (G30),Alzheimer's disease,SD,460,
2011,Alzheimer's disease (G30),Alzheimer's disease,SD,424,
2010,Alzheimer's disease (G30),Alzheimer's disease,SD,398,
2009,Alzheimer's disease (G30),Alzheimer's disease,SD,403,
2008,Alzheimer's disease (G30),Alzheimer's disease,SD,402,
2007,Alzheimer's disease (G30),Alzheimer's disease,SD,346,
2006,Alzheimer's disease (G30),Alzheimer's disease,SD,329,
2005,Alzheimer's disease (G30),Alzheimer's disease,SD,290,
2004,Alzheimer's disease (G30),Alzheimer's disease,SD,243,
2003,Alzheimer's disease (G30),Alzheimer's disease,SD,174,
2002,Alzheimer's disease (G30),Alzheimer's disease,SD,167,
2001,Alzheimer's disease (G30),Alzheimer's disease,SD,156,
2000,Alzheimer's disease (G30),Alzheimer's disease,SD,179,
1999,Alzheimer's disease (G30),Alzheimer's disease,SD,155,
2016,Malignant neoplasms (C00-C97),Cancer,SD,1694,1611
2015,Malignant neoplasms (C00-C97),Cancer,SD,1640,
2014,Malignant neoplasms (C00-C97),Cancer,SD,1698,
2013,Malignant neoplasms (C00-C97),Cancer,SD,1577,
2012,Malignant neoplasms (C00-C97),Cancer,SD,1630,
2011,Malignant neoplasms (C00-C97),Cancer,SD,1665,
2010,Malignant neoplasms (C00-C97),Cancer,SD,1655,
2009,Malignant neoplasms (C00-C97),Cancer,SD,1503,
2008,Malignant neoplasms (C00-C97),Cancer,SD,1570,
2007,Malignant neoplasms (C00-C97),Cancer,SD,1612,
2006,Malignant neoplasms (C00-C97),Cancer,SD,1570,
2005,Malignant neoplasms (C00-C97),Cancer,SD,1612,
2004,Malignant neoplasms (C00-C97),Cancer,SD,1555,
2003,Malignant neoplasms (C00-C97),Cancer,SD,1636,
2002,Malignant neoplasms (C00-C97),Cancer,SD,1562,
2001,Malignant neoplasms (C00-C97),Cancer,SD,1590,
2000,Malignant neoplasms (C00-C97),Cancer,SD,1597,
1999,Malignant neoplasms (C00-C97),Cancer,SD,1632,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,SD,426,424.444444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,SD,502,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,SD,441,
