Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,TN,3250,2088.27777777778
2015,Alzheimer's disease (G30),Alzheimer's disease,TN,3122,
2014,Alzheimer's disease (G30),Alzheimer's disease,TN,2672,
2013,Alzheimer's disease (G30),Alzheimer's disease,TN,2536,
2012,Alzheimer's disease (G30),Alzheimer's disease,TN,2434,
2011,Alzheimer's disease (G30),Alzheimer's disease,TN,2589,
2010,Alzheimer's disease (G30),Alzheimer's disease,TN,2440,
2009,Alzheimer's disease (G30),Alzheimer's disease,TN,2203,
2008,Alzheimer's disease (G30),Alzheimer's disease,TN,2423,
2007,Alzheimer's disease (G30),Alzheimer's disease,TN,2276,
2006,Alzheimer's disease (G30),Alzheimer's disease,TN,2115,
2005,Alzheimer's disease (G30),Alzheimer's disease,TN,2033,
2004,Alzheimer's disease (G30),Alzheimer's disease,TN,1615,
2003,Alzheimer's disease (G30),Alzheimer's disease,TN,1466,
2002,Alzheimer's disease (G30),Alzheimer's disease,TN,1299,
2001,Alzheimer's disease (G30),Alzheimer's disease,TN,1148,
2000,Alzheimer's disease (G30),Alzheimer's disease,TN,1024,
1999,Alzheimer's disease (G30),Alzheimer's disease,TN,944,
2016,Malignant neoplasms (C00-C97),Cancer,TN,14450,13210.5
2015,Malignant neoplasms (C00-C97),Cancer,TN,14214,
2014,Malignant neoplasms (C00-C97),Cancer,TN,14173,
2013,Malignant neoplasms (C00-C97),Cancer,TN,13953,
2012,Malignant neoplasms (C00-C97),Cancer,TN,13765,
2011,Malignant neoplasms (C00-C97),Cancer,TN,13562,
2010,Malignant neoplasms (C00-C97),Cancer,TN,13593,
2009,Malignant neoplasms (C00-C97),Cancer,TN,13482,
2008,Malignant neoplasms (C00-C97),Cancer,TN,13162,
2007,Malignant neoplasms (C00-C97),Cancer,TN,13161,
2006,Malignant neoplasms (C00-C97),Cancer,TN,13051,
2005,Malignant neoplasms (C00-C97),Cancer,TN,12995,
2004,Malignant neoplasms (C00-C97),Cancer,TN,12586,
2003,Malignant neoplasms (C00-C97),Cancer,TN,12613,
2002,Malignant neoplasms (C00-C97),Cancer,TN,12518,
2001,Malignant neoplasms (C00-C97),Cancer,TN,12229,
2000,Malignant neoplasms (C00-C97),Cancer,TN,12339,
1999,Malignant neoplasms (C00-C97),Cancer,TN,11943,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,TN,4318,3408.61111111111
2015,Chronic lower respiratory diseases (J40-J47),CLRD,TN,4239,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3969,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3904,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3695,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3658,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3551,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3503,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3545,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3167,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,TN,2980,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3185,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,TN,2987,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3067,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,TN,3011,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,TN,2941,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,TN,2887,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,TN,2748,
2016,Diabetes mellitus (E10-E14),Diabetes,TN,1883,1751.77777777778
2015,Diabetes mellitus (E10-E14),Diabetes,TN,1798,
2014,Diabetes mellitus (E10-E14),Diabetes,TN,1727,
2013,Diabetes mellitus (E10-E14),Diabetes,TN,1827,
2012,Diabetes mellitus (E10-E14),Diabetes,TN,1852,
2011,Diabetes mellitus (E10-E14),Diabetes,TN,1748,
2010,Diabetes mellitus (E10-E14),Diabetes,TN,1687,
2009,Diabetes mellitus (E10-E14),Diabetes,TN,1759,
2008,Diabetes mellitus (E10-E14),Diabetes,TN,1733,
2007,Diabetes mellitus (E10-E14),Diabetes,TN,1700,
2006,Diabetes mellitus (E10-E14),Diabetes,TN,1715,
2005,Diabetes mellitus (E10-E14),Diabetes,TN,1844,
2004,Diabetes mellitus (E10-E14),Diabetes,TN,1882,
2003,Diabetes mellitus (E10-E14),Diabetes,TN,1855,
2002,Diabetes mellitus (E10-E14),Diabetes,TN,1749,
2001,Diabetes mellitus (E10-E14),Diabetes,TN,1746,
2000,Diabetes mellitus (E10-E14),Diabetes,TN,1591,
1999,Diabetes mellitus (E10-E14),Diabetes,TN,1436,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15429,15142.6111111111
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15730,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15223,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14803,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14454,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14235,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14582,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14257,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14661,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14280,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14642,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,14946,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15038,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15919,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,16226,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,15688,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,16174,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,TN,16280,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1533,1557.55555555556
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1723,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1602,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1564,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1435,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1480,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1352,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1390,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1424,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1438,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1535,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1588,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1571,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1814,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1710,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1617,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1672,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,TN,1588,
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,1150,836.222222222222
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,1090,
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,1036,
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,1068,
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,933,
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,810,
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,983,
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,949,
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,908,
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,831,
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,768,
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,719,
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,680,
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,677,
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,586,
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,624,
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,565,
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,TN,675,
2016,Cerebrovascular diseases (I60-I69),Stroke,TN,3508,3553.22222222222
2015,Cerebrovascular diseases (I60-I69),Stroke,TN,3447,
2014,Cerebrovascular diseases (I60-I69),Stroke,TN,3326,
2013,Cerebrovascular diseases (I60-I69),Stroke,TN,3157,
2012,Cerebrovascular diseases (I60-I69),Stroke,TN,3120,
2011,Cerebrovascular diseases (I60-I69),Stroke,TN,3218,
2010,Cerebrovascular diseases (I60-I69),Stroke,TN,3205,
2009,Cerebrovascular diseases (I60-I69),Stroke,TN,3156,
2008,Cerebrovascular diseases (I60-I69),Stroke,TN,3356,
2007,Cerebrovascular diseases (I60-I69),Stroke,TN,3450,
2006,Cerebrovascular diseases (I60-I69),Stroke,TN,3407,
2005,Cerebrovascular diseases (I60-I69),Stroke,TN,3659,
2004,Cerebrovascular diseases (I60-I69),Stroke,TN,3680,
2003,Cerebrovascular diseases (I60-I69),Stroke,TN,3883,
2002,Cerebrovascular diseases (I60-I69),Stroke,TN,3980,
2001,Cerebrovascular diseases (I60-I69),Stroke,TN,4037,
2000,Cerebrovascular diseases (I60-I69),Stroke,TN,4266,
1999,Cerebrovascular diseases (I60-I69),Stroke,TN,4103,
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,1111,893.055555555556
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,1068,
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,997,
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,1030,
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,978,
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,955,
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,943,
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,947,
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,973,
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,844,
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,874,
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,856,
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,792,
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,762,
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,778,
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,711,
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,TN,730,
