Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,TX,9135,5120.88888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,TX,8903,
2014,Alzheimer's disease (G30),Alzheimer's disease,TX,6772,
2013,Alzheimer's disease (G30),Alzheimer's disease,TX,5293,
2012,Alzheimer's disease (G30),Alzheimer's disease,TX,5175,
2011,Alzheimer's disease (G30),Alzheimer's disease,TX,5415,
2010,Alzheimer's disease (G30),Alzheimer's disease,TX,5209,
2009,Alzheimer's disease (G30),Alzheimer's disease,TX,5064,
2008,Alzheimer's disease (G30),Alzheimer's disease,TX,5280,
2007,Alzheimer's disease (G30),Alzheimer's disease,TX,4814,
2006,Alzheimer's disease (G30),Alzheimer's disease,TX,4887,
2005,Alzheimer's disease (G30),Alzheimer's disease,TX,4629,
2004,Alzheimer's disease (G30),Alzheimer's disease,TX,4336,
2003,Alzheimer's disease (G30),Alzheimer's disease,TX,4015,
2002,Alzheimer's disease (G30),Alzheimer's disease,TX,3793,
2001,Alzheimer's disease (G30),Alzheimer's disease,TX,3439,
2000,Alzheimer's disease (G30),Alzheimer's disease,TX,3184,
1999,Alzheimer's disease (G30),Alzheimer's disease,TX,2833,
2016,Malignant neoplasms (C00-C97),Cancer,TX,40195,35883.5555555556
2015,Malignant neoplasms (C00-C97),Cancer,TX,39121,
2014,Malignant neoplasms (C00-C97),Cancer,TX,38847,
2013,Malignant neoplasms (C00-C97),Cancer,TX,38412,
2012,Malignant neoplasms (C00-C97),Cancer,TX,38142,
2011,Malignant neoplasms (C00-C97),Cancer,TX,37351,
2010,Malignant neoplasms (C00-C97),Cancer,TX,36717,
2009,Malignant neoplasms (C00-C97),Cancer,TX,35591,
2008,Malignant neoplasms (C00-C97),Cancer,TX,35713,
2007,Malignant neoplasms (C00-C97),Cancer,TX,35074,
2006,Malignant neoplasms (C00-C97),Cancer,TX,34939,
2005,Malignant neoplasms (C00-C97),Cancer,TX,34291,
2004,Malignant neoplasms (C00-C97),Cancer,TX,33937,
2003,Malignant neoplasms (C00-C97),Cancer,TX,33867,
2002,Malignant neoplasms (C00-C97),Cancer,TX,34164,
2001,Malignant neoplasms (C00-C97),Cancer,TX,33488,
2000,Malignant neoplasms (C00-C97),Cancer,TX,33300,
1999,Malignant neoplasms (C00-C97),Cancer,TX,32755,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,TX,10107,8546.5
2015,Chronic lower respiratory diseases (J40-J47),CLRD,TX,10231,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,TX,9668,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,TX,9800,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,TX,9524,
