Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,UT,904,435.388888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,UT,906,
2014,Alzheimer's disease (G30),Alzheimer's disease,UT,584,
2013,Alzheimer's disease (G30),Alzheimer's disease,UT,412,
2012,Alzheimer's disease (G30),Alzheimer's disease,UT,411,
2011,Alzheimer's disease (G30),Alzheimer's disease,UT,402,
2010,Alzheimer's disease (G30),Alzheimer's disease,UT,375,
2009,Alzheimer's disease (G30),Alzheimer's disease,UT,371,
2008,Alzheimer's disease (G30),Alzheimer's disease,UT,409,
2007,Alzheimer's disease (G30),Alzheimer's disease,UT,393,
2006,Alzheimer's disease (G30),Alzheimer's disease,UT,390,
2005,Alzheimer's disease (G30),Alzheimer's disease,UT,368,
2004,Alzheimer's disease (G30),Alzheimer's disease,UT,376,
2003,Alzheimer's disease (G30),Alzheimer's disease,UT,332,
2002,Alzheimer's disease (G30),Alzheimer's disease,UT,303,
2001,Alzheimer's disease (G30),Alzheimer's disease,UT,314,
2000,Alzheimer's disease (G30),Alzheimer's disease,UT,342,
1999,Alzheimer's disease (G30),Alzheimer's disease,UT,245,
2016,Malignant neoplasms (C00-C97),Cancer,UT,3125,2652.55555555556
2015,Malignant neoplasms (C00-C97),Cancer,UT,3091,
2014,Malignant neoplasms (C00-C97),Cancer,UT,3043,
2013,Malignant neoplasms (C00-C97),Cancer,UT,2971,
2012,Malignant neoplasms (C00-C97),Cancer,UT,2876,
2011,Malignant neoplasms (C00-C97),Cancer,UT,2746,
2010,Malignant neoplasms (C00-C97),Cancer,UT,2810,
2009,Malignant neoplasms (C00-C97),Cancer,UT,2555,
2008,Malignant neoplasms (C00-C97),Cancer,UT,2492,
2007,Malignant neoplasms (C00-C97),Cancer,UT,2572,
2006,Malignant neoplasms (C00-C97),Cancer,UT,2615,
2005,Malignant neoplasms (C00-C97),Cancer,UT,2520,
2004,Malignant neoplasms (C00-C97),Cancer,UT,2445,
2003,Malignant neoplasms (C00-C97),Cancer,UT,2444,
2002,Malignant neoplasms (C00-C97),Cancer,UT,2376,
2001,Malignant neoplasms (C00-C97),Cancer,UT,2313,
2000,Malignant neoplasms (C00-C97),Cancer,UT,2359,
1999,Malignant neoplasms (C00-C97),Cancer,UT,2393,
