Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,VT,310,212.333333333333
2015,Alzheimer's disease (G30),Alzheimer's disease,Vermont,298,
2014,Alzheimer's disease (G30),Alzheimer's disease,Vermont,266,
2013,Alzheimer's disease (G30),Alzheimer's disease,Vermont,269,
2012,Alzheimer's disease (G30),Alzheimer's disease,Vermont,284,
2011,Alzheimer's disease (G30),Alzheimer's disease,Vermont,257,
2010,Alzheimer's disease (G30),Alzheimer's disease,Vermont,238,
2009,Alzheimer's disease (G30),Alzheimer's disease,Vermont,190,
2008,Alzheimer's disease (G30),Alzheimer's disease,Vermont,218,
2007,Alzheimer's disease (G30),Alzheimer's disease,Vermont,205,
2006,Alzheimer's disease (G30),Alzheimer's disease,Vermont,186,
2005,Alzheimer's disease (G30),Alzheimer's disease,Vermont,184,
2004,Alzheimer's disease (G30),Alzheimer's disease,Vermont,173,
2003,Alzheimer's disease (G30),Alzheimer's disease,Vermont,171,
2002,Alzheimer's disease (G30),Alzheimer's disease,Vermont,163,
2001,Alzheimer's disease (G30),Alzheimer's disease,Vermont,149,
2000,Alzheimer's disease (G30),Alzheimer's disease,Vermont,134,
1999,Alzheimer's disease (G30),Alzheimer's disease,Vermont,127,
2016,Malignant neoplasms (C00-C97),Cancer,Vermont,1356,1288.94444444444
2015,Malignant neoplasms (C00-C97),Cancer,Vermont,1399,
2014,Malignant neoplasms (C00-C97),Cancer,Vermont,1379,
2013,Malignant neoplasms (C00-C97),Cancer,Vermont,1318,
2012,Malignant neoplasms (C00-C97),Cancer,Vermont,1325,
2011,Malignant neoplasms (C00-C97),Cancer,Vermont,1347,
2010,Malignant neoplasms (C00-C97),Cancer,VT,1392,
2009,Malignant neoplasms (C00-C97),Cancer,VT,1254,
2008,Malignant neoplasms (C00-C97),Cancer,VT,1279,
2007,Malignant neoplasms (C00-C97),Cancer,VT,1346,
2006,Malignant neoplasms (C00-C97),Cancer,VT,1214,
2005,Malignant neoplasms (C00-C97),Cancer,VT,1202,
2004,Malignant neoplasms (C00-C97),Cancer,VT,1212,
2003,Malignant neoplasms (C00-C97),Cancer,VT,1210,
2002,Malignant neoplasms (C00-C97),Cancer,VT,1224,
2001,Malignant neoplasms (C00-C97),Cancer,VT,1249,
2000,Malignant neoplasms (C00-C97),Cancer,VT,1240,
1999,Malignant neoplasms (C00-C97),Cancer,VT,1255,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,VT,355,331
2015,Chronic lower respiratory diseases (J40-J47),CLRD,VT,357,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,VT,333,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,VT,353,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,VT,364,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,VT,349,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,VT,335,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,VT,364,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,VT,341,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,VT,316,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,VT,320,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,VT,381,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,VT,296,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,VT,301,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,VT,276,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,VT,305,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,VT,312,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,VT,300,
2016,Diabetes mellitus (E10-E14),Diabetes,VT,166,162.277777777778
2015,Diabetes mellitus (E10-E14),Diabetes,VT,159,
2014,Diabetes mellitus (E10-E14),Diabetes,VT,154,
2013,Diabetes mellitus (E10-E14),Diabetes,VT,139,
