Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,VA,2408,1626.5
2015,Alzheimer's disease (G30),Alzheimer's disease,VA,2248,
2014,Alzheimer's disease (G30),Alzheimer's disease,VA,1775,
2013,Alzheimer's disease (G30),Alzheimer's disease,VA,1642,
2012,Alzheimer's disease (G30),Alzheimer's disease,VA,1712,
2011,Alzheimer's disease (G30),Alzheimer's disease,VA,1807,
2010,Alzheimer's disease (G30),Alzheimer's disease,VA,1848,
2009,Alzheimer's disease (G30),Alzheimer's disease,VA,1738,
2008,Alzheimer's disease (G30),Alzheimer's disease,VA,1763,
2007,Alzheimer's disease (G30),Alzheimer's disease,VA,1703,
2006,Alzheimer's disease (G30),Alzheimer's disease,VA,1574,
2005,Alzheimer's disease (G30),Alzheimer's disease,VA,1550,
2004,Alzheimer's disease (G30),Alzheimer's disease,VA,1480,
2003,Alzheimer's disease (G30),Alzheimer's disease,VA,1466,
2002,Alzheimer's disease (G30),Alzheimer's disease,VA,1368,
2001,Alzheimer's disease (G30),Alzheimer's disease,VA,1184,
2000,Alzheimer's disease (G30),Alzheimer's disease,VA,1094,
1999,Alzheimer's disease (G30),Alzheimer's disease,VA,917,
2016,Malignant neoplasms (C00-C97),Cancer,VA,15027,14039.6111111111
2015,Malignant neoplasms (C00-C97),Cancer,VA,14947,
2014,Malignant neoplasms (C00-C97),Cancer,VA,14749,
2013,Malignant neoplasms (C00-C97),Cancer,VA,14414,
2012,Malignant neoplasms (C00-C97),Cancer,VA,14294,
2011,Malignant neoplasms (C00-C97),Cancer,VA,14376,
2010,Malignant neoplasms (C00-C97),Cancer,VA,14080,
2009,Malignant neoplasms (C00-C97),Cancer,VA,14122,
2008,Malignant neoplasms (C00-C97),Cancer,VA,13983,
2007,Malignant neoplasms (C00-C97),Cancer,VA,14009,
2006,Malignant neoplasms (C00-C97),Cancer,VA,13829,
2005,Malignant neoplasms (C00-C97),Cancer,VA,13877,
2004,Malignant neoplasms (C00-C97),Cancer,VA,13385,
2003,Malignant neoplasms (C00-C97),Cancer,VA,13781,
2002,Malignant neoplasms (C00-C97),Cancer,VA,13602,
2001,Malignant neoplasms (C00-C97),Cancer,VA,13345,
2000,Malignant neoplasms (C00-C97),Cancer,VA,13528,
1999,Malignant neoplasms (C00-C97),Cancer,VA,13365,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3233,2953.94444444444
2015,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3370,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3108,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3181,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3070,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3112,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2969,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3013,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,VA,3023,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2770,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2697,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2897,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2730,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2983,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2752,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2744,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2820,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,VA,2699,
2016,Diabetes mellitus (E10-E14),Diabetes,VA,2062,1637.55555555556
2015,Diabetes mellitus (E10-E14),Diabetes,VA,2044,
2014,Diabetes mellitus (E10-E14),Diabetes,VA,1683,
2013,Diabetes mellitus (E10-E14),Diabetes,VA,1626,
2012,Diabetes mellitus (E10-E14),Diabetes,VA,1603,
2011,Diabetes mellitus (E10-E14),Diabetes,VA,1643,
2010,Diabetes mellitus (E10-E14),Diabetes,VA,1530,
2009,Diabetes mellitus (E10-E14),Diabetes,VA,1560,
2008,Diabetes mellitus (E10-E14),Diabetes,VA,1534,
2007,Diabetes mellitus (E10-E14),Diabetes,VA,1507,
2006,Diabetes mellitus (E10-E14),Diabetes,VA,1632,
2005,Diabetes mellitus (E10-E14),Diabetes,VA,1642,
2004,Diabetes mellitus (E10-E14),Diabetes,VA,1602,
2003,Diabetes mellitus (E10-E14),Diabetes,VA,1587,
2002,Diabetes mellitus (E10-E14),Diabetes,VA,1558,
2001,Diabetes mellitus (E10-E14),Diabetes,VA,1613,
2000,Diabetes mellitus (E10-E14),Diabetes,VA,1564,
1999,Diabetes mellitus (E10-E14),Diabetes,VA,1486,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14124,14129.6111111111
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14077,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13874,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13663,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13386,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13272,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13404,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13397,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13675,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,13750,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14021,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14192,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14284,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14756,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14952,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,14913,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,15264,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,VA,15329,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1177,1392.55555555556
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1416,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1498,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1442,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1307,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1421,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1195,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1237,
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1324,
2007,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1231,
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1281,
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1464,
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1449,
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1559,
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1480,
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1481,
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1510,
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VA,1594,
