Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,WA,3269,2698.83333333333
2015,Alzheimer's disease (G30),Alzheimer's disease,WA,3490,
2014,Alzheimer's disease (G30),Alzheimer's disease,WA,3344,
2013,Alzheimer's disease (G30),Alzheimer's disease,WA,3277,
2012,Alzheimer's disease (G30),Alzheimer's disease,WA,3219,
2011,Alzheimer's disease (G30),Alzheimer's disease,WA,3138,
2010,Alzheimer's disease (G30),Alzheimer's disease,WA,3025,
2009,Alzheimer's disease (G30),Alzheimer's disease,WA,3010,
2008,Alzheimer's disease (G30),Alzheimer's disease,WA,3105,
2007,Alzheimer's disease (G30),Alzheimer's disease,WA,2689,
2006,Alzheimer's disease (G30),Alzheimer's disease,WA,2470,
2005,Alzheimer's disease (G30),Alzheimer's disease,WA,2309,
2004,Alzheimer's disease (G30),Alzheimer's disease,WA,2233,
2003,Alzheimer's disease (G30),Alzheimer's disease,WA,2380,
2002,Alzheimer's disease (G30),Alzheimer's disease,WA,2195,
2001,Alzheimer's disease (G30),Alzheimer's disease,WA,2050,
2000,Alzheimer's disease (G30),Alzheimer's disease,WA,1799,
1999,Alzheimer's disease (G30),Alzheimer's disease,WA,1577,
2016,Malignant neoplasms (C00-C97),Cancer,WA,12594,11527.0555555556
2015,Malignant neoplasms (C00-C97),Cancer,WA,12687,
2014,Malignant neoplasms (C00-C97),Cancer,WA,12205,
2013,Malignant neoplasms (C00-C97),Cancer,WA,11928,
2012,Malignant neoplasms (C00-C97),Cancer,WA,11952,
2011,Malignant neoplasms (C00-C97),Cancer,WA,12002,
2010,Malignant neoplasms (C00-C97),Cancer,WA,11874,
2009,Malignant neoplasms (C00-C97),Cancer,WA,11922,
2008,Malignant neoplasms (C00-C97),Cancer,WA,11618,
2007,Malignant neoplasms (C00-C97),Cancer,WA,11568,
2006,Malignant neoplasms (C00-C97),Cancer,WA,11055,
2005,Malignant neoplasms (C00-C97),Cancer,WA,11048,
2004,Malignant neoplasms (C00-C97),Cancer,WA,10989,
2003,Malignant neoplasms (C00-C97),Cancer,WA,11064,
2002,Malignant neoplasms (C00-C97),Cancer,WA,10858,
2001,Malignant neoplasms (C00-C97),Cancer,WA,10802,
2000,Malignant neoplasms (C00-C97),Cancer,WA,10668,
1999,Malignant neoplasms (C00-C97),Cancer,WA,10653,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,WA,3036,2812.88888888889
2015,Chronic lower respiratory diseases (J40-J47),CLRD,WA,3154,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2916,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2933,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2955,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,WA,3080,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2737,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2933,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2930,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2684,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2662,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2699,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2549,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2652,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2721,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2634,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2644,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,WA,2713,
2016,Diabetes mellitus (E10-E14),Diabetes,WA,1673,1547.27777777778
2015,Diabetes mellitus (E10-E14),Diabetes,WA,1811,
2014,Diabetes mellitus (E10-E14),Diabetes,WA,1668,
2013,Diabetes mellitus (E10-E14),Diabetes,WA,1616,
2012,Diabetes mellitus (E10-E14),Diabetes,WA,1650,
2011,Diabetes mellitus (E10-E14),Diabetes,WA,1633,
2010,Diabetes mellitus (E10-E14),Diabetes,WA,1499,
2009,Diabetes mellitus (E10-E14),Diabetes,WA,1554,
2008,Diabetes mellitus (E10-E14),Diabetes,WA,1590,
2007,Diabetes mellitus (E10-E14),Diabetes,WA,1508,
2006,Diabetes mellitus (E10-E14),Diabetes,WA,1543,
2005,Diabetes mellitus (E10-E14),Diabetes,WA,1554,
2004,Diabetes mellitus (E10-E14),Diabetes,WA,1508,
2003,Diabetes mellitus (E10-E14),Diabetes,WA,1509,
2002,Diabetes mellitus (E10-E14),Diabetes,WA,1494,
2001,Diabetes mellitus (E10-E14),Diabetes,WA,1403,
2000,Diabetes mellitus (E10-E14),Diabetes,WA,1331,
1999,Diabetes mellitus (E10-E14),Diabetes,WA,1307,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WA,11161,10892.2222222222
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WA,11025,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WA,10710,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WA,10524,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WA,10360,
