Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,WV,786,540.888888888889
2015,Alzheimer's disease (G30),Alzheimer's disease,WV,738,
2014,Alzheimer's disease (G30),Alzheimer's disease,WV,620,
2013,Alzheimer's disease (G30),Alzheimer's disease,WV,590,
2012,Alzheimer's disease (G30),Alzheimer's disease,WV,598,
2011,Alzheimer's disease (G30),Alzheimer's disease,WV,610,
2010,Alzheimer's disease (G30),Alzheimer's disease,WV,594,
2009,Alzheimer's disease (G30),Alzheimer's disease,WV,563,
2008,Alzheimer's disease (G30),Alzheimer's disease,WV,662,
2007,Alzheimer's disease (G30),Alzheimer's disease,WV,534,
2006,Alzheimer's disease (G30),Alzheimer's disease,WV,496,
2005,Alzheimer's disease (G30),Alzheimer's disease,WV,504,
2004,Alzheimer's disease (G30),Alzheimer's disease,WV,493,
2003,Alzheimer's disease (G30),Alzheimer's disease,WV,470,
2002,Alzheimer's disease (G30),Alzheimer's disease,WV,405,
2001,Alzheimer's disease (G30),Alzheimer's disease,WV,398,
2000,Alzheimer's disease (G30),Alzheimer's disease,WV,361,
1999,Alzheimer's disease (G30),Alzheimer's disease,WV,314,
2016,Malignant neoplasms (C00-C97),Cancer,WV,4659,4706.33333333333
2015,Malignant neoplasms (C00-C97),Cancer,WV,4839,
2014,Malignant neoplasms (C00-C97),Cancer,WV,4880,
2013,Malignant neoplasms (C00-C97),Cancer,WV,4718,
2012,Malignant neoplasms (C00-C97),Cancer,WV,4684,
2011,Malignant neoplasms (C00-C97),Cancer,WV,4782,
2010,Malignant neoplasms (C00-C97),Cancer,WV,4685,
2009,Malignant neoplasms (C00-C97),Cancer,WV,4786,
2008,Malignant neoplasms (C00-C97),Cancer,WV,4605,
2007,Malignant neoplasms (C00-C97),Cancer,WV,4690,
2006,Malignant neoplasms (C00-C97),Cancer,WV,4613,
2005,Malignant neoplasms (C00-C97),Cancer,WV,4617,
2004,Malignant neoplasms (C00-C97),Cancer,WV,4694,
2003,Malignant neoplasms (C00-C97),Cancer,WV,4610,
2002,Malignant neoplasms (C00-C97),Cancer,WV,4652,
2001,Malignant neoplasms (C00-C97),Cancer,WV,4685,
2000,Malignant neoplasms (C00-C97),Cancer,WV,4753,
1999,Malignant neoplasms (C00-C97),Cancer,WV,4762,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1599,1422.38888888889
2015,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1628,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1578,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1590,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1524,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1571,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1482,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1490,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1590,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1331,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1267,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1350,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1225,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1296,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1228,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1273,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1345,
1999,Chronic lower respiratory diseases (J40-J47),CLRD,WV,1236,
2016,Diabetes mellitus (E10-E14),Diabetes,WV,860,789.222222222222
2015,Diabetes mellitus (E10-E14),Diabetes,WV,784,
2014,Diabetes mellitus (E10-E14),Diabetes,WV,818,
2013,Diabetes mellitus (E10-E14),Diabetes,WV,841,
2012,Diabetes mellitus (E10-E14),Diabetes,WV,741,
2011,Diabetes mellitus (E10-E14),Diabetes,WV,790,
2010,Diabetes mellitus (E10-E14),Diabetes,WV,776,
2009,Diabetes mellitus (E10-E14),Diabetes,WV,746,
2008,Diabetes mellitus (E10-E14),Diabetes,WV,753,
2007,Diabetes mellitus (E10-E14),Diabetes,WV,800,
2006,Diabetes mellitus (E10-E14),Diabetes,WV,743,
2005,Diabetes mellitus (E10-E14),Diabetes,WV,766,
2004,Diabetes mellitus (E10-E14),Diabetes,WV,840,
2003,Diabetes mellitus (E10-E14),Diabetes,WV,807,
2002,Diabetes mellitus (E10-E14),Diabetes,WV,846,
2001,Diabetes mellitus (E10-E14),Diabetes,WV,802,
2000,Diabetes mellitus (E10-E14),Diabetes,WV,759,
1999,Diabetes mellitus (E10-E14),Diabetes,WV,734,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4767,5421.94444444445
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4727,
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4692,
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4666,
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4942,
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4914,
2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,4897,
2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5038,
2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5264,
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5208,
2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5311,
2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5538,
2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,5674,
2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,6186,
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,6189,
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,6325,
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,6435,
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WV,6822,
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,423,462.833333333333
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,526,
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,473,
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,481,
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,425,
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,455,
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,436,
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WV,443,
