Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,WI,2256,1607.05555555556
2015,Alzheimer's disease (G30),Alzheimer's disease,WI,2087,
2014,Alzheimer's disease (G30),Alzheimer's disease,WI,1876,
2013,Alzheimer's disease (G30),Alzheimer's disease,WI,1671,
2012,Alzheimer's disease (G30),Alzheimer's disease,WI,1646,
2011,Alzheimer's disease (G30),Alzheimer's disease,WI,1807,
2010,Alzheimer's disease (G30),Alzheimer's disease,WI,1762,
2009,Alzheimer's disease (G30),Alzheimer's disease,WI,1611,
2008,Alzheimer's disease (G30),Alzheimer's disease,WI,1655,
2007,Alzheimer's disease (G30),Alzheimer's disease,WI,1658,
2006,Alzheimer's disease (G30),Alzheimer's disease,WI,1596,
2005,Alzheimer's disease (G30),Alzheimer's disease,WI,1512,
2004,Alzheimer's disease (G30),Alzheimer's disease,WI,1419,
2003,Alzheimer's disease (G30),Alzheimer's disease,WI,1411,
2002,Alzheimer's disease (G30),Alzheimer's disease,WI,1344,
2001,Alzheimer's disease (G30),Alzheimer's disease,WI,1269,
2000,Alzheimer's disease (G30),Alzheimer's disease,WI,1177,
1999,Alzheimer's disease (G30),Alzheimer's disease,WI,1170,
2016,Malignant neoplasms (C00-C97),Cancer,WI,11498,11070.3888888889
2015,Malignant neoplasms (C00-C97),Cancer,WI,11423,
2014,Malignant neoplasms (C00-C97),Cancer,WI,11393,
2013,Malignant neoplasms (C00-C97),Cancer,WI,11425,
2012,Malignant neoplasms (C00-C97),Cancer,WI,11252,
2011,Malignant neoplasms (C00-C97),Cancer,WI,11608,
2010,Malignant neoplasms (C00-C97),Cancer,WI,11279,
2009,Malignant neoplasms (C00-C97),Cancer,WI,10866,
2008,Malignant neoplasms (C00-C97),Cancer,WI,11185,
2007,Malignant neoplasms (C00-C97),Cancer,WI,10963,
2006,Malignant neoplasms (C00-C97),Cancer,WI,10925,
2005,Malignant neoplasms (C00-C97),Cancer,WI,10943,
2004,Malignant neoplasms (C00-C97),Cancer,WI,10861,
2003,Malignant neoplasms (C00-C97),Cancer,WI,10648,
2002,Malignant neoplasms (C00-C97),Cancer,WI,10828,
2001,Malignant neoplasms (C00-C97),Cancer,WI,10777,
2000,Malignant neoplasms (C00-C97),Cancer,WI,10638,
1999,Malignant neoplasms (C00-C97),Cancer,WI,10755,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,WI,2786,2494.5
