Year,113 Cause Name,Cause Name,State,Deaths,Avg # of deaths
2016,Alzheimer's disease (G30),Alzheimer's disease,WY,138,126.666666666667
2015,Alzheimer's disease (G30),Alzheimer's disease,WY,151,
2014,Alzheimer's disease (G30),Alzheimer's disease,WY,162,
2013,Alzheimer's disease (G30),Alzheimer's disease,WY,126,
2012,Alzheimer's disease (G30),Alzheimer's disease,WY,123,
2011,Alzheimer's disease (G30),Alzheimer's disease,WY,153,
2010,Alzheimer's disease (G30),Alzheimer's disease,WY,146,
2009,Alzheimer's disease (G30),Alzheimer's disease,WY,136,
2008,Alzheimer's disease (G30),Alzheimer's disease,WY,125,
2007,Alzheimer's disease (G30),Alzheimer's disease,WY,110,
2006,Alzheimer's disease (G30),Alzheimer's disease,WY,112,
2005,Alzheimer's disease (G30),Alzheimer's disease,WY,110,
2004,Alzheimer's disease (G30),Alzheimer's disease,WY,105,
2003,Alzheimer's disease (G30),Alzheimer's disease,WY,142,
2002,Alzheimer's disease (G30),Alzheimer's disease,WY,122,
2001,Alzheimer's disease (G30),Alzheimer's disease,WY,114,
2000,Alzheimer's disease (G30),Alzheimer's disease,WY,102,
1999,Alzheimer's disease (G30),Alzheimer's disease,WY,103,
2016,Malignant neoplasms (C00-C97),Cancer,WY,962,922.111111111111
2015,Malignant neoplasms (C00-C97),Cancer,WY,931,
2014,Malignant neoplasms (C00-C97),Cancer,WY,922,
2013,Malignant neoplasms (C00-C97),Cancer,WY,946,
2012,Malignant neoplasms (C00-C97),Cancer,WY,955,
2011,Malignant neoplasms (C00-C97),Cancer,WY,936,
2010,Malignant neoplasms (C00-C97),Cancer,WY,1016,
2009,Malignant neoplasms (C00-C97),Cancer,WY,936,
2008,Malignant neoplasms (C00-C97),Cancer,WY,874,
2007,Malignant neoplasms (C00-C97),Cancer,WY,940,
2006,Malignant neoplasms (C00-C97),Cancer,WY,927,
2005,Malignant neoplasms (C00-C97),Cancer,WY,886,
2004,Malignant neoplasms (C00-C97),Cancer,WY,875,
2003,Malignant neoplasms (C00-C97),Cancer,WY,943,
2002,Malignant neoplasms (C00-C97),Cancer,WY,859,
2001,Malignant neoplasms (C00-C97),Cancer,WY,923,
2000,Malignant neoplasms (C00-C97),Cancer,WY,868,
1999,Malignant neoplasms (C00-C97),Cancer,WY,899,
2016,Chronic lower respiratory diseases (J40-J47),CLRD,WY,327,319.588235294118
2015,Chronic lower respiratory diseases (J40-J47),CLRD,WY,368,
2014,Chronic lower respiratory diseases (J40-J47),CLRD,WY,343,
2013,Chronic lower respiratory diseases (J40-J47),CLRD,WY,387,
2012,Chronic lower respiratory diseases (J40-J47),CLRD,WY,334,
2011,Chronic lower respiratory diseases (J40-J47),CLRD,WY,327,
2010,Chronic lower respiratory diseases (J40-J47),CLRD,WY,332,
2009,Chronic lower respiratory diseases (J40-J47),CLRD,WY,310,
2008,Chronic lower respiratory diseases (J40-J47),CLRD,WY,311,
2007,Chronic lower respiratory diseases (J40-J47),CLRD,WY,295,
2006,Chronic lower respiratory diseases (J40-J47),CLRD,WY,345,
2005,Chronic lower respiratory diseases (J40-J47),CLRD,WY,291,
2004,Chronic lower respiratory diseases (J40-J47),CLRD,WY,308,
2003,Chronic lower respiratory diseases (J40-J47),CLRD,WY,278,
2002,Chronic lower respiratory diseases (J40-J47),CLRD,WY,324,
2001,Chronic lower respiratory diseases (J40-J47),CLRD,WY,270,
2000,Chronic lower respiratory diseases (J40-J47),CLRD,WY,283,
2016,Diabetes mellitus (E10-E14),Diabetes,WY,112,119.222222222222
2015,Diabetes mellitus (E10-E14),Diabetes,WY,136,
2014,Diabetes mellitus (E10-E14),Diabetes,WY,110,
2013,Diabetes mellitus (E10-E14),Diabetes,WY,89,
2012,Diabetes mellitus (E10-E14),Diabetes,WY,97,
2011,Diabetes mellitus (E10-E14),Diabetes,WY,108,
2010,Diabetes mellitus (E10-E14),Diabetes,WY,105,
2009,Diabetes mellitus (E10-E14),Diabetes,WY,105,
2008,Diabetes mellitus (E10-E14),Diabetes,WY,130,
2007,Diabetes mellitus (E10-E14),Diabetes,WY,139,
2006,Diabetes mellitus (E10-E14),Diabetes,WY,126,
2005,Diabetes mellitus (E10-E14),Diabetes,WY,130,
2004,Diabetes mellitus (E10-E14),Diabetes,WY,110,
2003,Diabetes mellitus (E10-E14),Diabetes,WY,138,
2002,Diabetes mellitus (E10-E14),Diabetes,WY,145,
2001,Diabetes mellitus (E10-E14),Diabetes,WY,120,
2000,Diabetes mellitus (E10-E14),Diabetes,WY,111,
1999,Diabetes mellitus (E10-E14),Diabetes,WY,135,
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WY,1051,981.555555555556
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,WY,1030,
